Player,FPTS,Team,Pos
Ben Roethlisberger,35.8,PIT,QB
Drew Brees,28.9,FA,QB
Russell Wilson,26.2,SEA,QB
Baker Mayfield,22.6,CLE,QB
Dak Prescott,21.7,DAL,QB
Andrew Luck,21.2,FA,QB
Carson Wentz,21.1,IND,QB
Jared Goff,21.0,DET,QB
Matt Ryan,20.5,ATL,QB
Patrick Mahomes,20.1,KC,QB
Eli Manning,19.5,FA,QB
Aaron Rodgers,18.1,GB,QB
Matthew Stafford,15.9,LAR,QB
Philip Rivers,15.0,FA,QB
Cam Newton,14.7,CAR,QB
Ryan Fitzpatrick,13.7,WAS,QB
Alex Smith,12.7,FA,QB
Tom Brady,11.8,TB,QB
Derek Carr,7.9,LV,QB
Taysom Hill,2.4,NO,QB
Justin Fields,0.0,CHI,QB
Trevor Lawrence,0.0,JAC,QB
Mac Jones,0.0,NE,QB
Trey Lance,0.0,SF,QB
Joe Burrow,0.0,CIN,QB
Daniel Jones,0.0,NYG,QB
Mike White,0.0,NYJ,QB
Josh Allen,0.0,BUF,QB
Tua Tagovailoa,0.0,MIA,QB
Jordan Love,0.0,GB,QB
Jalen Hurts,0.0,PHI,QB
Kyler Murray,0.0,ARI,QB
Justin Herbert,0.0,LAC,QB
Zach Wilson,0.0,NYJ,QB
Colt McCoy,0.0,ARI,QB
Ryan Tannehill,0.0,TEN,QB
Kirk Cousins,0.0,MIN,QB
Tyrod Taylor,0.0,HOU,QB
Sam Darnold,0.0,CAR,QB
Jacoby Brissett,0.0,MIA,QB
Trevor Siemian,0.0,NO,QB
P.J. Walker,0.0,CAR,QB
Lamar Jackson,0.0,BAL,QB
Mason Rudolph,0.0,PIT,QB
Deshaun Watson,0.0,HOU,QB
Jimmy Garoppolo,0.0,SF,QB
Geno Smith,0.0,SEA,QB
Jameis Winston,0.0,NO,QB
Taylor Heinicke,0.0,WAS,QB
Teddy Bridgewater,-0.3,DEN,QB
David Johnson,37.3,HOU,RB
Christian McCaffrey,36.8,CAR,RB
Ezekiel Elliott,36.7,DAL,RB
Nick Chubb,35.9,CLE,RB
Aaron Jones,32.2,GB,RB
Leonard Fournette,27.9,TB,RB
Melvin Gordon,27.5,DEN,RB
Alvin Kamara,26.2,NO,RB
Mark Ingram,25.2,NO,RB
LeSean McCoy,24.8,FA,RB
Mike Davis,18.0,ATL,RB
Derrick Henry,17.8,TEN,RB
Rashaad Penny,16.8,SEA,RB
Tarik Cohen,16.4,CHI,RB
James Conner,14.3,ARI,RB
Saquon Barkley,14.0,NYG,RB
Frank Gore,12.2,FA,RB
Kareem Hunt,11.6,CLE,RB
Joe Mixon,10.5,CIN,RB
Tevin Coleman,9.3,NYJ,RB
Adrian Peterson,8.9,TEN,RB
Dion Lewis,8.8,FA,RB
Marlon Mack,7.8,IND,RB
James White,7.6,NE,RB
Kenyan Drake,5.8,LV,RB
Giovani Bernard,5.6,TB,RB
Nyheim Hines,5.2,IND,RB
Jordan Howard,4.2,PHI,RB
Kyle Juszczyk,3.3,SF,RB
Sony Michel,3.1,LAR,RB
Malcolm Brown,2.0,MIA,RB
Austin Ekeler,1.9,LAC,RB
Chase Edmonds,0.7,ARI,RB
Carlos Hyde,0.5,JAC,RB
Jamaal Williams,0.3,DET,RB
Wayne Gallman,0.3,ATL,RB
Antonio Gibson,0.0,WAS,RB
James Robinson,0.0,JAC,RB
Ty'Son Williams,0.0,BAL,RB
AJ Dillon,0.0,GB,RB
Eno Benjamin,0.0,ARI,RB
J.J. Taylor,0.0,NE,RB
