,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,Aaron Rodgers,QB,GB,46,76,69,76,81,71,bye,52,74,57,49,53,76,64,68,90,9,1011,63.2
1,Adrian Peterson,RB,WAS,42,25,32,bye,13,37,34,41,32,34,42,27,16,19,37,38,10,479,29.9
2,Alex Smith,QB,WAS,79,74,61,bye,61,70,60,68,69,58,51,0,0,0,0,0,0,651,65.1
3,Ben Roethlisberger,QB,PIT,84,82,66,62,60,73,bye,70,79,50,65,78,68,41,64,75,68,1085,67.8
4,Benjamin Watson,TE,NO,51,54,45,37,36,bye,36,14,33,29,21,18,20,28,33,25,27,507,31.7
5,Brian Hoyer,QB,NE,0,0,0,4,0,0,0,2,0,8,bye,0,0,0,0,9,4,27,5.4
6,Chad Henne,QB,KC,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,13,13,13.0
7,Chase Daniel,QB,CHI,0,0,0,3,bye,0,1,0,3,0,0,58,83,0,0,0,0,148,29.6
8,Clark Harris,TE,CIN,0,1,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,1,0.1
9,Danny Amendola,WR,MIA,45,44,31,42,53,75,55,65,47,66,bye,14,0,25,39,32,50,683,45.5
10,Darren Sproles,RB,PHI,29,0,0,0,0,0,0,0,bye,0,0,0,9,23,20,41,27,149,24.8
11,DeSean Jackson,WR,TB,20,34,42,39,bye,34,43,46,32,44,53,36,0,0,0,29,0,452,37.7
12,Drew Brees,QB,NO,64,66,79,70,63,bye,71,53,71,63,65,57,52,64,75,66,0,979,65.3
13,Eli Manning,QB,NYG,71,68,62,62,56,65,64,70,bye,59,53,62,72,46,65,64,71,1010,63.1
14,Frank Gore,RB,MIA,18,24,16,25,26,30,25,29,29,29,bye,29,20,23,7,0,0,330,23.6
15,Greg Olsen,TE,CAR,16,0,0,bye,0,59,59,63,60,45,56,58,13,0,0,0,0,429,47.7
