,Player,FPTS,Team,Pos
0,Patrick Mahomes,417.0,KC,QB
1,Matt Ryan,355.0,ATL,QB
2,Ben Roethlisberger,342.0,PIT,QB
3,Deshaun Watson,331.9,HOU,QB
4,Andrew Luck,328.1,FA,QB
5,Aaron Rodgers,312.5,GB,QB
6,Jared Goff,310.3,DET,QB
7,Drew Brees,304.8,FA,QB
8,Russell Wilson,299.4,SEA,QB
9,Dak Prescott,285.7,DAL,QB
10,Philip Rivers,284.9,FA,QB
11,Kirk Cousins,283.1,MIN,QB
12,Cam Newton,282.6,CAR,QB
13,Tom Brady,281.4,TB,QB
15,Eli Manning,240.0,FA,QB
16,Baker Mayfield,240.0,CLE,QB
17,Derek Carr,216.8,LV,QB
19,Matthew Stafford,212.1,LAR,QB
20,Josh Allen,208.1,BUF,QB
21,Jameis Winston,196.0,NO,QB
22,Carson Wentz,193.4,IND,QB
24,Andy Dalton,174.5,CHI,QB
26,Sam Darnold,168.4,CAR,QB
27,Ryan Fitzpatrick,165.8,WAS,QB
28,Lamar Jackson,157.8,BAL,QB
29,Ryan Tannehill,143.0,TEN,QB
30,Alex Smith,137.9,FA,QB
39,Jimmy Garoppolo,47.9,SF,QB
40,Tyrod Taylor,41.4,HOU,QB
42,Taysom Hill,33.6,NO,QB
49,Taylor Heinicke,13.9,WAS,QB
53,Teddy Bridgewater,7.2,DEN,QB
76,Mac Jones,0.0,NE,QB
77,Trey Lance,0.0,SF,QB
80,Justin Fields,0.0,CHI,QB
83,Tua Tagovailoa,0.0,MIA,QB
84,Joe Burrow,0.0,CIN,QB
88,Jordan Love,0.0,GB,QB
93,Justin Herbert,0.0,LAC,QB
95,Kyler Murray,0.0,ARI,QB
96,Gardner Minshew,0.0,PHI,QB
99,Jalen Hurts,0.0,PHI,QB
102,Daniel Jones,0.0,NYG,QB
103,Trevor Lawrence,0.0,JAC,QB
113,Zach Wilson,0.0,NYJ,QB
114,Davis Mills,0.0,HOU,QB
140,Trevor Siemian,0.0,NO,QB
0,Saquon Barkley,385.8,NYG,RB
1,Christian McCaffrey,385.5,CAR,RB
3,Alvin Kamara,354.2,NO,RB
4,Ezekiel Elliott,329.2,DAL,RB
5,James Conner,280.0,ARI,RB
6,James White,276.6,NE,RB
7,Melvin Gordon,275.5,DEN,RB
8,David Johnson,246.7,HOU,RB
9,Joe Mixon,243.4,CIN,RB
10,Tarik Cohen,233.9,CHI,RB
11,Kareem Hunt,230.2,CLE,RB
12,Phillip Lindsay,222.8,MIA,RB
13,Kenyan Drake,206.2,LV,RB
14,Chris Carson,201.4,SEA,RB
15,Derrick Henry,201.3,TEN,RB
16,Nick Chubb,194.5,CLE,RB
17,Tevin Coleman,193.6,NYJ,RB
18,Adrian Peterson,189.0,SEA,RB
19,Jordan Howard,180.0,PHI,RB
20,Marlon Mack,178.1,IND,RB
23,Aaron Jones,171.5,GB,RB
24,Austin Ekeler,168.8,LAC,RB
25,Matt Breida,162.5,BUF,RB
26,Nyheim Hines,160.9,IND,RB
27,Dion Lewis,160.7,FA,RB
29,Dalvin Cook,152.0,MIN,RB
31,Mark Ingram,142.5,NO,RB
34,Sony Michel,139.1,LAR,RB
35,Mike Davis,136.8,ATL,RB
37,Latavius Murray,131.9,BAL,RB
38,LeSean McCoy,127.2,FA,RB
39,Leonard Fournette,120.4,TB,RB
43,Jamaal Williams,114.4,DET,RB
44,Alex Collins,108.6,SEA,RB
45,Frank Gore,102.6,FA,RB
47,Damien Williams,98.6,CHI,RB
48,Carlos Hyde,98.4,JAC,RB
51,Giovani Bernard,95.9,TB,RB
54,Gus Edwards,89.8,BAL,RB
55,Devontae Booker,87.8,NYG,RB
66,Rashaad Penny,70.4,SEA,RB
70,Chase Edmonds,63.1,ARI,RB
72,Justin Jackson,61.1,LAC,RB
78,Rex Burkhead,49.7,HOU,RB
80,Wayne Gallman,44.5,FA,RB
81,Jeff Wilson,44.4,SF,RB
82,Jay Ajayi,43.4,FA,RB
84,Malcolm Brown,39.4,MIA,RB
86,Raheem Mostert,38.6,SF,RB
89,Brandon Bolden,29.4,NE,RB
94,Ronald Jones,20.7,TB,RB
97,Dontrell Hilliard,17.5,TEN,RB
99,Darrel Williams,16.1,KC,RB
105,Devonta Freeman,14.1,BAL,RB
107,Mark Walton,12.5,FA,RB
110,DeAndre Washington,11.4,FA,RB
112,D'Onta Foreman,10.7,TEN,RB
122,Mike Boone,6.8,DEN,RB
123,Samaje Perine,6.7,CIN,RB
134,Ameer Abdullah,3.9,CAR,RB
151,JD McKissic,0.8,WAS,RB
152,Jeremy McNichols,0.4,TEN,RB
156,AJ Dillon,0.0,GB,RB
157,Eno Benjamin,0.0,ARI,RB
159,Trey Sermon,0.0,SF,RB
167,Salvon Ahmed,0.0,MIA,RB
170,Tony Jones,0.0,NO,RB
172,Clyde Edwards-Helaire,0.0,KC,RB
173,Austin Walter,0.0,NYJ,RB
175,Najee Harris,0.0,PIT,RB
176,Cam Akers,0.0,LAR,RB
177,Zack Moss,0.0,BUF,RB
178,JK Dobbins,0.0,BAL,RB
179,Jonathan Taylor,0.0,IND,RB
180,D'Andre Swift,0.0,DET,RB
181,Derrick Gore,0.0,KC,RB
182,D'Ernest Johnson,0.0,CLE,RB
184,Travis Etienne,0.0,JAC,RB
191,Chuba Hubbard,0.0,CAR,RB
198,Jermar Jefferson,0.0,DET,RB
206,DeeJay Dallas,0.0,SEA,RB
210,Ty'Son Williams,0.0,BAL,RB
211,James Robinson,0.0,JAC,RB
212,JaMycal Hasty,0.0,SF,RB
213,Antonio Gibson,0.0,WAS,RB
220,David Montgomery,0.0,CHI,RB
221,Damien Harris,0.0,NE,RB
223,Kenneth Gainwell,0.0,PHI,RB
236,Alexander Mattison,0.0,MIN,RB
242,Darrell Henderson,0.0,LAR,RB
245,Tony Pollard,0.0,DAL,RB
253,Kene Nwangwu,0.0,MIN,RB
254,Ty Johnson,0.0,NYJ,RB
259,Miles Sanders,0.0,PHI,RB
260,Devin Singletary,0.0,BUF,RB
261,Josh Jacobs,0.0,LV,RB
265,Rhamondre Stevenson,0.0,NE,RB
266,Javonte Williams,0.0,DEN,RB
267,Michael Carter,0.0,NYJ,RB
269,Khalil Herbert,0.0,CHI,RB
270,Elijah Mitchell,0.0,SF,RB
275,Jaret Patterson,0.0,WAS,RB
278,Boston Scott,0.0,PHI,RB
298,Cordarrelle Patterson,0.0,ATL,RB
305,Godwin Igwebuike,0.0,DET,RB
310,Myles Gaskin,0.0,MIA,RB
0,DeAndre Hopkins,333.5,ARI,WR
1,Davante Adams,329.6,GB,WR
2,Tyreek Hill,328.0,KC,WR
3,Julio Jones,325.8,TEN,WR
4,Antonio Brown,323.7,TB,WR
5,Michael Thomas,315.5,NO,WR
6,Adam Thielen,307.3,MIN,WR
7,JuJu Smith-Schuster,296.9,PIT,WR
8,Mike Evans,284.4,TB,WR
9,Stefon Diggs,266.3,BUF,WR
