Player,FPTS,ROST,Team,Pos
Matt Ryan,35.5,38.3%,ATL,QB
Ben Roethlisberger,33.9,18.4%,PIT,QB
Russell Wilson,23.9,90.9%,SEA,QB
Derek Carr,23.8,73.4%,LV,QB
Philip Rivers,18.8,20.6%,FA,QB
Dak Prescott,18.1,98.6%,DAL,QB
Andrew Luck,17.7,2.2%,FA,QB
Alex Smith,17.7,5.0%,FA,QB
Kirk Cousins,17.3,82.1%,MIN,QB
Tyrod Taylor,16.6,14.8%,HOU,QB
Cam Newton,15.6,31.7%,CAR,QB
Andy Dalton,14.6,2.1%,CHI,QB
Drew Brees,11.9,35.7%,FA,QB
Carson Palmer,11.5,5.6%,FA,QB
Jameis Winston,11.1,5.9%,NO,QB
Ryan Fitzpatrick,8.9,6.2%,WAS,QB
Eli Manning,8.4,2.3%,FA,QB
Matthew Stafford,8.2,96.9%,LAR,QB
Ryan Tannehill,7.6,64.4%,TEN,QB
Trevor Siemian,6.7,2.5%,NO,QB
Aaron Rodgers,0.0,97.3%,GB,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Justin Herbert,0.0,98.2%,LAC,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Josh Allen,0.0,100.0%,BUF,QB
Tom Brady,0.0,99.0%,TB,QB
Jared Goff,0.0,4.8%,DET,QB
Carson Wentz,0.0,61.4%,IND,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Melvin Gordon,23.9,87.5%,DEN,RB
LeSean McCoy,22.8,2.0%,FA,RB
Le'Veon Bell,22.8,1.9%,FA,RB
Ezekiel Elliott,22.7,99.9%,DAL,RB
Mark Ingram,22.5,74.2%,NO,RB
Frank Gore,20.5,12.1%,FA,RB
Jordan Howard,16.2,10.5%,PHI,RB
Carlos Hyde,14.9,10.1%,JAC,RB
David Johnson,14.4,40.3%,HOU,RB
Devonta Freeman,14.4,72.8%,BAL,RB
James White,11.2,8.7%,NE,RB
Giovani Bernard,7.2,6.9%,TB,RB
Jay Ajayi,6.6,7.0%,FA,RB
Matt Forte,6.3,19.1%,FA,RB
Tevin Coleman,6.3,41.5%,NYJ,RB
DeAndre Washington,5.6,11.0%,FA,RB
Latavius Murray,4.4,28.1%,BAL,RB
Brandon Bolden,3.5,14.0%,NE,RB
Devontae Booker,3.0,28.0%,NYG,RB
Damien Williams,2.5,5.2%,CHI,RB
Kenyan Drake,1.5,54.3%,LV,RB
Derrick Henry,0.9,84.1%,TEN,RB
Alex Collins,0.1,34.3%,SEA,RB
Boston Scott,0.0,34.3%,PHI,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
James Robinson,0.0,97.8%,JAC,RB
JaMycal Hasty,0.0,1.3%,SF,RB
Antonio Gibson,0.0,98.1%,WAS,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
Gus Edwards,0.0,10.3%,BAL,RB
Justin Jackson,0.0,1.2%,LAC,RB
Rashaad Penny,0.0,3.9%,SEA,RB
Sony Michel,0.0,64.4%,LAR,RB
Godwin Igwebuike,0.0,1.8%,DET,RB
Myles Gaskin,0.0,93.5%,MIA,RB
Nyheim Hines,0.0,51.2%,IND,RB
Jaret Patterson,0.0,1.4%,WAS,RB
Chase Edmonds,0.0,72.4%,ARI,RB
Phillip Lindsay,0.0,10.6%,MIA,RB
Darrel Williams,0.0,65.3%,KC,RB
Alexander Mattison,0.0,93.3%,MIN,RB
Jeff Wilson,0.0,21.4%,SF,RB
Darrell Henderson,0.0,97.8%,LAR,RB
Tony Pollard,0.0,77.6%,DAL,RB
Damien Harris,0.0,89.4%,NE,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
David Montgomery,0.0,95.9%,CHI,RB
Ty Johnson,0.0,22.6%,NYJ,RB
Miles Sanders,0.0,90.2%,PHI,RB
Devin Singletary,0.0,71.1%,BUF,RB
Josh Jacobs,0.0,96.8%,LV,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Trey Sermon,0.0,14.8%,SF,RB
Eno Benjamin,0.0,2.0%,ARI,RB
AJ Dillon,0.0,90.2%,GB,RB
Tony Jones,0.0,7.0%,NO,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Mike Boone,0.0,6.0%,DEN,RB
Travis Etienne,0.0,6.5%,JAC,RB
Clyde Edwards-Helaire,0.0,93.6%,KC,RB
Najee Harris,0.0,99.9%,PIT,RB
Cam Akers,0.0,4.9%,LAR,RB
