Player,FPTS,ROST,Team,Pos
Drew Brees,32.6,35.7%,FA,QB
Matthew Stafford,28.2,96.9%,LAR,QB
Tom Brady,27.2,99.0%,TB,QB
Cam Newton,27.0,31.7%,CAR,QB
Eli Manning,24.1,2.3%,FA,QB
Andrew Luck,23.4,2.2%,FA,QB
Andy Dalton,21.9,2.1%,CHI,QB
Matt Ryan,21.6,38.3%,ATL,QB
Tyrod Taylor,20.0,14.8%,HOU,QB
Dak Prescott,18.5,98.6%,DAL,QB
Kirk Cousins,17.3,82.1%,MIN,QB
Trevor Siemian,13.3,2.5%,NO,QB
Aaron Rodgers,12.5,97.3%,GB,QB
Carson Palmer,12.4,5.6%,FA,QB
Russell Wilson,11.5,90.9%,SEA,QB
Philip Rivers,11.1,20.6%,FA,QB
Ryan Tannehill,10.4,64.4%,TEN,QB
Derek Carr,9.8,73.4%,LV,QB
Ben Roethlisberger,9.6,18.4%,PIT,QB
Alex Smith,8.9,5.0%,FA,QB
Carson Wentz,7.4,61.4%,IND,QB
Ryan Fitzpatrick,5.2,6.2%,WAS,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Justin Fields,0.0,17.0%,CHI,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Justin Herbert,0.0,98.2%,LAC,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Josh Allen,0.0,100.0%,BUF,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Jared Goff,0.0,4.8%,DET,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Jameis Winston,0.0,5.9%,NO,QB
David Johnson,34.8,40.3%,HOU,RB
LeSean McCoy,34.2,2.0%,FA,RB
Jay Ajayi,33.7,7.0%,FA,RB
James White,26.6,8.7%,NE,RB
Ezekiel Elliott,19.4,99.9%,DAL,RB
Le'Veon Bell,18.8,1.9%,FA,RB
Giovani Bernard,13.4,6.9%,TB,RB
Jordan Howard,12.0,10.5%,PHI,RB
Frank Gore,11.8,12.1%,FA,RB
Damien Williams,9.7,5.2%,CHI,RB
Melvin Gordon,9.4,87.5%,DEN,RB
Alex Collins,8.1,34.3%,SEA,RB
Mark Ingram,8.0,74.2%,NO,RB
Devonta Freeman,8.0,72.8%,BAL,RB
Devontae Booker,7.3,28.0%,NYG,RB
Carlos Hyde,5.2,10.1%,JAC,RB
DeAndre Washington,4.9,11.0%,FA,RB
Derrick Henry,4.7,84.1%,TEN,RB
Matt Forte,3.2,19.1%,FA,RB
Mike Davis,2.9,48.7%,ATL,RB
Tevin Coleman,2.7,41.5%,NYJ,RB
Rex Burkhead,1.6,26.4%,HOU,RB
Antonio Gibson,0.0,98.1%,WAS,RB
JaMycal Hasty,0.0,1.3%,SF,RB
James Robinson,0.0,97.8%,JAC,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Tony Jones,0.0,7.0%,NO,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Jaret Patterson,0.0,1.4%,WAS,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
Cam Akers,0.0,4.9%,LAR,RB
Jeff Wilson,0.0,21.4%,SF,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
Mike Boone,0.0,6.0%,DEN,RB
David Montgomery,0.0,95.9%,CHI,RB
Damien Harris,0.0,89.4%,NE,RB
Devin Singletary,0.0,71.1%,BUF,RB
Justin Jackson,0.0,1.2%,LAC,RB
Godwin Igwebuike,0.0,1.8%,DET,RB
Sony Michel,0.0,64.4%,LAR,RB
Rashaad Penny,0.0,3.9%,SEA,RB
Nyheim Hines,0.0,51.2%,IND,RB
Myles Gaskin,0.0,93.5%,MIA,RB
Chase Edmonds,0.0,72.4%,ARI,RB
Gus Edwards,0.0,10.3%,BAL,RB
Boston Scott,0.0,34.3%,PHI,RB
Darrel Williams,0.0,65.3%,KC,RB
Phillip Lindsay,0.0,10.6%,MIA,RB
Josh Jacobs,0.0,96.8%,LV,RB
Miles Sanders,0.0,90.2%,PHI,RB
Trey Sermon,0.0,14.8%,SF,RB
D'Ernest Johnson,0.0,24.3%,CLE,RB
Derrick Gore,0.0,1.8%,KC,RB
Eno Benjamin,0.0,2.0%,ARI,RB
AJ Dillon,0.0,90.2%,GB,RB
Clyde Edwards-Helaire,0.0,93.6%,KC,RB
Najee Harris,0.0,99.9%,PIT,RB
Zack Moss,0.0,48.9%,BUF,RB
J.K. Dobbins,0.0,9.5%,BAL,RB
Travis Etienne,0.0,6.5%,JAC,RB
Jonathan Taylor,0.0,99.9%,IND,RB
D'Andre Swift,0.0,97.3%,DET,RB
Darrell Henderson,0.0,97.8%,LAR,RB
Ty Johnson,0.0,22.6%,NYJ,RB
Tony Pollard,0.0,77.6%,DAL,RB
Alexander Mattison,0.0,93.3%,MIN,RB
Elijah Mitchell,0.0,89.9%,SF,RB
Khalil Herbert,0.0,16.9%,CHI,RB
Javonte Williams,0.0,90.3%,DEN,RB
Michael Carter,0.0,67.4%,NYJ,RB
Rhamondre Stevenson,0.0,52.9%,NE,RB
Kenneth Gainwell,0.0,11.6%,PHI,RB
Kene Nwangwu,0.0,2.0%,MIN,RB
Cordarrelle Patterson,0.0,95.6%,ATL,RB
Brandon Bolden,0.0,14.0%,NE,RB
Adrian Peterson,0.0,13.2%,SEA,RB
J.D. McKissic,0.0,49.5%,WAS,RB
Kenyan Drake,0.0,54.3%,LV,RB
Dalvin Cook,0.0,99.4%,MIN,RB
Matt Breida,0.0,28.8%,BUF,RB
Nick Chubb,0.0,99.6%,CLE,RB
Ronald Jones,0.0,22.9%,TB,RB
Saquon Barkley,0.0,98.6%,NYG,RB
Leonard Fournette,0.0,98.1%,TB,RB
Jeremy McNichols,0.0,11.2%,TEN,RB
Tarik Cohen,0.0,3.6%,CHI,RB
James Conner,0.0,97.0%,ARI,RB
Marlon Mack,0.0,1.6%,IND,RB
