Player,FPTS,ROST,Team,Pos
Kenyan Drake,0.0,54.3%,LV,RB
Christian McCaffrey,0.0,57.4%,CAR,RB
Joe Mixon,0.0,99.9%,CIN,RB
Matt Breida,0.0,28.8%,BUF,RB
Saquon Barkley,0.0,98.6%,NYG,RB
Nick Chubb,0.0,99.6%,CLE,RB
Ronald Jones,0.0,22.9%,TB,RB
Alvin Kamara,0.0,100.0%,NO,RB
Tarik Cohen,0.0,3.6%,CHI,RB
Austin Ekeler,0.0,99.9%,LAC,RB
James Conner,0.0,97.0%,ARI,RB
Jeremy McNichols,0.0,11.2%,TEN,RB
Marlon Mack,0.0,1.6%,IND,RB
Kareem Hunt,0.0,90.6%,CLE,RB
Jamaal Williams,0.0,85.0%,DET,RB
Samaje Perine,0.0,6.8%,CIN,RB
Wayne Gallman,0.0,1.2%,ATL,RB
Chris Carson,0.0,37.6%,SEA,RB
Aaron Jones,0.0,98.9%,GB,RB
Raheem Mostert,0.0,13.1%,SF,RB
Devontae Booker,-1.2,28.0%,NYG,RB
A.J. Green,36.0,36.5%,ARI,WR
Brandin Cooks,33.4,92.5%,HOU,WR
Antonio Brown,32.6,75.3%,TB,WR
Amari Cooper,21.7,97.1%,DAL,WR
Will Fuller,21.7,26.4%,MIA,WR
Mike Evans,20.9,99.5%,TB,WR
Stefon Diggs,17.2,100.0%,BUF,WR
Julio Jones,16.6,63.4%,TEN,WR
DeAndre Hopkins,16.4,99.3%,ARI,WR
DeSean Jackson,16.2,9.6%,LV,WR
Nelson Agholor,15.7,17.0%,NE,WR
Julian Edelman,15.2,13.1%,FA,WR
Tajae Sharpe,14.6,1.4%,ATL,WR
Cole Beasley,14.5,69.4%,BUF,WR
Davante Adams,14.0,100.0%,GB,WR
T.Y. Hilton,13.9,24.2%,IND,WR
Sterling Shepard,13.3,35.3%,NYG,WR
Allen Robinson,13.2,62.3%,CHI,WR
Jarvis Landry,12.9,73.1%,CLE,WR
Randall Cobb,12.8,12.2%,GB,WR
Marvin Jones,12.5,62.8%,JAC,WR
Keenan Allen,12.3,99.2%,LAC,WR
Jamison Crowder,11.8,23.1%,NYJ,WR
Michael Thomas,11.8,21.8%,NO,WR
Odell Beckham,11.3,89.2%,LAR,WR
Emmanuel Sanders,9.9,62.1%,BUF,WR
Adam Thielen,9.4,98.3%,MIN,WR
Tyrell Williams,9.1,5.1%,FA,WR
Sammy Watkins,8.3,8.7%,BAL,WR
Tyreek Hill,7.9,100.0%,KC,WR
Brandon Marshall,6.2,2.6%,FA,WR
Robert Woods,6.0,34.0%,LAR,WR
Tyler Lockett,4.7,97.5%,SEA,WR
Tyler Boyd,4.4,64.9%,CIN,WR
Cordarrelle Patterson,2.4,95.6%,ATL,WR
John Brown,1.8,1.3%,FA,WR
Dez Bryant,1.8,2.6%,FA,WR
Darius Slayton,0.0,6.0%,NYG,WR
Deonte Harris,0.0,9.4%,NO,WR
Darnell Mooney,0.0,79.5%,CHI,WR
Amon-Ra St.,0.0,6.3%,DET,WR
Rondale Moore,0.0,21.5%,ARI,WR
