,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
54,Dion Lewis,RB,NE,0,0,0,0,0,0,0,0,bye,0,21,23,20,17,28,27,27,163,23.3
55,Lee Smith,TE,OAK,41,40,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,125,31.3
56,Dwayne Harris,WR,NYG,1,3,1,1,0,2,3,bye,16,2,2,6,0,6,5,2,8,58,3.6
57,Tyrod Taylor,QB,BUF,49,51,64,78,54,67,57,69,85,bye,65,55,72,52,59,92,0,969,64.6
58,Virgil Green,TE,DEN,41,41,0,0,0,57,39,48,40,58,bye,50,39,32,5,0,35,485,40.4
59,Robert Griffin,QB,CLE,51,0,0,0,0,0,0,0,0,0,0,0,bye,54,58,61,78,302,60.4
60,Ryan Tannehill,QB,MIA,54,64,67,45,44,70,73,bye,63,51,60,59,62,46,0,0,0,758,58.3
61,Nick Foles,QB,KC,0,0,0,0,bye,0,0,45,58,0,0,0,0,0,0,0,3,106,35.3
62,Kirk Cousins,QB,WAS,58,67,71,62,66,74,73,91,bye,63,66,75,60,48,64,67,55,1060,66.3
63,Russell Wilson,QB,SEA,82,67,46,60,bye,66,63,54,47,70,67,63,61,68,61,83,49,1007,62.9
64,Lamar Miller,RB,HOU,60,52,54,51,42,58,32,33,bye,24,57,48,31,33,48,0,0,623,44.5
65,Alshon Jeffery,WR,CHI,54,50,65,56,61,74,45,57,bye,55,0,0,0,0,61,66,49,693,57.8
66,Mohamed Sanu,WR,ATL,56,48,27,52,46,52,51,55,52,46,bye,62,62,0,46,45,46,746,49.7
67,T.Y. Hilton,WR,IND,68,64,63,75,61,70,68,54,59,bye,52,25,46,63,60,50,69,947,59.2
68,Travis Benjamin,WR,SD,55,44,45,54,31,25,46,38,7,0,0,37,43,44,29,50,0,548,39.1
69,Marvin Jones,WR,DET,61,73,65,61,53,56,49,60,62,bye,51,59,0,60,51,56,62,879,58.6
70,Rhett Ellison,TE,MIN,13,11,21,16,0,bye,13,9,25,19,16,23,18,27,5,21,22,259,17.3
71,Alfred Morris,RB,DAL,14,10,7,12,10,5,bye,7,24,10,5,5,1,2,0,0,18,130,9.3
72,Brandon Bolden,RB,NE,3,0,2,5,0,0,3,0,bye,0,0,0,0,0,0,0,0,13,0.9
73,Derek Carrier,TE,WAS,0,0,0,0,0,0,0,0,bye,9,14,15,11,8,5,11,7,80,10.0
74,Case Keenum,QB,LAR,61,62,65,59,66,58,79,bye,68,69,0,0,0,0,9,0,0,596,59.6
75,Cole Beasley,WR,DAL,49,41,30,51,29,30,bye,51,29,35,44,35,25,42,45,27,38,601,37.6
76,Chris Hogan,WR,NE,55,63,55,52,49,56,33,63,bye,31,0,67,68,57,52,64,64,829,55.3
77,Garrett Celek,TE,SF,46,32,38,39,61,27,41,bye,30,20,34,33,25,44,29,59,48,606,37.9
78,Jermaine Kearse,WR,SEA,70,55,53,44,bye,53,56,47,40,57,47,50,64,53,37,66,37,829,51.8
79,Travis Kelce,TE,KC,63,55,58,71,bye,55,47,67,43,61,44,77,39,41,49,70,47,887,55.4
80,Marquise Goodwin,WR,BUF,11,28,53,63,38,50,31,0,48,bye,54,43,59,43,53,33,33,640,42.7
81,DeAndre Hopkins,WR,HOU,73,72,69,61,64,69,70,66,bye,61,74,67,66,71,82,64,55,1084,67.8
82,Robert Woods,WR,BUF,41,46,61,69,48,54,0,46,67,bye,10,0,0,27,30,79,56,634,48.8
83,Kenny Stills,WR,MIA,54,63,65,45,35,54,68,bye,15,36,50,51,62,57,26,59,55,795,49.7
84,Cordarrelle Patterson,RB,MIN,5,3,5,36,45,bye,51,41,40,43,35,34,48,32,44,45,24,531,33.2
85,Keenan Allen,WR,SD,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27.0
86,Tavon Austin,WR,LAR,57,45,50,47,44,49,62,bye,52,47,51,40,0,48,43,48,47,730,48.7
87,Giovani Bernard,RB,CIN,28,47,35,34,53,45,33,48,bye,31,40,0,0,0,0,0,0,394,39.4
88,Le'Veon Bell,RB,PIT,0,0,0,52,73,53,72,bye,65,74,69,47,72,72,75,57,0,781,65.1
89,Theo Riddick,RB,DET,24,51,45,51,40,0,0,52,46,bye,33,48,33,0,0,0,0,423,42.3
90,Chris Thompson,RB,WAS,39,28,34,20,21,36,43,48,bye,21,23,43,26,17,35,22,31,487,30.4
91,Rex Burkhead,RB,CIN,0,0,0,0,2,3,7,1,bye,0,4,38,27,30,21,49,56,238,14.9
