Player,FPTS,ROST,Team,Pos
Drew Brees,29.4,35.7%,FA,QB
Carson Palmer,20.7,5.6%,FA,QB
Russell Wilson,20.4,90.9%,SEA,QB
Cam Newton,20.0,31.7%,CAR,QB
Matt Ryan,19.3,38.3%,ATL,QB
Dak Prescott,19.2,98.6%,DAL,QB
Andrew Luck,18.8,2.2%,FA,QB
Eli Manning,16.0,2.3%,FA,QB
Tyrod Taylor,15.9,14.8%,HOU,QB
Ben Roethlisberger,14.9,18.4%,PIT,QB
Philip Rivers,14.2,20.6%,FA,QB
Aaron Rodgers,12.0,97.3%,GB,QB
Carson Wentz,11.6,61.4%,IND,QB
Alex Smith,11.6,5.0%,FA,QB
Derek Carr,11.0,73.4%,LV,QB
Jameis Winston,10.5,5.9%,NO,QB
Andy Dalton,10.4,2.1%,CHI,QB
Matthew Stafford,10.2,96.9%,LAR,QB
Kirk Cousins,9.7,82.1%,MIN,QB
Trevor Siemian,9.7,2.5%,NO,QB
Tom Brady,7.4,99.0%,TB,QB
Jared Goff,5.4,4.8%,DET,QB
Ryan Fitzpatrick,0.3,6.2%,WAS,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Joe Burrow,0.0,88.2%,CIN,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Josh Allen,0.0,100.0%,BUF,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Devonta Freeman,33.5,72.8%,BAL,RB
LeSean McCoy,31.9,2.0%,FA,RB
Ezekiel Elliott,27.8,99.9%,DAL,RB
David Johnson,26.8,40.3%,HOU,RB
Jordan Howard,21.3,10.5%,PHI,RB
Le'Veon Bell,18.1,1.9%,FA,RB
Derrick Henry,17.8,84.1%,TEN,RB
Frank Gore,15.5,12.1%,FA,RB
Dion Lewis,12.4,2.0%,FA,RB
Mark Ingram,11.2,74.2%,NO,RB
Tevin Coleman,8.6,41.5%,NYJ,RB
Latavius Murray,8.2,28.1%,BAL,RB
Rex Burkhead,7.0,26.4%,HOU,RB
Carlos Hyde,6.7,10.1%,JAC,RB
James White,6.5,8.7%,NE,RB
Devontae Booker,5.3,28.0%,NYG,RB
Jay Ajayi,5.1,7.0%,FA,RB
DeAndre Washington,4.4,11.0%,FA,RB
Matt Forte,3.8,19.1%,FA,RB
Darren McFadden,1.8,7.0%,FA,RB
Malcolm Brown,1.8,2.8%,MIA,RB
Kenyan Drake,1.6,54.3%,LV,RB
Adrian Peterson,1.3,13.2%,SEA,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
Tony Jones,0.0,7.0%,NO,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Antonio Gibson,0.0,98.1%,WAS,RB
JaMycal Hasty,0.0,1.3%,SF,RB
James Robinson,0.0,97.8%,JAC,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Jaret Patterson,0.0,1.4%,WAS,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
Jeff Wilson,0.0,21.4%,SF,RB
Miles Sanders,0.0,90.2%,PHI,RB
Devin Singletary,0.0,71.1%,BUF,RB
Josh Jacobs,0.0,96.8%,LV,RB
David Montgomery,0.0,95.9%,CHI,RB
Damien Harris,0.0,89.4%,NE,RB
Rashaad Penny,0.0,3.9%,SEA,RB
Chase Edmonds,0.0,72.4%,ARI,RB
Godwin Igwebuike,0.0,1.8%,DET,RB
Sony Michel,0.0,64.4%,LAR,RB
Phillip Lindsay,0.0,10.6%,MIA,RB
Justin Jackson,0.0,1.2%,LAC,RB
Nyheim Hines,0.0,51.2%,IND,RB
Darrel Williams,0.0,65.3%,KC,RB
Mike Boone,0.0,6.0%,DEN,RB
Gus Edwards,0.0,10.3%,BAL,RB
Boston Scott,0.0,34.3%,PHI,RB
D'Andre Swift,0.0,97.3%,DET,RB
