Player,FPTS,Team,Pos
Daniel Jones,28.2,NYG,QB
Deshaun Watson,27.8,HOU,QB
Aaron Rodgers,27.1,GB,QB
Drew Brees,25.9,FA,QB
Matthew Stafford,24.4,LAR,QB
Derek Carr,23.4,LV,QB
Jared Goff,22.9,DET,QB
Jameis Winston,21.3,NO,QB
Ryan Tannehill,19.4,TEN,QB
Tom Brady,18.4,TB,QB
Josh Allen,17.3,BUF,QB
Mason Rudolph,17.0,PIT,QB
Russell Wilson,15.7,SEA,QB
Sam Darnold,15.6,CAR,QB
Taysom Hill,15.3,NO,QB
Carson Wentz,14.4,IND,QB
Jimmy Garoppolo,14.0,SF,QB
Ryan Fitzpatrick,13.3,WAS,QB
Baker Mayfield,12.6,CLE,QB
Kirk Cousins,11.6,MIN,QB
Philip Rivers,11.0,FA,QB
Kyler Murray,10.1,ARI,QB
Jacoby Brissett,9.5,MIA,QB
Trevor Lawrence,0.0,JAC,QB
Justin Fields,0.0,CHI,QB
Mac Jones,0.0,NE,QB
Trey Lance,0.0,SF,QB
Joe Burrow,0.0,CIN,QB
Mike White,0.0,NYJ,QB
Tua Tagovailoa,0.0,MIA,QB
Jordan Love,0.0,GB,QB
Jalen Hurts,0.0,PHI,QB
Justin Herbert,0.0,LAC,QB
Zach Wilson,0.0,NYJ,QB
Lamar Jackson,0.0,BAL,QB
Cam Newton,0.0,CAR,QB
Tyrod Taylor,0.0,HOU,QB
Colt McCoy,0.0,ARI,QB
Ben Roethlisberger,0.0,PIT,QB
Matt Ryan,0.0,ATL,QB
Dak Prescott,0.0,DAL,QB
Trevor Siemian,0.0,NO,QB
P.J. Walker,0.0,CAR,QB
Patrick Mahomes,0.0,KC,QB
Geno Smith,0.0,SEA,QB
Taylor Heinicke,0.0,WAS,QB
Teddy Bridgewater,-0.2,DEN,QB
Aaron Jones,41.6,GB,RB
Tevin Coleman,37.8,NYJ,RB
Latavius Murray,36.7,BAL,RB
Saquon Barkley,28.3,NYG,RB
Dalvin Cook,28.1,MIN,RB
Christian McCaffrey,27.5,CAR,RB
David Montgomery,24.7,CHI,RB
James Conner,24.0,ARI,RB
Miles Sanders,22.8,PHI,RB
Leonard Fournette,20.6,TB,RB
Jamaal Williams,18.6,DET,RB
Jordan Howard,18.1,PHI,RB
Joe Mixon,17.7,CIN,RB
Devonta Freeman,16.2,BAL,RB
Marlon Mack,16.0,IND,RB
Chris Carson,15.0,SEA,RB
Devin Singletary,14.9,BUF,RB
Phillip Lindsay,12.6,HOU,RB
Adrian Peterson,12.3,TEN,RB
Raheem Mostert,12.0,SF,RB
James White,11.9,NE,RB
Melvin Gordon,11.4,DEN,RB
Nick Chubb,10.8,CLE,RB
Austin Ekeler,10.2,LAC,RB
Josh Jacobs,10.1,LV,RB
Damien Williams,9.0,CHI,RB
Darrell Henderson,8.9,LAR,RB
Alexander Mattison,8.4,MIN,RB
Carlos Hyde,8.3,JAC,RB
LeSean McCoy,8.3,FA,RB
Nyheim Hines,7.6,IND,RB
Tarik Cohen,7.6,CHI,RB
Sony Michel,7.4,LAR,RB
Derrick Henry,7.3,TEN,RB
Giovani Bernard,6.5,TB,RB
Le'Veon Bell,6.5,FA,RB
Mark Walton,6.4,FA,RB
Ronald Jones,6.2,TB,RB
Rashaad Penny,5.5,SEA,RB
Ty Johnson,4.8,NYJ,RB
Boston Scott,4.6,PHI,RB
DeAndre Washington,3.7,FA,RB
Frank Gore,3.4,FA,RB
Chase Edmonds,3.3,ARI,RB
J.D. McKissic,3.1,WAS,RB
Wayne Gallman,3.0,ATL,RB
Mike Davis,1.8,ATL,RB
Dion Lewis,1.2,FA,RB
Darrel Williams,1.0,KC,RB
Jeff Wilson,0.6,SF,RB
Antonio Gibson,0.0,WAS,RB
James Robinson,0.0,JAC,RB
Eno Benjamin,0.0,ARI,RB
Ty'Son Williams,0.0,BAL,RB
AJ Dillon,0.0,GB,RB
