,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,Aaron Rodgers,QB,GB,61,71,54,79,72,74,52,67,50,64,bye,67,62,60,59,77,88,1057,66.1
1,Adrian Peterson,RB,WAS,0,18,36,20,15,37,29,30,35,bye,17,20,23,28,32,35,28,403,26.9
2,Ben Roethlisberger,QB,PIT,67,28,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,95,47.5
3,Benjamin Watson,TE,NE,0,0,0,0,0,0,62,48,67,bye,59,47,47,32,34,31,40,467,46.7
4,Brian Hoyer,QB,IND,0,0,0,0,0,bye,0,0,55,69,2,0,0,0,0,3,0,129,32.3
5,Chase Daniel,QB,CHI,0,0,0,64,56,bye,0,0,0,0,7,0,0,0,0,0,0,127,31.8
6,Danny Amendola,WR,DET,44,35,22,0,bye,18,53,41,42,55,34,46,55,57,55,41,44,642,42.8
7,Darren Sproles,RB,PHI,22,28,27,7,9,0,0,0,10,bye,0,0,0,0,0,0,0,103,17.2
8,DeSean Jackson,WR,PHI,51,10,0,0,0,0,0,0,4,bye,0,0,0,0,0,0,0,65,21.7
9,Drew Brees,QB,NO,66,9,0,0,0,0,0,68,bye,66,64,62,47,68,60,68,56,634,57.6
10,Eli Manning,QB,NYG,63,68,0,0,0,0,0,0,0,0,bye,0,0,52,65,0,0,248,62.0
11,Frank Gore,RB,BUF,19,43,47,35,33,bye,30,17,21,22,20,22,15,13,19,2,14,372,23.3
12,Greg Olsen,TE,CAR,62,62,48,65,62,61,bye,53,65,72,68,68,38,0,0,40,26,790,56.4
13,Jared Cook,TE,NO,42,43,42,39,42,38,0,0,bye,46,47,36,28,8,28,36,26,501,35.8
14,Jason Witten,TE,DAL,45,53,37,46,59,72,52,bye,55,56,63,51,55,56,46,49,50,845,52.8
15,Joe Flacco,QB,DEN,62,82,73,55,60,60,67,73,0,bye,0,0,0,0,0,0,0,532,66.5
16,Josh McCown,QB,PHI,0,6,0,0,5,4,0,0,0,bye,0,0,0,0,0,0,0,15,5.0
17,Julian Edelman,WR,NE,67,66,39,60,71,72,73,66,67,bye,66,66,80,65,40,52,54,1004,62.8
18,Larry Fitzgerald,WR,ARI,84,54,69,53,55,51,47,39,53,53,53,bye,58,53,47,60,59,888,55.5
19,LeSean McCoy,RB,KC,20,30,26,32,14,27,26,23,6,0,26,bye,24,24,17,0,0,295,22.7
20,Marcedes Lewis,TE,GB,33,30,30,17,34,30,23,42,17,35,bye,27,27,38,32,41,32,488,30.5
21,Marshawn Lynch,RB,SEA,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,23,23,23.0
22,Matt Moore,QB,KC,9,0,0,0,0,0,41,59,59,0,0,bye,1,0,0,1,0,170,28.3
23,Matt Ryan,QB,ATL,74,63,60,79,73,67,46,0,bye,76,64,74,91,67,67,75,89,1065,71.0
