,Player,FPTS,Team,Pos
0,Lamar Jackson,421.7,BAL,QB
1,Dak Prescott,348.9,DAL,QB
2,Jameis Winston,335.2,NO,QB
3,Russell Wilson,333.5,SEA,QB
4,Deshaun Watson,333.0,HOU,QB
5,Josh Allen,297.5,BUF,QB
6,Kyler Murray,297.3,ARI,QB
7,Patrick Mahomes,291.9,KC,QB
8,Carson Wentz,282.9,IND,QB
9,Aaron Rodgers,282.3,GB,QB
10,Matt Ryan,281.4,ATL,QB
11,Tom Brady,271.6,TB,QB
12,Jared Goff,263.5,DET,QB
13,Jimmy Garoppolo,260.2,SF,QB
14,Philip Rivers,255.5,FA,QB
15,Ryan Fitzpatrick,254.7,WAS,QB
16,Derek Carr,252.5,LV,QB
17,Kirk Cousins,250.4,MIN,QB
18,Baker Mayfield,250.3,CLE,QB
19,Gardner Minshew,235.3,PHI,QB
20,Ryan Tannehill,230.2,TEN,QB
21,Drew Brees,228.8,FA,QB
22,Daniel Jones,226.9,NYG,QB
24,Andy Dalton,217.5,CHI,QB
26,Sam Darnold,202.1,CAR,QB
28,Matthew Stafford,171.5,LAR,QB
31,Taysom Hill,102.2,NO,QB
32,Teddy Bridgewater,92.5,DEN,QB
40,Eli Manning,59.3,FA,QB
51,Cam Newton,17.7,CAR,QB
52,Ben Roethlisberger,13.7,PIT,QB
56,Tyrod Taylor,6.0,HOU,QB
63,Trevor Siemian,0.1,NO,QB
74,Trey Lance,0.0,SF,QB
75,Mac Jones,0.0,NE,QB
80,Justin Herbert,0.0,LAC,QB
87,Justin Fields,0.0,CHI,QB
88,Trevor Lawrence,0.0,JAC,QB
97,Jalen Hurts,0.0,PHI,QB
98,Jordan Love,0.0,GB,QB
101,Tua Tagovailoa,0.0,MIA,QB
102,Joe Burrow,0.0,CIN,QB
105,Zach Wilson,0.0,NYJ,QB
106,Davis Mills,0.0,HOU,QB
115,Andrew Luck,0.0,FA,QB
133,Alex Smith,0.0,FA,QB
143,Taylor Heinicke,0.0,WAS,QB
0,Christian McCaffrey,471.2,CAR,RB
1,Aaron Jones,314.8,GB,RB
2,Ezekiel Elliott,311.7,DAL,RB
3,Austin Ekeler,309.0,LAC,RB
4,Derrick Henry,294.6,TEN,RB
5,Dalvin Cook,292.4,MIN,RB
6,Leonard Fournette,259.4,TB,RB
7,Nick Chubb,255.2,CLE,RB
8,Alvin Kamara,248.5,NO,RB
9,Saquon Barkley,244.1,NYG,RB
10,Mark Ingram,242.5,NO,RB
11,Chris Carson,232.6,SEA,RB
12,Joe Mixon,225.4,CIN,RB
14,Miles Sanders,218.7,PHI,RB
15,Le'Veon Bell,215.0,FA,RB
16,Kenyan Drake,214.2,LV,RB
17,James White,200.2,NE,RB
18,Phillip Lindsay,197.7,MIA,RB
19,Devonta Freeman,197.6,BAL,RB
20,Josh Jacobs,191.6,LV,RB
21,Marlon Mack,181.3,IND,RB
22,Melvin Gordon,180.8,DEN,RB
23,David Montgomery,170.4,CHI,RB
24,Ronald Jones,166.3,TB,RB
25,Raheem Mostert,165.2,SF,RB
26,Tarik Cohen,163.9,CHI,RB
27,Latavius Murray,157.2,BAL,RB
29,Carlos Hyde,153.2,JAC,RB
30,Sony Michel,152.6,LAR,RB
