,Player,FPTS,Team,Pos
0,Drew Brees,357.6,FA,QB
1,Cam Newton,297.8,FA,QB
3,Matthew Stafford,279.0,LAR,QB
4,Russell Wilson,270.3,DEN,QB
6,Ben Roethlisberger,258.9,FA,QB
7,Alex Smith,254.2,FA,QB
8,Tom Brady,251.5,TB,QB
9,Matt Ryan,248.1,IND,QB
10,Ryan Tannehill,238.5,TEN,QB
14,Aaron Rodgers,169.5,GB,QB
22,Kirk Cousins,33.6,MIN,QB
29,Daniel Jones,0.0,NYG,QB
30,Trey Lance,0.0,SF,QB
32,Mac Jones,0.0,NE,QB
36,Joe Burrow,0.0,CIN,QB
37,Tua Tagovailoa,0.0,MIA,QB
41,Justin Herbert,0.0,LAC,QB
42,Jalen Hurts,0.0,PHI,QB
43,Drew Lock,0.0,SEA,QB
51,Kyler Murray,0.0,ARI,QB
54,Trevor Lawrence,0.0,JAC,QB
55,Justin Fields,0.0,CHI,QB
71,Zach Wilson,0.0,NYJ,QB
72,Davis Mills,0.0,HOU,QB
88,Andrew Luck,0.0,FA,QB
92,Eli Manning,0.0,FA,QB
101,Carson Palmer,0.0,FA,QB
116,Philip Rivers,0.0,FA,QB
119,Patrick Mahomes,0.0,KC,QB
120,Mitchell Trubisky,0.0,PIT,QB
121,Deshaun Watson,0.0,CLE,QB
131,Josh Allen,0.0,BUF,QB
136,Baker Mayfield,0.0,CLE,QB
139,Sam Darnold,0.0,CAR,QB
140,Taysom Hill,0.0,NO,QB
141,Lamar Jackson,0.0,BAL,QB
144,Teddy Bridgewater,0.0,MIA,QB
145,Derek Carr,0.0,LV,QB
146,Jimmy Garoppolo,0.0,SF,QB
149,Marcus Mariota,0.0,ATL,QB
151,Jared Goff,0.0,DET,QB
152,Carson Wentz,0.0,WAS,QB
153,Dak Prescott,0.0,DAL,QB
154,Jameis Winston,0.0,NO,QB
0,LeSean McCoy,330.6,FA,RB
1,Adrian Peterson,232.7,SEA,RB
2,Giovani Bernard,222.9,TB,RB
3,Le'Veon Bell,216.9,FA,RB
4,Frank Gore,190.9,FA,RB
6,Cordarrelle Patterson,149.7,ATL,RB
8,Brandon Bolden,81.3,LV,RB
9,Mark Ingram,58.4,NO,RB
27,James Robinson,0.0,JAC,RB
29,Antonio Gibson,0.0,WAS,RB
40,Chuba Hubbard,0.0,CAR,RB
47,Dontrell Hilliard,0.0,TEN,RB
48,Jeff Wilson,0.0,SF,RB
52,Miles Sanders,0.0,PHI,RB
53,Devin Singletary,0.0,BUF,RB
54,Josh Jacobs,0.0,LV,RB
56,David Montgomery,0.0,CHI,RB
57,Damien Harris,0.0,NE,RB
58,Justin Jackson,0.0,LAC,RB
61,Sony Michel,0.0,LAR,RB
