,Player,ROST%,Team,Pos
0,Najee Harris,100%,PIT,RB
1,Austin Ekeler,100%,LAC,RB
2,Davante Adams,100%,GB,WR
3,Stefon Diggs,100%,BUF,WR
4,Ezekiel Elliott,100%,DAL,RB
5,Tyreek Hill,100%,KC,WR
6,Patrick Mahomes,100%,KC,QB
7,Dalvin Cook,100%,MIN,RB
8,Joe Mixon,100%,CIN,RB
9,Alvin Kamara,100%,NO,RB
10,Cooper Kupp,100%,LAR,WR
11,George Kittle,100%,SF,TE
12,Aaron Jones,100%,GB,RB
13,Josh Allen,100%,BUF,QB
14,Kyler Murray,100%,ARI,QB
15,CeeDee Lamb,100%,DAL,WR
16,Justin Jefferson,100%,MIN,WR
17,Jonathan Taylor,100%,IND,RB
18,DK Metcalf,100%,SEA,WR
19,Travis Kelce,100%,KC,TE
20,Mark Andrews,100%,BAL,TE
21,Nick Chubb,100%,CLE,RB
22,Lamar Jackson,100%,BAL,QB
23,Chris Godwin,99%,TB,WR
24,Saquon Barkley,99%,NYG,RB
0,Antonio Gibson,99%,WAS,RB
1,Dak Prescott,99%,DAL,QB
2,DeAndre Hopkins,99%,ARI,WR
3,Justin Herbert,99%,LAC,QB
4,Mike Evans,99%,TB,WR
5,Keenan Allen,99%,LAC,WR
6,Terry McLaurin,99%,WAS,WR
7,Tom Brady,99%,TB,QB
8,Darrell Henderson,98%,LAR,RB
9,Josh Jacobs,98%,LV,RB
10,James Robinson,98%,JAX,RB
11,Aaron Rodgers,98%,GB,QB
12,Kyle Pitts,98%,ATL,TE
13,Ja'Marr Chase,98%,CIN,WR
14,Deebo Samuel,98%,SF,WR
15,Amari Cooper,98%,DAL,WR
16,Matthew Stafford,98%,LAR,QB
17,David Montgomery,98%,CHI,RB
18,Tyler Lockett,98%,SEA,WR
19,Leonard Fournette,98%,TB,RB
20,Diontae Johnson,98%,PIT,WR
21,Adam Thielen,97%,MIN,WR
22,Rob Gronkowski,97%,TB,TE
23,DJ Moore,97%,CAR,WR
24,James Conner,97%,ARI,RB
0,Darren Waller,97%,LV,TE
1,Clyde Edwards-Helaire,96%,KC,RB
2,D'Andre Swift,96%,DET,RB
3,Russell Wilson,95%,SEA,QB
4,Mike Williams,95%,LAC,WR
5,Javonte Williams,95%,DEN,RB
6,Cordarrelle Patterson,94%,ATL,"WR,RB"
7,Marquise Brown,94%,BAL,WR
8,Tee Higgins,94%,CIN,WR
9,T.J. Hockenson,93%,DET,TE
10,Michael Pittman,93%,IND,WR
11,Jaylen Waddle,93%,MIA,WR
12,Jalen Hurts,93%,PHI,QB
13,AJ Dillon,92%,GB,RB
14,Kareem Hunt,92%,CLE,RB
15,Damien Harris,92%,NE,RB
16,A.J. Brown,91%,TEN,WR
17,Odell Beckham,91%,LAR,WR
18,Brandin Cooks,91%,HOU,WR
19,Brandon Aiyuk,91%,SF,WR
20,Myles Gaskin,91%,MIA,RB
21,Melvin Gordon,90%,DEN,RB
22,Joe Burrow,89%,CIN,QB
23,Tyler Higbee,88%,LAR,TE
24,Chase Claypool,88%,PIT,WR
0,Dalton Schultz,88%,DAL,TE
1,Eli Mitchell,88%,SF,RB
2,Miles Sanders,87%,PHI,RB
3,Jerry Jeudy,87%,DEN,WR
4,Chuba Hubbard,86%,CAR,RB
5,Zach Ertz,86%,ARI,TE
6,DeVonta Smith,86%,PHI,WR
7,Kirk Cousins,85%,MIN,QB
8,Tony Pollard,85%,DAL,RB
9,Alexander Mattison,84%,MIN,RB
10,Derrick Henry,84%,TEN,RB
11,Dawson Knox,83%,BUF,TE
12,Devonta Freeman,83%,BAL,RB
13,Noah Fant,83%,DEN,TE
14,Hunter Renfrow,83%,LV,WR
15,Sony Michel,83%,LAR,RB
16,Dallas Goedert,82%,PHI,TE
17,Michael Gallup,81%,DAL,WR
18,Mike Gesicki,81%,MIA,TE
19,Chase Edmonds,79%,ARI,RB
20,Courtland Sutton,79%,DEN,WR
21,Darnell Mooney,78%,CHI,WR
22,Julio Jones,76%,TEN,WR
23,Jamaal Williams,73%,DET,RB
24,Jarvis Landry,73%,CLE,WR
0,Van Jefferson,71%,LAR,WR
1,Devin Singletary,68%,BUF,RB
2,Christian Kirk,67%,ARI,WR
3,Derek Carr,67%,LV,QB
4,Calvin Ridley,67%,ATL,WR
5,Cole Beasley,66%,BUF,WR
6,Darrel Williams,66%,KC,RB
7,Ryan Tannehill,66%,TEN,QB
8,Pat Freiermuth,66%,PIT,TE
9,Tyler Boyd,65%,CIN,WR
10,Jakobi Meyers,65%,NE,WR
11,Jeff Wilson,64%,SF,RB
12,Michael Carter,63%,NYJ,RB
13,Elijah Moore,63%,NYJ,WR
14,Antonio Brown,63%,TB,WR
15,Jared Cook,60%,LAC,TE
16,Dontrell Hilliard,60%,TEN,RB
17,Hunter Henry,60%,NE,TE
18,D'Onta Foreman,60%,TEN,RB
19,Emmanuel Sanders,58%,BUF,WR
20,Mark Ingram,57%,NO,RB
21,Rhamondre Stevenson,56%,NE,RB
22,Allen Robinson,56%,CHI,WR
23,Russell Gage,53%,ATL,WR
24,Carson Wentz,53%,IND,QB
0,Marvin Jones,53%,JAX,WR
1,Kenny Golladay,52%,NYG,WR
2,Mike Davis,52%,ATL,RB
3,Marquez Valdes-Scantling,52%,GB,WR
4,Nyheim Hines,50%,IND,RB
5,Taysom Hill,50%,NO,QB
6,Tyler Conklin,48%,MIN,TE
7,J.D. McKissic,47%,WAS,RB
8,Christian McCaffrey,47%,CAR,RB
9,DeVante Parker,45%,MIA,WR
10,David Johnson,42%,HOU,RB
11,Zack Moss,42%,BUF,RB
12,Austin Hooper,41%,CLE,TE
13,Matt Ryan,41%,ATL,QB
14,A.J. Green,39%,ARI,WR
15,Jamison Crowder,38%,NYJ,WR
16,K.J. Osborn,38%,MIN,WR
17,Rashod Bateman,36%,BAL,WR
18,Robby Anderson,35%,CAR,WR
19,Taylor Heinicke,34%,WAS,QB
20,Mecole Hardman,34%,KC,WR
21,Chris Carson,33%,SEA,RB
22,Mac Jones,33%,NE,QB
23,Evan Engram,33%,NYG,TE
24,Jermar Jefferson,33%,DET,RB
0,Laviska Shenault,33%,JAX,WR
1,Tua Tagovailoa,32%,MIA,QB
