,Player,ROST%,Team,Pos
0,DK Metcalf,100%,SEA,WR
1,Davante Adams,100%,GB,WR
2,Najee Harris,100%,PIT,RB
3,Russell Wilson,100%,SEA,QB
4,Calvin Ridley,100%,ATL,WR
5,Lamar Jackson,100%,BAL,QB
6,Nick Chubb,100%,CLE,RB
7,Kyler Murray,100%,ARI,QB
8,A.J. Brown,100%,TEN,WR
9,Saquon Barkley,100%,NYG,RB
10,CeeDee Lamb,100%,DAL,WR
11,Keenan Allen,100%,LAC,WR
12,Travis Kelce,100%,KC,TE
13,Justin Jefferson,100%,MIN,WR
14,DeAndre Hopkins,100%,ARI,WR
15,Jonathan Taylor,100%,IND,RB
16,Josh Allen,100%,BUF,QB
17,Antonio Gibson,100%,WAS,RB
18,Stefon Diggs,100%,BUF,WR
19,Alvin Kamara,100%,NO,RB
20,Tyreek Hill,100%,KC,WR
21,Derrick Henry,100%,TEN,RB
22,Ezekiel Elliott,100%,DAL,RB
23,Christian McCaffrey,100%,CAR,RB
24,Patrick Mahomes,100%,KC,QB
0,Dalvin Cook,100%,MIN,RB
1,Austin Ekeler,100%,LAC,RB
2,Joe Mixon,100%,CIN,RB
3,Aaron Jones,100%,GB,RB
4,George Kittle,100%,SF,TE
5,Darren Waller,100%,LV,TE
6,Chris Godwin,100%,TB,WR
7,Mark Andrews,99%,BAL,TE
8,Tom Brady,99%,TB,QB
9,Chris Carson,99%,SEA,RB
10,Clyde Edwards-Helaire,99%,KC,RB
11,Justin Herbert,99%,LAC,QB
12,T.J. Hockenson,99%,DET,TE
13,Terry McLaurin,99%,WAS,WR
14,David Montgomery,99%,CHI,RB
15,Mike Evans,99%,TB,WR
16,Cooper Kupp,99%,LAR,WR
17,Amari Cooper,99%,DAL,WR
18,Allen Robinson,99%,CHI,WR
19,Tyler Lockett,99%,SEA,WR
20,Dak Prescott,99%,DAL,QB
21,Kyle Pitts,99%,ATL,TE
22,Robert Woods,98%,LAR,WR
23,DJ Moore,98%,CAR,WR
24,Julio Jones,98%,TEN,WR
0,Miles Sanders,98%,PHI,RB
1,Adam Thielen,98%,MIN,WR
2,D'Andre Swift,98%,DET,RB
3,Aaron Rodgers,98%,GB,QB
4,James Robinson,98%,JAX,RB
5,Josh Jacobs,97%,LV,RB
6,Diontae Johnson,97%,PIT,WR
7,Darrell Henderson,97%,LAR,RB
8,Kareem Hunt,96%,CLE,RB
9,Logan Thomas,96%,WAS,TE
10,Tyler Higbee,96%,LAR,TE
11,Damien Harris,96%,NE,RB
12,Matthew Stafford,96%,LAR,QB
13,Tee Higgins,96%,CIN,WR
14,Jalen Hurts,96%,PHI,QB
15,Myles Gaskin,95%,MIA,RB
16,Mike Davis,95%,ATL,RB
17,Chase Claypool,95%,PIT,WR
18,Antonio Brown,95%,TB,WR
19,Ja'Marr Chase,94%,CIN,WR
20,Deebo Samuel,94%,SF,WR
21,Noah Fant,94%,DEN,TE
22,Chase Edmonds,94%,ARI,RB
23,Rob Gronkowski,94%,TB,TE
24,Robby Anderson,93%,CAR,WR
0,Melvin Gordon,93%,DEN,RB
1,Odell Beckham,93%,LAR,WR
2,JuJu Smith-Schuster,92%,PIT,WR
3,Dallas Goedert,91%,PHI,TE
4,Robert Tonyan,91%,GB,TE
5,Brandin Cooks,91%,HOU,WR
6,Ryan Tannehill,90%,TEN,QB
7,Javonte Williams,90%,DEN,RB
8,Corey Davis,89%,NYJ,WR
9,Leonard Fournette,89%,TB,RB
10,Brandon Aiyuk,89%,SF,WR
11,DeVonta Smith,88%,PHI,WR
12,Courtland Sutton,88%,DEN,WR
13,Trey Sermon,86%,SF,RB
14,Eli Mitchell,85%,SF,RB
15,Mike Williams,85%,LAC,WR
16,Tyler Boyd,85%,CIN,WR
17,Jarvis Landry,85%,CLE,WR
18,Kenny Golladay,85%,NYG,WR
19,Devin Singletary,84%,BUF,RB
20,Joe Burrow,84%,CIN,QB
21,Ronald Jones,83%,TB,RB
22,Jamaal Williams,83%,DET,RB
23,James Conner,82%,ARI,RB
24,Ty'Son Williams,81%,BAL,RB
0,Kenyan Drake,80%,LV,RB
1,DJ Chark,80%,JAX,WR
2,Jerry Jeudy,80%,DEN,WR
3,AJ Dillon,79%,GB,RB
4,Nyheim Hines,78%,IND,RB
5,Michael Thomas,77%,NO,WR
6,Laviska Shenault,77%,JAX,WR
7,Trevor Lawrence,75%,JAX,QB
8,Baker Mayfield,74%,CLE,QB
9,Jameis Winston,68%,NO,QB
10,Jaylen Waddle,68%,MIA,WR
11,Jonnu Smith,68%,NE,TE
12,Will Fuller,67%,MIA,WR
13,Kirk Cousins,66%,MIN,QB
14,Marquise Brown,65%,BAL,WR
15,Gerald Everett,65%,SEA,TE
16,Marquez Callaway,64%,NO,WR
17,Mark Ingram,64%,NO,RB
18,Jakobi Meyers,63%,NE,WR
19,Marvin Jones,63%,JAX,WR
20,Mike Gesicki,62%,MIA,TE
21,Matt Ryan,62%,ATL,QB
22,Latavius Murray,62%,BAL,RB
23,Michael Pittman,61%,IND,WR
24,Sony Michel,60%,LAR,RB
0,Sterling Shepard,57%,NYG,WR
1,Christian Kirk,57%,ARI,WR
2,Nelson Agholor,54%,NE,WR
3,Hunter Henry,53%,NE,TE
4,Mecole Hardman,53%,KC,WR
5,Tony Pollard,53%,DAL,RB
6,Cole Beasley,53%,BUF,WR
7,Michael Gallup,52%,DAL,WR
8,Justin Fields,51%,CHI,QB
9,Michael Carter,50%,NYJ,RB
