,Player,ROST%,Team,Pos
0,Travis Kelce,100%,KC,TE
1,Dalvin Cook,100%,MIN,RB
2,Josh Allen,100%,BUF,QB
3,Najee Harris,100%,PIT,RB
4,Austin Ekeler,100%,LAC,RB
5,Aaron Jones,100%,GB,RB
6,George Kittle,100%,SF,TE
7,Cooper Kupp,100%,LAR,WR
8,Alvin Kamara,100%,NO,RB
9,Joe Mixon,100%,CIN,RB
10,Patrick Mahomes,100%,KC,QB
11,Mark Andrews,100%,BAL,TE
12,Jonathan Taylor,100%,IND,RB
13,Tyreek Hill,100%,KC,WR
14,Ezekiel Elliott,100%,DAL,RB
15,Justin Jefferson,100%,MIN,WR
16,CeeDee Lamb,100%,DAL,WR
17,Stefon Diggs,100%,BUF,WR
18,Davante Adams,100%,GB,WR
19,Nick Chubb,100%,CLE,RB
20,Dak Prescott,99%,DAL,QB
21,Keenan Allen,99%,LAC,WR
22,Tom Brady,99%,TB,QB
23,Kyler Murray,99%,ARI,QB
24,Justin Herbert,99%,LAC,QB
0,Aaron Rodgers,99%,GB,QB
1,DK Metcalf,99%,SEA,WR
2,Matthew Stafford,98%,LAR,QB
3,Josh Jacobs,98%,LV,RB
4,David Montgomery,98%,CHI,RB
5,Diontae Johnson,98%,PIT,WR
6,A.J. Brown,98%,TEN,WR
7,Ja'Marr Chase,98%,CIN,WR
8,Saquon Barkley,98%,NYG,RB
9,Deebo Samuel,98%,SF,WR
10,Tyler Lockett,98%,SEA,WR
11,Amari Cooper,98%,DAL,WR
12,D'Andre Swift,97%,DET,RB
13,Kyle Pitts,97%,ATL,TE
14,Rob Gronkowski,97%,TB,TE
15,Mike Evans,97%,TB,WR
16,Terry McLaurin,97%,WAS,WR
17,Tee Higgins,96%,CIN,WR
18,Lamar Jackson,95%,BAL,QB
19,Jalen Hurts,95%,PHI,QB
20,Antonio Gibson,95%,WAS,RB
21,DJ Moore,95%,CAR,WR
22,Antonio Brown,95%,TB,WR
23,Russell Wilson,94%,SEA,QB
24,Jaylen Waddle,94%,MIA,WR
0,Cordarrelle Patterson,94%,ATL,"WR,RB"
1,James Conner,94%,ARI,RB
2,Michael Pittman,93%,IND,WR
3,Damien Harris,93%,NE,RB
4,Dallas Goedert,93%,PHI,TE
5,Joe Burrow,93%,CIN,QB
6,Javonte Williams,93%,DEN,RB
7,Mike Williams,92%,LAC,WR
8,Brandon Aiyuk,92%,SF,WR
9,Ronald Jones,92%,TB,RB
10,AJ Dillon,91%,GB,RB
11,Marquise Brown,91%,BAL,WR
12,Odell Beckham,91%,LAR,WR
13,Brandin Cooks,91%,HOU,WR
14,Sony Michel,90%,LAR,RB
15,DeVonta Smith,90%,PHI,WR
16,Melvin Gordon,90%,DEN,RB
17,Darren Waller,90%,LV,TE
18,Zach Ertz,89%,ARI,TE
19,Dalton Schultz,89%,DAL,TE
20,Clyde Edwards-Helaire,88%,KC,RB
21,Mike Gesicki,87%,MIA,TE
22,Chase Edmonds,87%,ARI,RB
23,Hunter Renfrow,87%,LV,WR
24,Eli Mitchell,86%,SF,RB
0,Chase Claypool,85%,PIT,WR
