,Player,ROST%,Team,Pos
1,Devin Singletary,85%,BUF,RB
2,Dawson Knox,85%,BUF,TE
3,Tony Pollard,84%,DAL,RB
4,Tyler Higbee,84%,LAR,TE
5,Myles Gaskin,84%,MIA,RB
6,Rashaad Penny,83%,SEA,RB
7,Kareem Hunt,82%,CLE,RB
8,Noah Fant,82%,DEN,TE
9,Adam Thielen,81%,MIN,WR
10,Amon-Ra St.,80%,DET,WR
11,Christian Kirk,79%,ARI,WR
12,Hunter Henry,78%,NE,TE
13,Michael Carter,78%,NYJ,RB
14,Alexander Mattison,78%,MIN,RB
15,Michael Gallup,77%,DAL,WR
16,James Robinson,77%,JAX,RB
17,Devonta Freeman,76%,BAL,RB
18,Derrick Henry,76%,TEN,RB
19,Darrel Williams,76%,KC,RB
20,Darrell Henderson,76%,LAR,RB
21,Miles Sanders,76%,PHI,RB
22,Darnell Mooney,74%,CHI,WR
23,Kirk Cousins,74%,MIN,QB
24,Jakobi Meyers,72%,NE,WR
0,Leonard Fournette,71%,TB,RB
1,Tyler Boyd,71%,CIN,WR
2,Van Jefferson,69%,LAR,WR
3,Courtland Sutton,68%,DEN,WR
4,Jarvis Landry,68%,CLE,WR
5,Jeff Wilson,67%,SF,RB
6,Jerry Jeudy,67%,DEN,WR
7,DeAndre Hopkins,65%,ARI,WR
8,Ryan Tannehill,65%,TEN,QB
9,Chris Godwin,64%,TB,WR
10,Cole Beasley,63%,BUF,WR
11,Russell Gage,62%,ATL,WR
12,A.J. Green,62%,ARI,WR
13,D'Onta Foreman,61%,TEN,RB
14,Derek Carr,59%,LV,QB
15,DeVante Parker,58%,MIA,WR
16,Chuba Hubbard,58%,CAR,RB
17,Rhamondre Stevenson,58%,NE,RB
18,Julio Jones,57%,TEN,WR
19,Calvin Ridley,57%,ATL,WR
20,Jamaal Williams,56%,DET,RB
21,Pat Freiermuth,54%,PIT,TE
22,Marquez Valdes-Scantling,53%,GB,WR
23,T.J. Hockenson,53%,DET,TE
24,Jared Cook,52%,LAC,TE
0,Elijah Moore,52%,NYJ,WR
1,Justin Jackson,52%,LAC,RB
2,Gerald Everett,51%,SEA,TE
3,Nyheim Hines,50%,IND,RB
4,Mike Davis,50%,ATL,RB
5,Marvin Jones,50%,JAX,WR
6,Allen Robinson,50%,CHI,WR
7,Kenny Golladay,48%,NYG,WR
8,Emmanuel Sanders,47%,BUF,WR
9,Carson Wentz,47%,IND,QB
10,Taysom Hill,46%,NO,QB
11,Christian McCaffrey,44%,CAR,RB
12,Mark Ingram,44%,NO,RB
13,Matt Ryan,44%,ATL,QB
14,Tua Tagovailoa,41%,MIA,QB
15,K.J. Osborn,41%,MIN,WR
16,David Johnson,40%,HOU,RB
17,Tyler Conklin,39%,MIN,TE
18,Robby Anderson,37%,CAR,WR
19,Rashod Bateman,36%,BAL,WR
20,Zack Moss,35%,BUF,RB
21,Mac Jones,35%,NE,QB
22,Dare Ogunbowale,34%,JAX,RB
23,Mecole Hardman,33%,KC,WR
24,J.D. McKissic,33%,WAS,RB
0,Cole Kmet,32%,CHI,TE
1,Trey Lance,32%,SF,QB
2,Jimmy Garoppolo,31%,SF,QB
3,Boston Scott,31%,PHI,RB
4,Chris Carson,30%,SEA,RB
5,Rex Burkhead,30%,HOU,RB
6,Evan Engram,30%,NYG,TE
7,Austin Hooper,30%,CLE,TE
8,Allen Lazard,29%,GB,WR
9,Laviska Shenault,29%,JAX,WR
10,Baker Mayfield,28%,CLE,QB
11,Dontrell Hilliard,28%,TEN,RB
12,Ben Roethlisberger,27%,PIT,QB
13,Robert Woods,26%,LAR,WR
14,Marquez Callaway,26%,NO,WR
15,Kendrick Bourne,26%,NE,WR
16,Trevor Lawrence,26%,JAX,QB
17,Kenyan Drake,26%,LV,RB
18,Logan Thomas,26%,WAS,TE
19,Jordan Howard,25%,PHI,RB
20,Jaret Patterson,25%,WAS,RB
21,Gabriel Davis,25%,BUF,WR
22,Latavius Murray,25%,BAL,RB
23,Corey Davis,24%,NYJ,WR
24,Jamison Crowder,23%,NYJ,WR
0,Taylor Heinicke,23%,WAS,QB
1,Tyler Huntley,22%,BAL,QB
2,Justin Fields,22%,CHI,QB
3,Foster Moreau,22%,LV,TE
4,C.J. Uzomah,22%,CIN,TE
5,Devontae Booker,22%,NYG,RB
6,Rondale Moore,22%,ARI,WR
7,Kadarius Toney,21%,NYG,WR
8,Tim Patrick,20%,DEN,WR
9,Jonnu Smith,19%,NE,TE
10,Sterling Shepard,19%,NYG,WR
11,Alex Collins,19%,SEA,RB
12,T.Y. Hilton,18%,IND,WR
13,Cam Newton,18%,CAR,QB
14,Teddy Bridgewater,18%,DEN,QB
15,Robert Tonyan,18%,GB,TE
16,Will Fuller,18%,MIA,WR
17,Tevin Coleman,17%,NYJ,RB
18,Ty Johnson,17%,NYJ,RB
19,Brandon Bolden,16%,NE,RB
20,D'Ernest Johnson,16%,CLE,RB
21,Michael Thomas,16%,NO,WR
22,Trey Sermon,16%,SF,RB
23,Nelson Agholor,16%,NE,WR
24,Nick Westbrook-Ikhine,15%,TEN,WR
0,Cam Akers,15%,LAR,RB
1,Daniel Jones,14%,NYG,QB
2,JuJu Smith-Schuster,14%,PIT,WR
3,Deonte Harris,14%,NO,WR
4,Craig Reynolds,14%,DET,RB
5,Khalil Herbert,13%,CHI,RB
6,Donovan Peoples-Jones,13%,CLE,WR
7,DJ Chark,13%,JAX,WR
8,Ameer Abdullah,13%,CAR,RB
9,David Njoku,12%,CLE,TE
10,Gus Edwards,12%,BAL,RB
11,Raheem Mostert,12%,SF,RB
12,Ricky Seals-Jones,12%,WAS,TE
13,Kenneth Gainwell,11%,PHI,RB
14,J.K. Dobbins,11%,BAL,RB
15,Samaje Perine,11%,CIN,RB
16,Josh Reynolds,10%,DET,WR
17,Matt Breida,10%,BUF,RB
18,Curtis Samuel,10%,WAS,WR
19,Jermar Jefferson,10%,DET,RB
20,Ryan Fitzpatrick,10%,WAS,QB
21,Travis Etienne,9%,JAX,RB
22,Bryan Edwards,9%,LV,WR
23,Irv Smith,9%,MIN,TE
24,Isaiah McKenzie,9%,BUF,WR
