,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Austin Ekeler,100%,LAC,RB
2,Justin Jefferson,100%,Min,WR
3,CeeDee Lamb,100%,Dal,WR
4,Mike Evans,100%,TB,WR
5,Davante Adams,100%,GB,WR
6,Jonathan Taylor,100%,Ind,RB
7,Travis Kelce,100%,KC,TE
8,Kyler Murray,100%,Ari,QB
9,Najee Harris,100%,Pit,RB
10,Mark Andrews,100%,Bal,TE
11,Nick Chubb,100%,Cle,RB
12,Lamar Jackson,100%,Bal,QB
13,Josh Allen,100%,Buf,QB
14,Ezekiel Elliott,100%,Dal,RB
15,Stefon Diggs,100%,Buf,WR
16,Cooper Kupp,100%,LAR,WR
17,Patrick Mahomes,100%,KC,QB
18,Joe Mixon,100%,Cin,RB
19,Tyreek Hill,100%,KC,WR
20,Alvin Kamara,100%,NO,RB
21,Dak Prescott,99%,Dal,QB
22,Keenan Allen,99%,LAC,WR
23,Antonio Gibson,99%,Was,RB
24,Dalvin Cook,99%,Min,RB
0,Tom Brady,99%,TB,QB
1,DeAndre Hopkins,99%,Ari,WR
2,Chris Godwin,99%,TB,WR
3,Justin Herbert,99%,LAC,QB
4,George Kittle,99%,SF,TE
5,Aaron Jones,99%,GB,RB
6,Saquon Barkley,99%,NYG,RB
7,Terry McLaurin,99%,Was,WR
8,Darrell Henderson,98%,LAR,RB
9,D'Andre Swift,98%,Det,RB
10,James Robinson,98%,Jax,RB
11,Adam Thielen,98%,Min,WR
12,Aaron Rodgers,98%,GB,QB
13,Leonard Fournette,98%,TB,RB
14,Matthew Stafford,98%,LAR,QB
15,Kyle Pitts,98%,Atl,TE
16,Darren Waller,98%,LV,TE
17,Ja'Marr Chase,98%,Cin,WR
18,Deebo Samuel,98%,SF,WR
19,Diontae Johnson,98%,Pit,WR
20,Tyler Lockett,98%,Sea,WR
21,David Montgomery,97%,Chi,RB
22,Amari Cooper,97%,Dal,WR
23,DJ Moore,97%,Car,WR
24,Josh Jacobs,97%,LV,RB
0,James Conner,97%,Ari,RB
1,T.J. Hockenson,96%,Det,TE
2,Clyde Edwards-Helaire,96%,KC,RB
3,Rob Gronkowski,95%,TB,TE
4,Jalen Hurts,95%,Phi,QB
5,Mike Williams,95%,LAC,WR
6,Michael Pittman,94%,Ind,WR
7,Marquise Brown,94%,Bal,WR
8,Myles Gaskin,94%,Mia,RB
9,Alexander Mattison,94%,Min,RB
10,Russell Wilson,94%,Sea,QB
11,Jaylen Waddle,94%,Mia,WR
12,A.J. Brown,94%,Ten,WR
13,Cordarrelle Patterson,94%,Atl,"WR,RB"
14,Tee Higgins,93%,Cin,WR
15,Brandin Cooks,93%,Hou,WR
16,Damien Harris,93%,NE,RB
17,Brandon Aiyuk,92%,SF,WR
18,Joe Burrow,92%,Cin,QB
19,Javonte Williams,92%,Den,RB
20,Miles Sanders,91%,Phi,RB
21,AJ Dillon,91%,GB,RB
22,DeVonta Smith,91%,Phi,WR
23,Kareem Hunt,91%,Cle,RB
24,Kirk Cousins,90%,Min,QB
0,Odell Beckham,90%,LAR,WR
1,Melvin Gordon,90%,Den,RB
2,Chase Claypool,89%,Pit,WR
3,Eli Mitchell,89%,SF,RB
4,Mike Gesicki,88%,Mia,TE
5,Jamaal Williams,88%,Det,RB
6,Tony Pollard,87%,Dal,RB
7,Derrick Henry,87%,Ten,RB
8,Zach Ertz,86%,Ari,TE
9,Dalton Schultz,86%,Dal,TE
10,Dallas Goedert,84%,Phi,TE
11,Tyler Higbee,83%,LAR,TE
12,Dawson Knox,82%,Buf,TE
13,Hunter Renfrow,82%,LV,WR
14,Jerry Jeudy,82%,Den,WR
15,Darnell Mooney,82%,Chi,WR
16,Noah Fant,80%,Den,TE
17,Devonta Freeman,79%,Bal,RB
18,Elijah Moore,79%,NYJ,WR
19,Courtland Sutton,78%,Den,WR
20,Derek Carr,78%,LV,QB
21,Mark Ingram,76%,NO,RB
22,Chuba Hubbard,75%,Car,RB
23,Chase Edmonds,74%,Ari,RB
24,Calvin Ridley,74%,Atl,WR
0,Jakobi Meyers,74%,NE,WR
1,Antonio Brown,74%,TB,WR
2,Michael Gallup,73%,Dal,WR
3,Hunter Henry,72%,NE,TE
4,Christian Kirk,72%,Ari,WR
5,Devin Singletary,71%,Buf,RB
6,Carson Wentz,70%,Ind,QB
7,Ryan Tannehill,69%,Ten,QB
8,Jarvis Landry,69%,Cle,WR
9,Sony Michel,68%,LAR,RB
10,Van Jefferson,68%,LAR,WR
11,Cole Beasley,68%,Buf,WR
12,Logan Thomas,68%,Was,TE
13,Michael Carter,67%,NYJ,RB
14,Pat Freiermuth,66%,Pit,TE
15,Darrel Williams,65%,KC,RB
16,Tyler Boyd,64%,Cin,WR
17,Emmanuel Sanders,63%,Buf,WR
18,Kenny Golladay,61%,NYG,WR
19,Rhamondre Stevenson,61%,NE,RB
20,Julio Jones,60%,Ten,WR
21,Marvin Jones,59%,Jax,WR
22,Allen Robinson,58%,Chi,WR
23,Nyheim Hines,58%,Ind,RB
24,Kenyan Drake,57%,LV,RB
0,Corey Davis,54%,NYJ,WR
1,Christian McCaffrey,53%,Car,RB
2,DeVante Parker,52%,Mia,WR
3,Rashod Bateman,51%,Bal,WR
4,J.D. McKissic,50%,Was,RB
5,Mike Davis,47%,Atl,RB
6,Zack Moss,46%,Buf,RB
7,Jared Cook,45%,LAC,TE
8,A.J. Green,44%,Ari,WR
9,Matt Ryan,44%,Atl,QB
10,David Johnson,43%,Hou,RB
11,Tua Tagovailoa,42%,Mia,QB
12,Matt Breida,41%,Buf,RB
13,Boston Scott,41%,Phi,RB
14,Tevin Coleman,41%,NYJ,RB
15,Mac Jones,40%,NE,QB
16,Dontrell Hilliard,40%,Ten,RB
17,Kendrick Bourne,40%,NE,WR
18,D'Onta Foreman,40%,Ten,RB
19,Mecole Hardman,39%,KC,WR
20,Taylor Heinicke,39%,Was,QB
21,Laviska Shenault,38%,Jax,WR
22,Alex Collins,37%,Sea,RB
23,Robby Anderson,37%,Car,WR
24,Kadarius Toney,37%,NYG,WR
0,Chris Carson,35%,Sea,RB
1,Taysom Hill,34%,NO,QB
2,Russell Gage,34%,Atl,WR
3,Latavius Murray,33%,Bal,RB
4,Jimmy Garoppolo,32%,SF,QB
5,Tyler Conklin,30%,Min,TE
6,T.Y. Hilton,30%,Ind,WR
7,Evan Engram,29%,NYG,TE
8,Cam Newton,29%,Car,QB
9,Baker Mayfield,29%,Cle,QB
10,Robert Woods,29%,LAR,WR
11,Gerald Everett,29%,Sea,TE
12,Trevor Lawrence,29%,Jax,QB
13,Devontae Booker,28%,NYG,RB
14,Marquez Callaway,27%,NO,WR
15,Ty Johnson,27%,NYJ,RB
16,Sterling Shepard,27%,NYG,WR
17,Cole Kmet,26%,Chi,TE
18,Jeff Wilson,26%,SF,RB
19,Tim Patrick,25%,Den,WR
20,Ronald Jones,25%,TB,RB
21,Teddy Bridgewater,23%,Den,QB
22,Rex Burkhead,23%,Hou,RB
23,Foster Moreau,23%,LV,TE
24,Rondale Moore,23%,Ari,WR
0,Daniel Jones,22%,NYG,QB
1,Brandon Bolden,22%,NE,RB
2,Will Fuller,22%,Mia,WR
3,Nelson Agholor,21%,NE,WR
4,Jonnu Smith,21%,NE,TE
5,Austin Hooper,21%,Cle,TE
6,Jamison Crowder,21%,NYJ,WR
7,Ben Roethlisberger,21%,Pit,QB
8,Justin Fields,19%,Chi,QB
9,Robert Tonyan,19%,GB,TE
10,Marquez Valdes-Scantling,18%,GB,WR
11,D'Ernest Johnson,18%,Cle,RB
12,Trey Sermon,17%,SF,RB
13,Deonte Harris,17%,NO,WR
14,Michael Thomas,16%,NO,WR
15,JuJu Smith-Schuster,15%,Pit,WR
16,Adrian Peterson,15%,Sea,RB
17,C.J. Uzomah,15%,Cin,TE
18,Khalil Herbert,14%,Chi,RB
19,Curtis Samuel,14%,Was,WR
20,Trey Lance,13%,SF,QB
21,DJ Chark,13%,Jax,WR
22,Gus Edwards,13%,Bal,RB
23,Nick Westbrook-Ikhine,13%,Ten,WR
24,Carlos Hyde,12%,Jax,RB
0,DeSean Jackson,12%,LV,WR
1,Dan Arnold,12%,Jax,TE
2,Raheem Mostert,12%,SF,RB
3,Kenneth Gainwell,12%,Phi,RB
4,Bryan Edwards,12%,LV,WR
5,Phillip Lindsay,11%,Mia,RB
6,Jordan Howard,11%,Phi,RB
7,Randall Cobb,11%,GB,WR
8,Ryan Fitzpatrick,11%,Was,QB
9,Jeremy McNichols,11%,Ten,RB
10,Cedrick Wilson,10%,Dal,WR
11,J.K. Dobbins,10%,Bal,RB
12,Tyrod Taylor,10%,Hou,QB
13,Giovani Bernard,9%,TB,RB
14,Irv Smith,9%,Min,TE
15,Sammy Watkins,9%,Bal,WR
16,Donovan Peoples-Jones,9%,Cle,WR
17,Jameis Winston,7%,NO,QB
18,Sam Darnold,7%,Car,QB
19,Kalif Raymond,7%,Det,WR
20,Samaje Perine,7%,Cin,RB
21,Travis Etienne,7%,Jax,RB
22,Jalen Reagor,7%,Phi,WR
23,David Njoku,6%,Cle,TE
24,Zach Wilson,6%,NYJ,QB
