,Player,ROST%,Team,Pos
0,Mark Andrews,100%,BAL,TE
1,Nick Chubb,100%,CLE,RB
2,Tyreek Hill,100%,KC,WR
3,Najee Harris,100%,PIT,RB
4,Josh Allen,100%,BUF,QB
5,Ezekiel Elliott,100%,DAL,RB
6,Stefon Diggs,100%,BUF,WR
7,Austin Ekeler,100%,LAC,RB
8,Travis Kelce,100%,KC,TE
9,George Kittle,100%,SF,TE
10,CeeDee Lamb,100%,DAL,WR
11,Patrick Mahomes,100%,KC,QB
12,Jonathan Taylor,100%,IND,RB
13,Dalvin Cook,100%,MIN,RB
14,Justin Jefferson,100%,MIN,WR
15,Alvin Kamara,100%,NO,RB
16,Davante Adams,100%,GB,WR
17,Cooper Kupp,100%,LAR,WR
18,Justin Herbert,99%,LAC,QB
19,Keenan Allen,99%,LAC,WR
20,David Montgomery,99%,CHI,RB
21,DK Metcalf,99%,SEA,WR
22,Dak Prescott,99%,DAL,QB
23,Tom Brady,99%,TB,QB
24,Kyler Murray,99%,ARI,QB
0,Aaron Jones,99%,GB,RB
1,Joe Mixon,99%,CIN,RB
2,Matthew Stafford,98%,LAR,QB
3,Josh Jacobs,98%,LV,RB
4,Deebo Samuel,98%,SF,WR
5,A.J. Brown,98%,TEN,WR
6,Diontae Johnson,98%,PIT,WR
7,Saquon Barkley,98%,NYG,RB
8,Ja'Marr Chase,98%,CIN,WR
9,Tyler Lockett,98%,SEA,WR
10,Amari Cooper,98%,DAL,WR
11,Aaron Rodgers,98%,GB,QB
12,Terry McLaurin,97%,WAS,WR
13,Mike Evans,97%,TB,WR
14,Rob Gronkowski,97%,TB,TE
15,D'Andre Swift,97%,DET,RB
16,Kyle Pitts,97%,ATL,TE
17,Tee Higgins,96%,CIN,WR
18,Jalen Hurts,95%,PHI,QB
19,DJ Moore,95%,CAR,WR
20,Antonio Gibson,95%,WAS,RB
21,Lamar Jackson,94%,BAL,QB
22,Jaylen Waddle,94%,MIA,WR
23,Russell Wilson,94%,SEA,QB
24,James Conner,94%,ARI,RB
0,Damien Harris,93%,NE,RB
1,Javonte Williams,93%,DEN,RB
2,Cordarrelle Patterson,93%,ATL,"WR,RB"
3,Michael Pittman,93%,IND,WR
4,Dallas Goedert,92%,PHI,TE
5,Mike Williams,92%,LAC,WR
6,Brandon Aiyuk,92%,SF,WR
7,Antonio Brown,92%,TB,WR
8,Joe Burrow,92%,CIN,QB
9,AJ Dillon,91%,GB,RB
10,Odell Beckham,91%,LAR,WR
11,Marquise Brown,91%,BAL,WR
12,Brandin Cooks,91%,HOU,WR
13,Sony Michel,91%,LAR,RB
14,Ronald Jones,90%,TB,RB
15,DeVonta Smith,90%,PHI,WR
16,Darren Waller,90%,LV,TE
17,Melvin Gordon,89%,DEN,RB
18,Zach Ertz,89%,ARI,TE
19,Dalton Schultz,89%,DAL,TE
20,Clyde Edwards-Helaire,87%,KC,RB
21,Mike Gesicki,87%,MIA,TE
22,Chase Edmonds,87%,ARI,RB
23,Hunter Renfrow,87%,LV,WR
24,Eli Mitchell,86%,SF,RB
0,Devin Singletary,86%,BUF,RB
1,Chase Claypool,85%,PIT,WR
2,Dawson Knox,85%,BUF,TE
3,Tyler Higbee,84%,LAR,TE
4,Myles Gaskin,84%,MIA,RB
5,Rashaad Penny,83%,SEA,RB
6,Tony Pollard,83%,DAL,RB
7,Noah Fant,82%,DEN,TE
8,Kareem Hunt,82%,CLE,RB
9,Amon-Ra St.,81%,DET,WR
10,Adam Thielen,81%,MIN,WR
11,Christian Kirk,80%,ARI,WR
12,Hunter Henry,78%,NE,TE
13,Michael Carter,78%,NYJ,RB
14,Alexander Mattison,77%,MIN,RB
15,Devonta Freeman,77%,BAL,RB
16,James Robinson,76%,JAX,RB
17,Derrick Henry,76%,TEN,RB
18,Miles Sanders,76%,PHI,RB
19,Darrel Williams,76%,KC,RB
20,Darrell Henderson,76%,LAR,RB
21,Michael Gallup,76%,DAL,WR
22,Kirk Cousins,74%,MIN,QB
23,Darnell Mooney,74%,CHI,WR
24,Jakobi Meyers,72%,NE,WR
0,Leonard Fournette,71%,TB,RB
1,Tyler Boyd,71%,CIN,WR
2,Van Jefferson,69%,LAR,WR
3,Jarvis Landry,68%,CLE,WR
4,Courtland Sutton,68%,DEN,WR
5,Jerry Jeudy,67%,DEN,WR
6,Jeff Wilson,66%,SF,RB
7,Ryan Tannehill,66%,TEN,QB
8,Chris Godwin,64%,TB,WR
9,DeAndre Hopkins,64%,ARI,WR
10,Cole Beasley,63%,BUF,WR
11,A.J. Green,62%,ARI,WR
12,D'Onta Foreman,62%,TEN,RB
13,Russell Gage,61%,ATL,WR
14,Derek Carr,59%,LV,QB
15,Rhamondre Stevenson,59%,NE,RB
16,DeVante Parker,58%,MIA,WR
17,Chuba Hubbard,58%,CAR,RB
18,Julio Jones,57%,TEN,WR
19,Calvin Ridley,57%,ATL,WR
20,Jamaal Williams,56%,DET,RB
21,Pat Freiermuth,54%,PIT,TE
22,T.J. Hockenson,53%,DET,TE
23,Elijah Moore,52%,NYJ,WR
24,Marquez Valdes-Scantling,52%,GB,WR
0,Jared Cook,52%,LAC,TE
1,Justin Jackson,51%,LAC,RB
2,Gerald Everett,51%,SEA,TE
3,Allen Robinson,50%,CHI,WR
4,Mike Davis,50%,ATL,RB
5,Marvin Jones,50%,JAX,WR
6,Nyheim Hines,50%,IND,RB
7,Kenny Golladay,48%,NYG,WR
8,Emmanuel Sanders,47%,BUF,WR
9,Carson Wentz,47%,IND,QB
10,Taysom Hill,47%,NO,QB
11,Mark Ingram,44%,NO,RB
12,Matt Ryan,44%,ATL,QB
13,Christian McCaffrey,44%,CAR,RB
14,K.J. Osborn,42%,MIN,WR
15,Tua Tagovailoa,41%,MIA,QB
16,Tyler Conklin,40%,MIN,TE
17,David Johnson,39%,HOU,RB
18,Robby Anderson,37%,CAR,WR
19,Mac Jones,36%,NE,QB
20,Rashod Bateman,36%,BAL,WR
21,Zack Moss,35%,BUF,RB
22,Dare Ogunbowale,34%,JAX,RB
23,Trey Lance,32%,SF,QB
24,J.D. McKissic,32%,WAS,RB
0,Mecole Hardman,32%,KC,WR
1,Jimmy Garoppolo,31%,SF,QB
2,Boston Scott,31%,PHI,RB
3,Cole Kmet,31%,CHI,TE
4,Evan Engram,30%,NYG,TE
5,Rex Burkhead,30%,HOU,RB
6,Chris Carson,30%,SEA,RB
7,Austin Hooper,30%,CLE,TE
8,Allen Lazard,29%,GB,WR
9,Laviska Shenault,29%,JAX,WR
10,Dontrell Hilliard,28%,TEN,RB
11,Baker Mayfield,28%,CLE,QB
