,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Austin Ekeler,100%,LAC,RB
2,DeAndre Hopkins,100%,Ari,WR
3,Travis Kelce,100%,KC,TE
4,Kyler Murray,100%,Ari,QB
5,Davante Adams,100%,GB,WR
6,Nick Chubb,100%,Cle,RB
7,Lamar Jackson,100%,Bal,QB
8,Josh Allen,100%,Buf,QB
9,Aaron Jones,100%,GB,RB
10,Jonathan Taylor,100%,Ind,RB
11,Alvin Kamara,100%,NO,RB
12,Joe Mixon,100%,Cin,RB
13,Dalvin Cook,100%,Min,RB
14,Patrick Mahomes,100%,KC,QB
15,Christian McCaffrey,100%,Car,RB
16,Stefon Diggs,100%,Buf,WR
17,Tyreek Hill,100%,KC,WR
18,Derrick Henry,100%,Ten,RB
19,Justin Jefferson,100%,Min,WR
20,Ezekiel Elliott,100%,Dal,RB
21,Najee Harris,100%,Pit,RB
22,Justin Herbert,99%,LAC,QB
23,Chris Godwin,99%,TB,WR
24,Mike Evans,99%,TB,WR
0,D'Andre Swift,99%,Det,RB
1,Saquon Barkley,99%,NYG,RB
2,Cooper Kupp,99%,LAR,WR
3,Tom Brady,99%,TB,QB
4,Calvin Ridley,99%,Atl,WR
5,Antonio Gibson,99%,Was,RB
6,Keenan Allen,99%,LAC,WR
7,Aaron Rodgers,99%,GB,QB
8,Darren Waller,99%,LV,TE
9,Terry McLaurin,99%,Was,WR
10,Dak Prescott,99%,Dal,QB
11,Darrell Henderson,99%,LAR,RB
12,A.J. Brown,99%,Ten,WR
13,Kyle Pitts,99%,Atl,TE
14,Mark Andrews,99%,Bal,TE
15,CeeDee Lamb,99%,Dal,WR
16,Robert Woods,98%,LAR,WR
17,DJ Moore,98%,Car,WR
18,Matthew Stafford,98%,LAR,QB
19,T.J. Hockenson,98%,Det,TE
20,Amari Cooper,98%,Dal,WR
21,Adam Thielen,98%,Min,WR
22,Ja'Marr Chase,98%,Cin,WR
23,James Robinson,98%,Jax,RB
24,Tyler Lockett,97%,Sea,WR
0,Deebo Samuel,97%,SF,WR
1,Jalen Hurts,97%,Phi,QB
2,Leonard Fournette,97%,TB,RB
3,Damien Harris,96%,NE,RB
4,Diontae Johnson,96%,Pit,WR
5,Mike Williams,96%,LAC,WR
6,Josh Jacobs,96%,LV,RB
7,Tyler Higbee,95%,LAR,TE
8,Noah Fant,95%,Den,TE
9,Chase Edmonds,94%,Ari,RB
10,Joe Burrow,94%,Cin,QB
11,Antonio Brown,93%,TB,WR
12,Marquise Brown,93%,Bal,WR
13,George Kittle,93%,SF,TE
14,Courtland Sutton,93%,Den,WR
15,Cordarrelle Patterson,93%,Atl,"WR,RB"
16,David Montgomery,92%,Chi,RB
17,Rob Gronkowski,92%,TB,TE
18,Mike Gesicki,92%,Mia,TE
19,Brandin Cooks,92%,Hou,WR
20,Dallas Goedert,91%,Phi,TE
21,Clyde Edwards-Helaire,91%,KC,RB
22,Tee Higgins,91%,Cin,WR
23,Kareem Hunt,91%,Cle,RB
24,Russell Wilson,91%,Sea,QB
0,James Conner,91%,Ari,RB
1,Chase Claypool,90%,Pit,WR
2,Julio Jones,90%,Ten,WR
3,Chuba Hubbard,89%,Car,RB
4,Chris Carson,89%,Sea,RB
5,Darrel Williams,88%,KC,RB
6,Melvin Gordon,88%,Den,RB
7,Javonte Williams,88%,Den,RB
8,Michael Pittman,88%,Ind,WR
9,Kirk Cousins,87%,Min,QB
10,DeVonta Smith,87%,Phi,WR
11,Ryan Tannehill,86%,Ten,QB
12,Zach Ertz,86%,Ari,TE
13,Dalton Schultz,86%,Dal,TE
14,Allen Robinson,85%,Chi,WR
15,Jerry Jeudy,85%,Den,WR
16,Myles Gaskin,85%,Mia,RB
17,Hunter Henry,85%,NE,TE
18,Jaylen Waddle,83%,Mia,WR
19,Zack Moss,83%,Buf,RB
20,Emmanuel Sanders,82%,Buf,WR
21,Michael Thomas,82%,NO,WR
22,Eli Mitchell,82%,SF,RB
23,Khalil Herbert,81%,Chi,RB
24,Marvin Jones,80%,Jax,WR
0,Miles Sanders,80%,Phi,RB
1,Mike Davis,78%,Atl,RB
2,Jakobi Meyers,76%,NE,WR
3,Odell Beckham,74%,LAR,WR
4,Tyler Boyd,74%,Cin,WR
5,Tony Pollard,73%,Dal,RB
6,Corey Davis,72%,NYJ,WR
7,Devin Singletary,69%,Buf,RB
8,Matt Ryan,68%,Atl,QB
9,Devontae Booker,68%,NYG,RB
10,Michael Carter,67%,NYJ,RB
11,Jarvis Landry,67%,Cle,WR
12,Dawson Knox,66%,Buf,TE
13,Kenneth Gainwell,65%,Phi,RB
14,D'Ernest Johnson,63%,Cle,RB
15,Christian Kirk,63%,Ari,WR
16,Kenyan Drake,63%,LV,RB
17,Robert Tonyan,62%,GB,TE
18,AJ Dillon,62%,GB,RB
19,Derek Carr,61%,LV,QB
20,Cole Beasley,60%,Buf,WR
21,Jared Cook,59%,LAC,TE
22,Laviska Shenault,58%,Jax,WR
23,Alex Collins,58%,Sea,RB
24,Henry Ruggs,58%,LV,WR
0,Jamaal Williams,57%,Det,RB
1,J.D. McKissic,57%,Was,RB
2,Kadarius Toney,57%,NYG,WR
3,A.J. Green,56%,Ari,WR
4,Carson Wentz,56%,Ind,QB
5,Kenny Golladay,54%,NYG,WR
6,Robby Anderson,54%,Car,WR
7,Sterling Shepard,54%,NYG,WR
8,Logan Thomas,53%,Was,TE
9,Alexander Mattison,52%,Min,RB
10,Daniel Jones,51%,NYG,QB
11,Brandon Aiyuk,51%,SF,WR
12,Nyheim Hines,50%,Ind,RB
13,C.J. Uzomah,48%,Cin,TE
14,David Johnson,48%,Hou,RB
15,T.Y. Hilton,47%,Ind,WR
16,Trevor Lawrence,45%,Jax,QB
17,Mecole Hardman,45%,KC,WR
18,Michael Gallup,44%,Dal,WR
19,Ricky Seals-Jones,43%,Was,TE
20,Darnell Mooney,42%,Chi,WR
21,Jameis Winston,42%,NO,QB
22,Hunter Renfrow,42%,LV,WR
23,Marquez Callaway,41%,NO,WR
24,Latavius Murray,40%,Bal,RB
0,Mark Ingram,37%,NO,RB
1,Randall Cobb,36%,GB,WR
2,Tua Tagovailoa,35%,Mia,QB
3,Baker Mayfield,35%,Cle,QB
4,Sony Michel,35%,LAR,RB
5,DeVante Parker,34%,Mia,WR
6,Evan Engram,32%,NYG,TE
7,Jonnu Smith,32%,NE,TE
8,Rondale Moore,32%,Ari,WR
9,Sam Darnold,32%,Car,QB
10,Rashod Bateman,30%,Bal,WR
11,Teddy Bridgewater,30%,Den,QB
12,Trey Sermon,29%,SF,RB
13,Will Fuller,29%,Mia,WR
14,Tim Patrick,28%,Den,WR
15,Mac Jones,28%,NE,QB
16,Gerald Everett,26%,Sea,TE
17,Damien Williams,26%,Chi,RB
18,Austin Hooper,26%,Cle,TE
19,Tyler Conklin,25%,Min,TE
20,Ronald Jones,25%,TB,RB
21,Samaje Perine,24%,Cin,RB
22,Nelson Agholor,24%,NE,WR
23,Justin Fields,22%,Chi,QB
24,Devonta Freeman,22%,Bal,RB
0,Cole Kmet,21%,Chi,TE
1,Deshaun Watson,21%,Hou,QB
2,Ben Roethlisberger,21%,Pit,QB
3,Rashaad Penny,20%,Sea,RB
4,Trey Lance,20%,SF,QB
5,Boston Scott,19%,Phi,RB
6,Jamison Crowder,19%,NYJ,WR
7,JuJu Smith-Schuster,19%,Pit,WR
8,DJ Chark,17%,Jax,WR
9,Jeff Wilson,17%,SF,RB
10,Marlon Mack,17%,Ind,RB
11,Mo Alie-Cox,16%,Ind,TE
12,Elijah Moore,16%,NYJ,WR
13,Phillip Lindsay,16%,Mia,RB
14,Kalif Raymond,15%,Det,WR
15,Russell Gage,15%,Atl,WR
16,Raheem Mostert,15%,SF,RB
17,Brandon Bolden,14%,NE,RB
18,Taylor Heinicke,14%,Was,QB
19,Gus Edwards,14%,Bal,RB
20,Ryan Fitzpatrick,13%,Was,QB
21,Darius Slayton,13%,NYG,WR
22,Curtis Samuel,13%,Was,WR
23,Van Jefferson,12%,LAR,WR
24,Giovani Bernard,12%,TB,RB
0,Jimmy Garoppolo,11%,SF,QB
1,Amon-Ra St.,11%,Det,WR
2,Jalen Reagor,11%,Phi,WR
3,Bryan Edwards,10%,LV,WR
4,Pat Freiermuth,10%,Pit,TE
5,Sammy Watkins,10%,Bal,WR
6,David Njoku,10%,Cle,TE
7,J.K. Dobbins,10%,Bal,RB
8,Irv Smith,10%,Min,TE
9,K.J. Osborn,10%,Min,WR
10,Marquez Valdes-Scantling,9%,GB,WR
11,Jared Goff,9%,Det,QB
12,Deonte Harris,8%,NO,WR
13,Tarik Cohen,8%,Chi,RB
14,Kendrick Bourne,8%,NE,WR
15,Ty'Son Williams,8%,Bal,RB
16,Rhamondre Stevenson,8%,NE,RB
17,Demetric Felton,8%,Cle,"WR,RB"
18,Cameron Brate,7%,TB,TE
19,Travis Etienne,7%,Jax,RB
20,James White,7%,NE,RB
21,Allen Lazard,7%,GB,WR
22,Josh Gordon,7%,KC,WR
23,Cooper Rush,7%,Dal,QB
24,Tyrell Williams,7%,Det,WR
