,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Josh Allen,100%,Buf,QB
2,Travis Kelce,100%,KC,TE
3,Jonathan Taylor,100%,Ind,RB
4,Justin Jefferson,100%,Min,WR
5,CeeDee Lamb,100%,Dal,WR
6,Najee Harris,100%,Pit,RB
7,Davante Adams,100%,GB,WR
8,A.J. Brown,100%,Ten,WR
9,Kyler Murray,100%,Ari,QB
10,Stefon Diggs,100%,Buf,WR
11,Darren Waller,100%,LV,TE
12,Lamar Jackson,100%,Bal,QB
13,Nick Chubb,100%,Cle,RB
14,Ezekiel Elliott,100%,Dal,RB
15,Cooper Kupp,100%,LAR,WR
16,Christian McCaffrey,100%,Car,RB
17,Patrick Mahomes,100%,KC,QB
18,Dalvin Cook,100%,Min,RB
19,Joe Mixon,100%,Cin,RB
20,Alvin Kamara,100%,NO,RB
21,Aaron Jones,100%,GB,RB
22,Tyreek Hill,100%,KC,WR
23,Austin Ekeler,100%,LAC,RB
24,Chris Godwin,99%,TB,WR
0,Mark Andrews,99%,Bal,TE
1,Darrell Henderson,99%,LAR,RB
2,Saquon Barkley,99%,NYG,RB
3,Mike Evans,99%,TB,WR
4,Justin Herbert,99%,LAC,QB
5,Kyle Pitts,99%,Atl,TE
6,Tom Brady,99%,TB,QB
7,D'Andre Swift,99%,Det,RB
8,Keenan Allen,99%,LAC,WR
9,Dak Prescott,99%,Dal,QB
10,DeAndre Hopkins,99%,Ari,WR
11,Terry McLaurin,99%,Was,WR
12,Deebo Samuel,98%,SF,WR
13,Adam Thielen,98%,Min,WR
14,Josh Jacobs,98%,LV,RB
15,Ja'Marr Chase,98%,Cin,WR
16,Tyler Lockett,98%,Sea,WR
17,DJ Moore,98%,Car,WR
18,Amari Cooper,98%,Dal,WR
19,Matthew Stafford,98%,LAR,QB
20,James Robinson,98%,Jax,RB
21,George Kittle,98%,SF,TE
22,Aaron Rodgers,98%,GB,QB
23,Russell Wilson,97%,Sea,QB
24,Antonio Gibson,97%,Was,RB
0,T.J. Hockenson,97%,Det,TE
1,Diontae Johnson,97%,Pit,WR
2,Leonard Fournette,97%,TB,RB
3,James Conner,96%,Ari,RB
4,Mike Williams,96%,LAC,WR
5,Jalen Hurts,95%,Phi,QB
6,Michael Pittman,95%,Ind,WR
7,Damien Harris,94%,NE,RB
8,David Montgomery,94%,Chi,RB
9,Marquise Brown,94%,Bal,WR
10,Melvin Gordon,93%,Den,RB
11,Mike Gesicki,93%,Mia,TE
12,Cordarrelle Patterson,93%,Atl,"WR,RB"
13,Antonio Brown,93%,TB,WR
14,Brandin Cooks,92%,Hou,WR
15,Clyde Edwards-Helaire,92%,KC,RB
16,Tyler Higbee,91%,LAR,TE
