,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Austin Ekeler,100%,LAC,RB
2,DeAndre Hopkins,100%,Ari,WR
3,Travis Kelce,100%,KC,TE
4,Kyler Murray,100%,Ari,QB
5,Davante Adams,100%,GB,WR
6,Mark Andrews,100%,Bal,TE
7,Nick Chubb,100%,Cle,RB
8,Lamar Jackson,100%,Bal,QB
9,Calvin Ridley,100%,Atl,WR
10,Josh Allen,100%,Buf,QB
11,Aaron Jones,100%,GB,RB
12,Jonathan Taylor,100%,Ind,RB
13,Alvin Kamara,100%,NO,RB
14,Joe Mixon,100%,Cin,RB
15,Dalvin Cook,100%,Min,RB
16,Stefon Diggs,100%,Buf,WR
17,Patrick Mahomes,100%,KC,QB
18,Christian McCaffrey,100%,Car,RB
19,Darren Waller,100%,LV,TE
20,Tyreek Hill,100%,KC,WR
21,Derrick Henry,100%,Ten,RB
22,Justin Jefferson,100%,Min,WR
23,Ezekiel Elliott,100%,Dal,RB
24,Najee Harris,100%,Pit,RB
0,D'Andre Swift,99%,Det,RB
1,Cooper Kupp,99%,LAR,WR
2,Saquon Barkley,99%,NYG,RB
3,CeeDee Lamb,99%,Dal,WR
4,Antonio Gibson,99%,Was,RB
5,Tom Brady,99%,TB,QB
6,A.J. Brown,99%,Ten,WR
7,Aaron Rodgers,99%,GB,QB
8,Dak Prescott,99%,Dal,QB
9,Keenan Allen,99%,LAC,WR
10,Mike Evans,99%,TB,WR
11,Kyle Pitts,99%,Atl,TE
12,Terry McLaurin,99%,Was,WR
13,Darrell Henderson,99%,LAR,RB
14,Chris Godwin,99%,TB,WR
15,Robert Woods,98%,LAR,WR
16,Justin Herbert,98%,LAC,QB
17,Matthew Stafford,98%,LAR,QB
18,DJ Moore,98%,Car,WR
19,Tyler Lockett,98%,Sea,WR
20,T.J. Hockenson,98%,Det,TE
21,Amari Cooper,98%,Dal,WR
22,James Robinson,98%,Jax,RB
23,Josh Jacobs,97%,LV,RB
24,Leonard Fournette,97%,TB,RB
0,Adam Thielen,97%,Min,WR
1,Deebo Samuel,97%,SF,WR
2,Jalen Hurts,97%,Phi,QB
3,Ja'Marr Chase,97%,Cin,WR
4,Diontae Johnson,96%,Pit,WR
5,Mike Williams,96%,LAC,WR
6,Miles Sanders,95%,Phi,RB
7,Tyler Higbee,95%,LAR,TE
8,Damien Harris,95%,NE,RB
9,Chase Edmonds,94%,Ari,RB
10,Antonio Brown,94%,TB,WR
11,Noah Fant,93%,Den,TE
12,Mike Davis,93%,Atl,RB
13,Brandin Cooks,93%,Hou,WR
14,George Kittle,93%,SF,TE
15,Marquise Brown,93%,Bal,WR
16,Julio Jones,93%,Ten,WR
17,Courtland Sutton,92%,Den,WR
18,Cordarrelle Patterson,92%,Atl,"WR,RB"
19,David Montgomery,92%,Chi,RB
20,Clyde Edwards-Helaire,92%,KC,RB
21,James Conner,92%,Ari,RB
22,Kareem Hunt,91%,Cle,RB
23,Russell Wilson,91%,Sea,QB
24,Mike Gesicki,91%,Mia,TE
0,Chuba Hubbard,91%,Car,RB
1,Chris Carson,91%,Sea,RB
2,Allen Robinson,91%,Chi,WR
3,Darrel Williams,90%,KC,RB
4,Joe Burrow,90%,Cin,QB
5,Tee Higgins,90%,Cin,WR
6,Rob Gronkowski,89%,TB,TE
7,Chase Claypool,89%,Pit,WR
8,Ryan Tannehill,89%,Ten,QB
9,Dallas Goedert,88%,Phi,TE
10,Melvin Gordon,87%,Den,RB
11,DeVonta Smith,87%,Phi,WR
12,Javonte Williams,85%,Den,RB
13,Jaylen Waddle,84%,Mia,WR
14,Hunter Henry,84%,NE,TE
15,Michael Pittman,84%,Ind,WR
16,Jakobi Meyers,83%,NE,WR
17,Zach Ertz,81%,Ari,TE
18,Michael Thomas,80%,NO,WR
19,Myles Gaskin,79%,Mia,RB
20,Odell Beckham,79%,LAR,WR
21,Dalton Schultz,78%,Dal,TE
22,Zack Moss,78%,Buf,RB
23,Tyler Boyd,78%,Cin,WR
24,Corey Davis,78%,NYJ,WR
0,Eli Mitchell,77%,SF,RB
1,Matt Ryan,77%,Atl,QB
2,Marvin Jones,75%,Jax,WR
3,Emmanuel Sanders,75%,Buf,WR
4,Jerry Jeudy,74%,Den,WR
5,Derek Carr,73%,LV,QB
6,D'Ernest Johnson,72%,Cle,RB
7,AJ Dillon,70%,GB,RB
8,Tony Pollard,70%,Dal,RB
9,Dawson Knox,69%,Buf,TE
10,Kirk Cousins,69%,Min,QB
11,Devontae Booker,67%,NYG,RB
12,Brandon Aiyuk,66%,SF,WR
13,Devin Singletary,66%,Buf,RB
14,Henry Ruggs,65%,LV,WR
15,Christian Kirk,64%,Ari,WR
16,J.D. McKissic,63%,Was,RB
17,Jamaal Williams,63%,Det,RB
18,Kenyan Drake,63%,LV,RB
19,Jarvis Landry,63%,Cle,WR
20,Michael Carter,62%,NYJ,RB
21,Robby Anderson,61%,Car,WR
22,Alex Collins,61%,Sea,RB
23,Sam Darnold,60%,Car,QB
24,Khalil Herbert,59%,Chi,RB
0,A.J. Green,59%,Ari,WR
1,Nyheim Hines,59%,Ind,RB
2,Kenny Golladay,58%,NYG,WR
3,Sterling Shepard,56%,NYG,WR
4,Cole Beasley,56%,Buf,WR
5,Ricky Seals-Jones,55%,Was,TE
6,Mecole Hardman,54%,KC,WR
7,Laviska Shenault,54%,Jax,WR
8,Logan Thomas,53%,Was,TE
9,Alexander Mattison,52%,Min,RB
10,Damien Williams,51%,Chi,RB
11,Jameis Winston,51%,NO,QB
12,Robert Tonyan,51%,GB,TE
13,Darnell Mooney,50%,Chi,WR
14,Marquez Callaway,49%,NO,WR
15,Hunter Renfrow,49%,LV,WR
16,Tua Tagovailoa,48%,Mia,QB
17,Latavius Murray,47%,Bal,RB
18,Kadarius Toney,46%,NYG,WR
19,Jared Cook,43%,LAC,TE
20,Sony Michel,43%,LAR,RB
21,Devonta Freeman,43%,Bal,RB
22,Rondale Moore,41%,Ari,WR
23,Trevor Lawrence,40%,Jax,QB
24,Tim Patrick,40%,Den,WR
0,Michael Gallup,40%,Dal,WR
1,Baker Mayfield,39%,Cle,QB
2,Jonnu Smith,38%,NE,TE
3,Carson Wentz,37%,Ind,QB
4,Trey Sermon,37%,SF,RB
5,T.Y. Hilton,36%,Ind,WR
6,Mark Ingram,36%,NO,RB
7,DeVante Parker,36%,Mia,WR
8,Rashaad Penny,33%,Sea,RB
9,Rashod Bateman,32%,Bal,WR
10,Gerald Everett,31%,Sea,TE
11,Mac Jones,31%,NE,QB
12,Evan Engram,31%,NYG,TE
13,Will Fuller,29%,Mia,WR
14,Daniel Jones,28%,NYG,QB
15,Austin Hooper,28%,Cle,TE
16,Ronald Jones,28%,TB,RB
17,Nelson Agholor,27%,NE,WR
18,Justin Fields,26%,Chi,QB
19,Cole Kmet,26%,Chi,TE
20,Jamison Crowder,23%,NYJ,WR
21,David Johnson,22%,Hou,RB
22,JuJu Smith-Schuster,21%,Pit,WR
23,Kenneth Gainwell,21%,Phi,RB
24,Trey Lance,21%,SF,QB
0,O.J. Howard,20%,TB,TE
1,Teddy Bridgewater,20%,Den,QB
2,Ben Roethlisberger,20%,Pit,QB
3,DJ Chark,20%,Jax,WR
4,Demetric Felton,20%,Cle,"WR,RB"
5,C.J. Uzomah,19%,Cin,TE
6,Amon-Ra St.,19%,Det,WR
7,Deshaun Watson,18%,Hou,QB
8,Mo Alie-Cox,17%,Ind,TE
9,Marlon Mack,17%,Ind,RB
10,Elijah Moore,16%,NYJ,WR
11,Jeff Wilson,16%,SF,RB
12,Raheem Mostert,15%,SF,RB
13,David Njoku,15%,Cle,TE
14,Rhamondre Stevenson,15%,NE,RB
15,Giovani Bernard,15%,TB,RB
16,Darius Slayton,15%,NYG,WR
17,Curtis Samuel,14%,Was,WR
18,Ryan Fitzpatrick,14%,Was,QB
19,Taylor Heinicke,14%,Was,QB
20,Gus Edwards,14%,Bal,RB
21,Donovan Peoples-Jones,14%,Cle,WR
22,Bryan Edwards,13%,LV,WR
23,Phillip Lindsay,13%,Mia,RB
24,Sammy Watkins,12%,Bal,WR
0,Jalen Reagor,12%,Phi,WR
1,Jimmy Garoppolo,12%,SF,QB
2,Le'Veon Bell,12%,Bal,RB
3,Cameron Brate,11%,TB,TE
4,Irv Smith,11%,Min,TE
5,Josh Gordon,11%,KC,WR
6,Russell Gage,10%,Atl,WR
7,J.K. Dobbins,10%,Bal,RB
8,Zach Wilson,9%,NYJ,QB
9,Randall Cobb,9%,GB,WR
10,Ty'Son Williams,9%,Bal,RB
11,Van Jefferson,9%,LAR,WR
12,Jared Goff,9%,Det,QB
13,Tyler Conklin,9%,Min,TE
14,James White,8%,NE,RB
15,Tyrell Williams,8%,Det,WR
16,Deonte Harris,8%,NO,WR
17,Tarik Cohen,8%,Chi,RB
18,Zach Pascal,8%,Ind,WR
19,Jerick McKinnon,8%,KC,RB
20,Travis Etienne,7%,Jax,RB
21,K.J. Osborn,7%,Min,WR
22,Samaje Perine,7%,Cin,RB
23,Anthony Firkser,7%,Ten,TE
24,Blake Jarwin,6%,Dal,TE
