,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Darren Waller,100%,LV,TE
2,Jonathan Taylor,100%,Ind,RB
3,Travis Kelce,100%,KC,TE
4,Justin Jefferson,100%,Min,WR
5,Davante Adams,100%,GB,WR
6,Kyler Murray,100%,Ari,QB
7,Mark Andrews,100%,Bal,TE
8,Najee Harris,100%,Pit,RB
9,Nick Chubb,100%,Cle,RB
10,Antonio Gibson,100%,Was,RB
11,Stefon Diggs,100%,Buf,WR
12,Josh Allen,100%,Buf,QB
13,Saquon Barkley,100%,NYG,RB
14,Lamar Jackson,100%,Bal,QB
15,Austin Ekeler,100%,LAC,RB
16,Joe Mixon,100%,Cin,RB
17,Christian McCaffrey,100%,Car,RB
18,Patrick Mahomes,100%,KC,QB
19,Tyreek Hill,100%,KC,WR
20,Aaron Jones,100%,GB,RB
21,Dalvin Cook,100%,Min,RB
22,DeAndre Hopkins,100%,Ari,WR
23,Alvin Kamara,100%,NO,RB
24,Ezekiel Elliott,100%,Dal,RB
0,Derrick Henry,100%,Ten,RB
1,Justin Herbert,99%,LAC,QB
2,James Robinson,99%,Jax,RB
3,D'Andre Swift,99%,Det,RB
4,Keenan Allen,99%,LAC,WR
5,CeeDee Lamb,99%,Dal,WR
6,Mike Evans,99%,TB,WR
7,Tom Brady,99%,TB,QB
8,Terry McLaurin,99%,Was,WR
9,A.J. Brown,99%,Ten,WR
10,Calvin Ridley,99%,Atl,WR
11,Chris Godwin,99%,TB,WR
12,Amari Cooper,99%,Dal,WR
13,Cooper Kupp,99%,LAR,WR
14,Dak Prescott,99%,Dal,QB
15,Tyler Lockett,98%,Sea,WR
16,Adam Thielen,98%,Min,WR
17,DJ Moore,98%,Car,WR
18,T.J. Hockenson,98%,Det,TE
19,Darrell Henderson,98%,LAR,RB
20,Kyle Pitts,98%,Atl,TE
21,Aaron Rodgers,98%,GB,QB
22,Josh Jacobs,97%,LV,RB
23,Kareem Hunt,97%,Cle,RB
24,Diontae Johnson,97%,Pit,WR
0,Matthew Stafford,97%,LAR,QB
1,Robert Woods,97%,LAR,WR
2,Ja'Marr Chase,97%,Cin,WR
3,Jalen Hurts,96%,Phi,QB
4,Mike Williams,96%,LAC,WR
5,George Kittle,96%,SF,TE
6,Deebo Samuel,96%,SF,WR
7,Leonard Fournette,95%,TB,RB
8,Julio Jones,95%,Ten,WR
9,Chris Carson,95%,Sea,RB
10,Antonio Brown,94%,TB,WR
11,Russell Wilson,94%,Sea,QB
12,Tyler Higbee,94%,LAR,TE
13,Chase Claypool,94%,Pit,WR
14,Allen Robinson,94%,Chi,WR
15,David Montgomery,94%,Chi,RB
16,Noah Fant,94%,Den,TE
17,Miles Sanders,94%,Phi,RB
18,Clyde Edwards-Helaire,94%,KC,RB
19,Tee Higgins,93%,Cin,WR
20,Chase Edmonds,93%,Ari,RB
21,Brandin Cooks,92%,Hou,WR
22,Rob Gronkowski,92%,TB,TE
23,Courtland Sutton,91%,Den,WR
24,Damien Harris,91%,NE,RB
0,Marquise Brown,91%,Bal,WR
1,Cordarrelle Patterson,90%,Atl,"WR,RB"
2,Dawson Knox,89%,Buf,TE
3,Melvin Gordon,89%,Den,RB
4,Odell Beckham,89%,LAR,WR
5,Zack Moss,89%,Buf,RB
6,Myles Gaskin,89%,Mia,RB
7,James Conner,88%,Ari,RB
8,Mike Davis,88%,Atl,RB
9,Javonte Williams,87%,Den,RB
