Player,FPTS,Team,Pos
Dak Prescott,31.8,DAL,QB
Justin Herbert,28.4,LAC,QB
Ryan Tannehill,27.3,TEN,QB
Davis Mills,27.2,HOU,QB
Patrick Mahomes,26.2,KC,QB
Tom Brady,25.0,TB,QB
Russell Wilson,25.0,SEA,QB
Josh Allen,23.9,BUF,QB
Drew Lock,22.0,DEN,QB
Kirk Cousins,21.9,MIN,QB
Matthew Stafford,19.5,LAR,QB
Trevor Lawrence,18.6,JAC,QB
Andy Dalton,17.7,CHI,QB
Jared Goff,17.5,DET,QB
Kyler Murray,17.1,ARI,QB
Sam Darnold,15.7,CAR,QB
Gardner Minshew,15.4,PHI,QB
Derek Carr,15.3,LV,QB
Jimmy Garoppolo,14.7,SF,QB
Aaron Rodgers,14.2,GB,QB
Ben Roethlisberger,12.4,PIT,QB
Tua Tagovailoa,12.2,MIA,QB
Carson Wentz,12.1,IND,QB
Matt Ryan,11.8,ATL,QB
Mac Jones,11.8,NE,QB
Trevor Siemian,10.7,NO,QB
Taysom Hill,10.1,NO,QB
Zach Wilson,9.9,NYJ,QB
Jordan Love,9.3,GB,QB
Tyler Huntley,8.8,BAL,QB
Taylor Heinicke,5.1,WAS,QB
Jalen Hurts,0.0,PHI,QB
Justin Fields,0.0,CHI,QB
Trey Lance,0.0,SF,QB
Baker Mayfield,0.0,CLE,QB
Joe Burrow,0.0,CIN,QB
Daniel Jones,0.0,NYG,QB
Cam Newton,0.0,CAR,QB
Tyrod Taylor,0.0,HOU,QB
Lamar Jackson,0.0,BAL,QB
Ryan Fitzpatrick,0.0,WAS,QB
Josh Johnson,0.0,BAL,QB
Deshaun Watson,0.0,HOU,QB
Teddy Bridgewater,0.0,DEN,QB
Jameis Winston,0.0,NO,QB
Austin Ekeler,28.9,LAC,RB
James Conner,27.3,ARI,RB
Devin Singletary,25.2,BUF,RB
Rashaad Penny,25.0,SEA,RB
Josh Jacobs,22.4,LV,RB
Antonio Gibson,22.1,WAS,RB
Latavius Murray,21.0,BAL,RB
Brandon Bolden,20.6,NE,RB
D'Ernest Johnson,20.3,CLE,RB
Duke Johnson,19.2,MIA,RB
Kenneth Gainwell,18.7,PHI,RB
Alvin Kamara,18.2,NO,RB
Damien Harris,17.3,NE,RB
Ameer Abdullah,17.2,CAR,RB
Melvin Gordon,16.6,DEN,RB
D'Andre Swift,14.6,DET,RB
Chuba Hubbard,13.6,CAR,RB
Jonathan Taylor,12.5,IND,RB
Damien Williams,12.3,CHI,RB
Ke'Shawn Vaughn,12.1,TB,RB
Ezekiel Elliott,10.0,DAL,RB
David Montgomery,9.9,CHI,RB
Eno Benjamin,9.6,ARI,RB
