,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
52,Robert Woods,WR,LAR,40,58,57,65,66,58,63,58,78,0,bye,0,0,0,0,0,0,0,543,60.3
53,Kenny Stills,WR,NO,0,0,29,17,40,bye,32,0,25,0,0,0,11,0,0,17,0,0,171,24.4
54,Cordarrelle Patterson,RB,ATL,24,24,26,23,46,bye,46,32,33,15,0,29,34,34,37,25,27,18,473,29.6
55,Keenan Allen,WR,LAC,67,65,55,66,68,51,bye,59,62,55,62,61,53,0,62,55,49,82,972,60.8
56,Tavon Austin,WR,JAC,0,0,0,41,24,17,bye,28,0,14,12,13,16,26,16,43,31,0,281,23.4
57,Giovani Bernard,RB,TB,17,6,33,0,17,12,11,13,bye,14,8,0,7,0,0,0,0,0,138,13.8
58,Le'Veon Bell,RB,Multi,0,0,0,20,0,22,22,0,23,31,0,0,0,0,0,3,26,23,170,21.3
59,Rex Burkhead,RB,HOU,10,0,8,3,0,5,4,30,21,bye,27,35,24,36,38,42,44,40,367,24.5
60,Kenjon Barner,RB,TB,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,9,9,3.0
61,Mike Glennon,QB,NYG,0,0,0,0,39,0,0,0,0,bye,0,0,65,69,50,36,56,0,315,52.5
62,Geno Smith,QB,SEA,0,0,0,0,25,65,56,57,bye,0,0,0,0,0,0,0,0,0,203,50.8
63,Zach Ertz,TE,Multi,41,37,30,37,40,46,35,43,56,45,63,0,41,65,67,63,70,70,849,49.9
64,Kyle Juszczyk,RB,SF,20,41,48,62,42,bye,0,31,24,40,38,44,32,31,30,32,34,0,549,36.6
65,Latavius Murray,RB,BAL,21,27,19,45,36,26,0,bye,0,0,30,36,14,20,29,17,19,39,378,27.0
66,Ryan Griffin,TE,NYJ,31,45,33,35,51,bye,50,41,48,55,47,56,32,36,23,0,0,0,583,41.6
67,Demetrius Harris,TE,ARI,23,2,7,9,0,20,21,10,0,0,0,bye,17,0,8,21,0,0,138,13.8
68,Jack Doyle,TE,IND,45,50,35,21,50,31,50,50,42,37,51,42,42,bye,41,0,0,32,619,41.3
69,Teddy Bridgewater,QB,DEN,66,69,67,31,60,81,50,53,78,58,bye,43,77,68,43,0,0,0,844,60.3
70,Derek Carr,QB,LV,86,66,83,57,63,56,66,bye,68,54,47,86,59,63,68,69,61,75,1127,66.3
71,Logan Thomas,TE,WAS,55,71,54,0,0,0,0,0,bye,0,0,66,43,0,0,0,0,0,289,57.8
72,Carlos Hyde,RB,JAC,25,14,23,0,18,9,bye,50,48,18,14,32,29,12,0,0,0,0,292,24.3
73,Devonta Freeman,RB,BAL,0,10,9,6,20,21,29,bye,57,42,47,40,51,49,39,33,48,27,528,33.0
74,Sammy Watkins,WR,BAL,56,70,46,53,20,0,0,bye,0,23,60,35,34,23,0,0,0,21,441,40.1
75,Mike Evans,WR,TB,61,46,61,69,58,70,56,58,bye,48,64,66,65,77,17,0,56,43,915,57.2
76,Brandin Cooks,WR,HOU,61,56,52,41,50,68,53,54,67,bye,53,47,43,66,49,0,53,18,831,51.9
77,Davante Adams,WR,GB,40,57,56,63,58,50,48,0,58,70,52,80,bye,58,57,55,62,22,886,55.4
78,Allen Robinson,WR,CHI,63,52,40,40,53,56,62,56,48,bye,0,0,0,48,0,0,46,53,617,51.4
79,Odell Beckham,WR,Multi,0,0,52,62,58,32,43,43,0,15,0,61,36,42,50,64,57,51,666,47.6
80,Jarvis Landry,WR,CLE,51,2,0,0,0,0,38,53,32,47,48,56,bye,54,0,54,50,48,533,44.4
81,Eric Ebron,TE,PIT,27,24,47,28,25,34,bye,0,0,29,32,0,0,0,0,0,0,0,246,30.8
82,James White,RB,NE,28,29,6,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,63,21.0
83,Jimmy Garoppolo,QB,SF,51,70,67,37,0,bye,56,56,59,68,64,70,58,71,57,59,0,70,913,60.9
84,Jerick McKinnon,RB,KC,0,4,0,8,27,23,22,0,20,20,0,bye,0,0,0,0,0,23,147,16.3
85,John Brown,WR,Multi,0,0,0,0,0,0,6,0,0,0,4,3,0,0,0,0,0,0,13,4.3
86,Richard Rodgers,TE,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,38,38,38.0
87,Garrett Gilbert,QB,WAS,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,55,0,0,0,55,55.0
88,Damien Williams,RB,CHI,30,15,7,19,31,0,11,4,0,bye,0,0,0,7,5,9,12,16,166,13.8
89,Albert Wilson,WR,MIA,22,41,0,25,0,23,0,0,17,38,38,35,40,bye,41,0,0,0,320,32.0
90,Willie Snead,WR,Multi,2,4,0,5,6,6,0,0,17,0,0,0,0,0,1,0,0,0,41,5.9
91,Keith Smith,RB,ATL,21,18,22,16,14,bye,11,0,0,19,19,13,21,0,0,12,12,9,207,15.9
92,Adam Thielen,WR,MIN,78,61,72,66,62,87,bye,65,48,71,66,53,6,0,0,23,0,0,758,58.3
93,Cameron Brate,TE,TB,0,21,33,50,28,44,40,37,bye,30,35,17,13,21,20,31,21,10,451,28.2
94,Darren Fells,TE,Multi,27,0,26,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,81,27.0
95,Diontae Spencer,WR,DEN,0,4,24,3,2,2,4,0,0,1,bye,1,4,3,2,1,3,0,54,3.6
96,Marcus Mariota,QB,LV,1,0,0,0,0,0,1,bye,1,0,0,2,0,0,4,0,5,7,21,3.0
97,Jameis Winston,QB,NO,60,42,59,60,56,bye,74,20,0,0,0,0,0,0,0,0,0,0,371,53.0
98,Amari Cooper,WR,DAL,74,60,65,29,57,78,bye,63,36,51,0,0,24,75,66,52,58,46,834,55.6
99,DeVante Parker,WR,MIA,45,55,64,47,0,0,0,63,0,0,0,0,49,bye,63,46,58,49,539,53.9
100,Kevin White,WR,NO,0,0,0,0,0,bye,8,9,15,9,0,0,0,0,0,0,0,0,41,10.3
101,Melvin Gordon,RB,DEN,33,41,36,30,36,43,29,30,41,25,bye,26,0,34,31,23,30,26,514,32.1
102,Maxx Williams,TE,ARI,55,45,51,45,25,0,0,0,0,0,0,bye,0,0,0,0,0,0,221,44.2
103,Ameer Abdullah,RB,Multi,9,1,22,5,12,0,0,22,22,16,8,27,0,38,40,23,29,40,314,18.5
104,Tevin Coleman,RB,NYJ,17,7,0,11,5,bye,0,0,0,17,20,30,23,0,21,19,0,10,180,16.4
105,Sean Mannion,QB,MIN,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,51,0,51,51.0
106,Taylor Heinicke,QB,WAS,39,71,54,67,83,59,72,70,bye,73,67,84,67,48,0,43,63,59,1019,63.7
107,Duke Johnson,RB,MIA,0,0,0,0,0,0,0,0,0,0,6,0,0,bye,41,23,36,43,149,29.8
108,Mike Davis,RB,ATL,54,46,37,51,50,bye,38,34,33,20,26,30,38,39,27,26,27,18,594,34.9
109,David Johnson,RB,HOU,22,26,21,27,31,32,30,11,31,bye,35,22,0,0,12,0,0,17,317,24.4
110,Malcolm Brown,RB,MIA,16,9,34,35,0,25,5,0,0,0,0,0,0,bye,0,0,0,0,124,20.7
111,Jesse James,TE,CHI,0,0,1,0,0,0,26,38,0,bye,0,23,0,0,0,0,28,0,116,23.2
112,Tyler Kroft,TE,NYJ,43,55,23,46,0,bye,0,51,15,0,0,0,0,0,36,50,0,44,363,40.3
113,Nick Boyle,TE,BAL,0,0,0,0,0,0,0,bye,0,0,32,0,0,0,0,0,16,0,48,24.0
114,MyCole Pruitt,TE,TEN,0,55,37,28,38,16,37,35,27,23,0,27,bye,33,27,27,0,0,410,31.5
115,Blake Bell,TE,KC,19,20,23,0,17,0,0,24,26,24,23,bye,0,0,16,25,24,21,262,21.8
116,Nelson Agholor,WR,NE,64,51,58,43,43,32,43,61,54,47,49,50,25,bye,32,0,0,55,707,47.1
117,Tyler Lockett,WR,SEA,46,50,49,48,56,58,48,44,bye,58,45,47,59,46,0,48,60,51,813,50.8
118,Devin Smith,WR,JAC,9,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,9,9.0
119,Breshad Perriman,WR,TB,0,0,0,0,0,0,0,0,bye,0,18,0,59,26,0,0,11,37,151,30.2
120,Jamison Crowder,WR,NYJ,0,0,0,38,34,bye,52,51,61,64,41,33,46,60,51,0,0,7,538,44.8
121,Ty Montgomery,RB,NO,16,14,13,34,25,bye,12,33,0,6,0,29,36,0,20,24,8,30,300,21.4
122,Phillip Dorsett,WR,Multi,0,0,7,0,0,7,0,0,0,0,0,0,0,39,15,23,0,0,91,18.2
123,Stefon Diggs,WR,BUF,79,51,59,53,42,62,bye,55,59,46,43,54,55,69,58,65,60,67,977,57.5
124,Chris Manhertz,TE,JAC,26,27,25,24,0,30,bye,0,27,24,0,27,0,0,18,0,16,0,244,24.4
125,Jake Kumerow,WR,BUF,0,5,0,12,0,1,bye,0,0,0,0,0,0,5,0,16,13,10,62,8.9
126,C.J. Uzomah,TE,CIN,51,40,33,48,56,50,52,47,48,bye,54,45,66,58,42,49,63,0,802,50.1
127,DeAndre Carter,WR,WAS,2,6,5,11,58,12,39,49,bye,49,50,61,49,40,27,13,22,12,505,29.7
128,Darren Waller,TE,LV,81,61,66,53,64,46,0,bye,61,49,44,21,0,0,0,0,0,62,608,55.3
129,Trevor Siemian,QB,NO,0,0,0,0,0,bye,0,56,73,62,65,57,0,0,0,0,0,46,359,59.8
130,James O'Shaughnessy,TE,JAC,59,3,0,0,0,0,bye,0,0,0,0,59,39,40,44,42,0,0,286,40.9
131,Chris Conley,WR,HOU,40,55,49,41,54,32,0,25,27,bye,31,0,30,46,38,50,49,0,567,40.5
132,Geoff Swaim,TE,TEN,25,64,44,32,36,38,38,57,42,40,0,46,bye,54,59,39,57,48,719,44.9
133,Michael Burton,RB,KC,5,5,0,4,2,6,0,0,0,0,0,bye,7,5,6,13,6,0,59,5.9
134,Damiere Byrd,WR,CHI,36,0,0,0,0,15,20,0,0,bye,37,53,65,36,66,62,29,46,465,42.3
135,Tyrell Williams,WR,DET,39,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,39,39.0
136,Raheem Mostert,RB,SF,4,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0
137,Eric Tomlinson,TE,BAL,19,0,0,0,0,0,0,bye,34,0,12,27,25,0,0,12,0,37,166,23.7
138,Daniel Brown,TE,NYJ,0,0,0,0,0,bye,0,0,0,0,0,0,0,9,0,0,12,0,21,7.0
139,Adam Humphries,WR,WAS,33,50,34,45,51,31,50,44,bye,38,30,32,34,42,34,40,33,37,658,38.7
140,Laquon Treadwell,WR,JAC,0,9,0,0,0,7,bye,0,19,23,33,63,55,44,68,64,38,62,485,40.4
141,Ezekiel Elliott,RB,DAL,70,44,53,46,47,63,bye,55,33,38,46,47,45,54,44,42,45,37,809,47.6
142,Jared Goff,QB,DET,92,57,63,71,68,63,69,58,bye,71,0,49,72,63,64,0,0,58,918,65.6
143,Derrick Henry,RB,TEN,40,67,49,59,49,43,50,54,0,0,0,0,bye,0,0,0,0,0,411,51.4
144,Carson Wentz,QB,IND,76,62,61,71,69,48,68,80,62,64,62,69,62,bye,52,70,58,57,1091,64.2
