,Player,ROST%,Team,Pos
0,Tom Brady,100%,TB,QB
1,Cooper Kupp,100%,LAR,WR
2,Najee Harris,100%,PIT,RB
3,Austin Ekeler,100%,LAC,RB
4,Justin Jefferson,100%,MIN,WR
5,Dalvin Cook,100%,MIN,RB
6,Josh Allen,100%,BUF,QB
7,CeeDee Lamb,100%,DAL,WR
8,Tyreek Hill,100%,KC,WR
9,Joe Mixon,100%,CIN,RB
10,Nick Chubb,100%,CLE,RB
11,Patrick Mahomes,100%,KC,QB
12,Alvin Kamara,100%,NO,RB
13,Travis Kelce,100%,KC,TE
14,Mark Andrews,100%,BAL,TE
15,Ezekiel Elliott,100%,DAL,RB
16,Stefon Diggs,100%,BUF,WR
17,George Kittle,100%,SF,TE
18,Kyler Murray,100%,ARI,QB
19,Mike Evans,100%,TB,WR
20,Aaron Jones,100%,GB,RB
21,Davante Adams,100%,GB,WR
22,Jonathan Taylor,100%,IND,RB
23,Keenan Allen,99%,LAC,WR
24,Dak Prescott,99%,DAL,QB
0,Lamar Jackson,99%,BAL,QB
1,Antonio Gibson,99%,WAS,RB
2,Saquon Barkley,99%,NYG,RB
3,Terry McLaurin,99%,WAS,WR
4,DK Metcalf,99%,SEA,WR
5,Chris Godwin,99%,TB,WR
6,Aaron Rodgers,99%,GB,QB
7,Justin Herbert,99%,LAC,QB
8,Darrell Henderson,98%,LAR,RB
9,Ja'Marr Chase,98%,CIN,WR
10,David Montgomery,98%,CHI,RB
11,Tyler Lockett,98%,SEA,WR
12,Josh Jacobs,98%,LV,RB
13,Diontae Johnson,98%,PIT,WR
14,Deebo Samuel,98%,SF,WR
15,Matthew Stafford,98%,LAR,QB
16,Leonard Fournette,98%,TB,RB
17,Amari Cooper,98%,DAL,WR
18,James Robinson,98%,JAX,RB
19,James Conner,97%,ARI,RB
20,DJ Moore,97%,CAR,WR
21,Rob Gronkowski,97%,TB,TE
22,Adam Thielen,97%,MIN,WR
23,Kyle Pitts,97%,ATL,TE
24,Clyde Edwards-Helaire,97%,KC,RB
0,D'Andre Swift,96%,DET,RB
1,Darren Waller,96%,LV,TE
2,Tee Higgins,95%,CIN,WR
3,Mike Williams,95%,LAC,WR
4,Russell Wilson,95%,SEA,QB
5,Javonte Williams,94%,DEN,RB
6,Brandon Aiyuk,94%,SF,WR
7,Cordarrelle Patterson,94%,ATL,"WR,RB"
8,Jalen Hurts,94%,PHI,QB
9,Myles Gaskin,93%,MIA,RB
10,Marquise Brown,93%,BAL,WR
11,Jaylen Waddle,93%,MIA,WR
12,Michael Pittman,93%,IND,WR
13,Brandin Cooks,92%,HOU,WR
14,AJ Dillon,91%,GB,RB
15,Damien Harris,91%,NE,RB
16,Melvin Gordon,91%,DEN,RB
17,Odell Beckham,91%,LAR,WR
18,A.J. Brown,90%,TEN,WR
