,Player,FPTS,Team,Pos
0,Josh Allen,393.8,BUF,QB
1,Justin Herbert,367.2,LAC,QB
2,Tom Brady,361.7,TB,QB
3,Patrick Mahomes,348.0,KC,QB
4,Joe Burrow,328.1,CIN,QB
5,Matthew Stafford,327.3,LAR,QB
6,Aaron Rodgers,323.1,GB,QB
7,Jalen Hurts,321.2,PHI,QB
8,Dak Prescott,298.6,DAL,QB
9,Kyler Murray,293.4,ARI,QB
10,Kirk Cousins,285.4,MIN,QB
11,Derek Carr,255.3,LV,QB
12,Ryan Tannehill,255.0,TEN,QB
13,Lamar Jackson,253.0,BAL,QB
14,Carson Wentz,252.8,IND,QB
15,Taylor Heinicke,232.6,WAS,QB
16,Mac Jones,226.2,NE,QB
17,Jimmy Garoppolo,224.8,SF,QB
18,Russell Wilson,223.7,SEA,QB
19,Matt Ryan,223.0,ATL,QB
20,Ben Roethlisberger,215.6,PIT,QB
21,Teddy Bridgewater,209.8,DEN,QB
22,Trevor Lawrence,197.4,JAC,QB
23,Baker Mayfield,193.8,CLE,QB
24,Jared Goff,184.9,DET,QB
25,Tua Tagovailoa,178.7,MIA,QB
26,Daniel Jones,174.6,NYG,QB
27,Sam Darnold,154.8,CAR,QB
28,Zach Wilson,153.0,NYJ,QB
29,Davis Mills,139.8,HOU,QB
30,Justin Fields,136.9,CHI,QB
31,Jameis Winston,120.3,NO,QB
32,Taysom Hill,116.7,NO,QB
33,Cam Newton,91.3,CAR,QB
34,Tyrod Taylor,86.7,HOU,QB
35,Trevor Siemian,82.5,NO,QB
36,Tyler Huntley,77.9,BAL,QB
38,Andy Dalton,75.4,CHI,QB
39,Trey Lance,67.0,SF,QB
42,Josh Johnson,48.4,BAL,QB
45,Drew Lock,31.8,DEN,QB
50,Gardner Minshew,19.2,PHI,QB
54,Jordan Love,14.9,GB,QB
70,Ryan Fitzpatrick,0.7,WAS,QB
111,Deshaun Watson,0.0,HOU,QB
0,Jonathan Taylor,360.6,IND,RB
1,Austin Ekeler,314.9,LAC,RB
2,Najee Harris,291.2,PIT,RB
3,Joe Mixon,287.9,CIN,RB
4,Leonard Fournette,255.6,TB,RB
5,Ezekiel Elliott,242.1,DAL,RB
6,Cordarrelle Patterson,232.4,ATL,RB
7,James Conner,230.4,ARI,RB
8,Aaron Jones,229.0,GB,RB
9,Alvin Kamara,216.5,NO,RB
10,Nick Chubb,208.3,CLE,RB
11,Antonio Gibson,207.0,WAS,RB
12,Josh Jacobs,203.6,LV,RB
13,Dalvin Cook,197.1,MIN,RB
14,Javonte Williams,196.5,DEN,RB
15,D'Andre Swift,194.3,DET,RB
16,Derrick Henry,193.3,TEN,RB
17,Damien Harris,192.8,NE,RB
18,Darrel Williams,188.3,KC,RB
19,David Montgomery,186.1,CHI,RB
20,Melvin Gordon,178.6,DEN,RB
21,AJ Dillon,177.9,GB,RB
22,James Robinson,173.9,JAC,RB
23,Devin Singletary,172.6,BUF,RB
24,Myles Gaskin,169.6,MIA,RB
25,Darrell Henderson,163.4,LAR,RB
26,Tony Pollard,162.6,DAL,RB
27,Elijah Mitchell,156.5,SF,RB
28,Michael Carter,152.5,NYJ,RB
29,Chase Edmonds,143.3,ARI,RB
30,Devonta Freeman,141.9,BAL,RB
31,Saquon Barkley,140.7,NYG,RB
32,Sony Michel,140.4,LAR,RB
33,Devontae Booker,139.5,NYG,RB
34,Mike Davis,136.4,ATL,RB
35,JD McKissic,127.9,WAS,RB
36,Christian McCaffrey,127.5,CAR,RB
37,Chuba Hubbard,124.0,CAR,RB
38,Alexander Mattison,122.8,MIN,RB
39,Miles Sanders,117.2,PHI,RB
40,Ty Johnson,117.1,NYJ,RB
41,Clyde Edwards-Helaire,116.5,KC,RB
42,Jamaal Williams,113.6,DET,RB
43,Rhamondre Stevenson,110.3,NE,RB
44,Kareem Hunt,110.0,CLE,RB
45,Nyheim Hines,108.7,IND,RB
46,Mark Ingram,108.6,NO,RB
47,Kenneth Gainwell,104.7,PHI,RB
48,Brandon Bolden,103.5,NE,RB
49,Kenyan Drake,102.5,LV,RB
50,Zack Moss,101.8,BUF,RB
51,Boston Scott,98.6,PHI,RB
52,Rashaad Penny,96.7,SEA,RB
53,Rex Burkhead,94.7,HOU,RB
54,D'Onta Foreman,84.5,TEN,RB
55,Justin Jackson,84.2,LAC,RB
56,D'Ernest Johnson,83.8,CLE,RB
57,Samaje Perine,83.2,CIN,RB
58,Latavius Murray,82.6,BAL,RB
59,Ronald Jones,79.2,TB,RB
60,Khalil Herbert,77.8,CHI,RB
61,David Johnson,74.7,HOU,RB
63,Jeremy McNichols,73.6,TEN,RB
64,Ameer Abdullah,72.3,CAR,RB
65,Alex Collins,68.8,SEA,RB
66,Dontrell Hilliard,65.9,TEN,RB
67,Jordan Howard,62.5,PHI,RB
68,DeeJay Dallas,60.0,SEA,RB
69,Giovani Bernard,59.1,TB,RB
71,Derrick Gore,53.1,KC,RB
72,Jeff Wilson,51.5,SF,RB
73,Tevin Coleman,50.9,NYJ,RB
74,Jaret Patterson,50.4,WAS,RB
76,Damien Williams,48.4,CHI,RB
77,Chris Carson,48.1,SEA,RB
78,Carlos Hyde,45.8,JAC,RB
79,JaMycal Hasty,45.0,SF,RB
80,Matt Breida,42.7,BUF,RB
81,Dare Ogunbowale,41.6,JAC,RB
82,Ty'Son Williams,41.5,BAL,RB
83,Phillip Lindsay,41.4,MIA,RB
85,Duke Johnson,39.9,MIA,RB
86,Salvon Ahmed,38.6,MIA,RB
88,Craig Reynolds,35.0,DET,RB
89,Royce Freeman,34.6,HOU,RB
92,James White,31.2,NE,RB
93,Le'Veon Bell,29.6,TB,RB
95,Trey Sermon,28.3,SF,RB
96,Adrian Peterson,26.6,SEA,RB
97,Jermar Jefferson,25.7,DET,RB
99,Ke'Shawn Vaughn,24.5,TB,RB
101,Malcolm Brown,22.5,MIA,RB
104,Tony Jones,19.9,NO,RB
105,Austin Walter,19.0,NYJ,RB
108,Eno Benjamin,18.4,ARI,RB
109,Godwin Igwebuike,18.0,DET,RB
110,Joshua Kelley,17.0,LAC,RB
116,Marlon Mack,12.9,IND,RB
128,Mike Boone,7.7,DEN,RB
147,Raheem Mostert,2.0,SF,RB
185,Gus Edwards,0.0,BAL,RB
189,Travis Etienne,0.0,JAC,RB
190,JK Dobbins,0.0,BAL,RB
191,Cam Akers,0.0,LAR,RB
240,Tarik Cohen,0.0,CHI,RB
0,Cooper Kupp,412.9,LAR,WR
1,Davante Adams,332.8,GB,WR
2,Deebo Samuel,310.0,SF,WR
3,Justin Jefferson,308.3,MIN,WR
4,Ja'Marr Chase,300.0,CIN,WR
5,Tyreek Hill,295.3,KC,WR
6,Stefon Diggs,262.4,BUF,WR
7,Diontae Johnson,262.3,PIT,WR
8,Keenan Allen,246.6,LAC,WR
9,Chris Godwin,242.4,TB,WR
10,Hunter Renfrow,242.2,LV,WR
11,Mike Evans,235.6,TB,WR
12,DK Metcalf,233.5,SEA,WR
13,Jaylen Waddle,232.1,MIA,WR
14,CeeDee Lamb,226.3,DAL,WR
15,Brandin Cooks,226.2,HOU,WR
16,Marquise Brown,220.6,BAL,WR
17,DJ Moore,220.5,CAR,WR
18,Mike Williams,219.7,LAC,WR
19,Tee Higgins,219.1,CIN,WR
20,Michael Pittman,218.2,IND,WR
21,Tyler Lockett,214.4,SEA,WR
22,Christian Kirk,201.3,ARI,WR
23,Amon-Ra St,201.2,DET,WR
24,Terry McLaurin,200.2,WAS,WR
25,Adam Thielen,199.8,MIN,WR
26,Darnell Mooney,195.1,CHI,WR
27,Amari Cooper,189.6,DAL,WR
28,Tyler Boyd,183.8,CIN,WR
29,DeVonta Smith,178.5,PHI,WR
30,Jakobi Meyers,177.3,NE,WR
31,Kendrick Bourne,174.3,NE,WR
32,AJ Brown,164.1,TEN,WR
33,Van Jefferson,163.1,LAR,WR
34,Marvin Jones,158.4,JAC,WR
35,Brandon Aiyuk,153.6,SF,WR
36,Cole Beasley,152.2,BUF,WR
37,Marquez Callaway,151.8,NO,WR
38,AJ Green,150.5,ARI,WR
39,KJ Osborn,149.4,MIN,WR
40,Chase Claypool,148.6,PIT,WR
41,Courtland Sutton,147.3,DEN,WR
42,DeAndre Hopkins,147.2,ARI,WR
43,Tim Patrick,140.9,DEN,WR
44,Elijah Moore,138.2,NYJ,WR
45,Robert Woods,137.2,LAR,WR
46,Russell Gage,135.4,ATL,WR
47,Emmanuel Sanders,131.7,BUF,WR
48,Odell Beckham,125.3,LAR,WR
49,Mecole Hardman,121.6,KC,WR
50,Antonio Brown,121.1,FA,WR
51,Braxton Berrios,121.1,NYJ,WR
52,Robby Anderson,120.5,CAR,WR
53,Gabriel Davis,119.0,BUF,WR
54,Cedrick Wilson,118.9,DAL,WR
55,Allen Lazard,118.0,GB,WR
56,Byron Pringle,116.2,KC,WR
57,Laviska Shenault,115.8,JAC,WR
58,Jarvis Landry,113.5,CLE,WR
59,Kalif Raymond,111.0,DET,WR
60,Rondale Moore,109.1,ARI,WR
61,Jamison Crowder,107.1,NYJ,WR
62,Deonte Harty,106.8,NO,WR
63,Corey Davis,105.2,NYJ,WR
64,Donovan Peoples-Jones,102.9,CLE,WR
65,DeVante Parker,100.3,MIA,WR
66,Nelson Agholor,100.1,NE,WR
