,Player,ROST%,Team,Pos
0,Travis Kelce,100%,KC,TE
1,Najee Harris,100%,PIT,RB
2,Cooper Kupp,100%,LAR,WR
3,Alvin Kamara,100%,NO,RB
4,Joe Mixon,100%,CIN,RB
5,Davante Adams,100%,GB,WR
6,Patrick Mahomes,100%,KC,QB
7,Kyler Murray,100%,ARI,QB
8,Tyreek Hill,100%,KC,WR
9,George Kittle,100%,SF,TE
10,Ezekiel Elliott,100%,DAL,RB
11,Austin Ekeler,100%,LAC,RB
12,Stefon Diggs,100%,BUF,WR
13,Aaron Jones,100%,GB,RB
14,Mark Andrews,100%,BAL,TE
15,Josh Allen,100%,BUF,QB
16,Keenan Allen,100%,LAC,WR
17,Nick Chubb,100%,CLE,RB
18,CeeDee Lamb,100%,DAL,WR
19,Jonathan Taylor,100%,IND,RB
20,Justin Jefferson,100%,MIN,WR
21,Antonio Gibson,99%,WAS,RB
22,Dak Prescott,99%,DAL,QB
23,Saquon Barkley,99%,NYG,RB
24,DK Metcalf,99%,SEA,WR
0,Dalvin Cook,99%,MIN,RB
1,Justin Herbert,99%,LAC,QB
2,Aaron Rodgers,99%,GB,QB
3,Tom Brady,99%,TB,QB
4,James Robinson,98%,JAX,RB
5,Amari Cooper,98%,DAL,WR
6,Mike Evans,98%,TB,WR
7,Kyle Pitts,98%,ATL,TE
8,Josh Jacobs,98%,LV,RB
9,Deebo Samuel,98%,SF,WR
10,Ja'Marr Chase,98%,CIN,WR
11,David Montgomery,98%,CHI,RB
12,Diontae Johnson,98%,PIT,WR
13,Matthew Stafford,98%,LAR,QB
14,Tyler Lockett,98%,SEA,WR
15,Lamar Jackson,98%,BAL,QB
16,Terry McLaurin,98%,WAS,WR
17,Clyde Edwards-Helaire,97%,KC,RB
18,D'Andre Swift,97%,DET,RB
19,Rob Gronkowski,97%,TB,TE
20,Adam Thielen,97%,MIN,WR
21,James Conner,96%,ARI,RB
22,DJ Moore,96%,CAR,WR
23,Darrell Henderson,96%,LAR,RB
24,Tee Higgins,95%,CIN,WR
0,Jalen Hurts,95%,PHI,QB
1,Russell Wilson,94%,SEA,QB
2,Javonte Williams,94%,DEN,RB
3,Cordarrelle Patterson,94%,ATL,"WR,RB"
4,Mike Williams,93%,LAC,WR
5,Antonio Brown,93%,TB,WR
6,Michael Pittman,93%,IND,WR
7,Dallas Goedert,93%,PHI,TE
8,Miles Sanders,93%,PHI,RB
9,Jaylen Waddle,93%,MIA,WR
10,A.J. Brown,93%,TEN,WR
11,Marquise Brown,93%,BAL,WR
12,Darren Waller,93%,LV,TE
13,AJ Dillon,91%,GB,RB
14,Odell Beckham,91%,LAR,WR
15,Brandin Cooks,91%,HOU,WR
16,Brandon Aiyuk,91%,SF,WR
17,Melvin Gordon,91%,DEN,RB
18,Joe Burrow,91%,CIN,QB
19,Damien Harris,90%,NE,RB
20,Mike Gesicki,89%,MIA,TE
21,Myles Gaskin,89%,MIA,RB
22,Zach Ertz,89%,ARI,TE
23,Alexander Mattison,89%,MIN,RB
24,Dalton Schultz,89%,DAL,TE
0,Hunter Renfrow,88%,LV,WR
1,DeVonta Smith,88%,PHI,WR
2,Chase Claypool,86%,PIT,WR
3,Ronald Jones,86%,TB,RB
4,Dawson Knox,85%,BUF,TE
5,Kirk Cousins,84%,MIN,QB
6,Noah Fant,84%,DEN,TE
7,Tony Pollard,84%,DAL,RB
8,Eli Mitchell,83%,SF,RB
9,Tyler Higbee,83%,LAR,TE
10,Sony Michel,82%,LAR,RB
11,Chase Edmonds,82%,ARI,RB
12,Kareem Hunt,81%,CLE,RB
13,Devonta Freeman,80%,BAL,RB
14,Christian Kirk,79%,ARI,WR
15,Derrick Henry,78%,TEN,RB
16,Michael Gallup,78%,DAL,WR
17,Leonard Fournette,77%,TB,RB
18,Michael Carter,77%,NYJ,RB
19,Hunter Henry,76%,NE,TE
20,Devin Singletary,76%,BUF,RB
21,Darnell Mooney,74%,CHI,WR
22,Russell Gage,74%,ATL,WR
23,Van Jefferson,72%,LAR,WR
24,Jerry Jeudy,72%,DEN,WR
0,Rashaad Penny,70%,SEA,RB
1,Jeff Wilson,70%,SF,RB
2,Jarvis Landry,69%,CLE,WR
3,Justin Jackson,69%,LAC,RB
4,Courtland Sutton,69%,DEN,WR
5,Amon-Ra St.,69%,DET,WR
6,Tyler Boyd,68%,CIN,WR
7,Jakobi Meyers,68%,NE,WR
8,Chris Godwin,67%,TB,WR
9,D'Onta Foreman,66%,TEN,RB
10,DeAndre Hopkins,66%,ARI,WR
11,Chuba Hubbard,65%,CAR,RB
12,A.J. Green,65%,ARI,WR
13,DeVante Parker,64%,MIA,WR
14,Ryan Tannehill,63%,TEN,QB
15,Cole Beasley,63%,BUF,WR
16,Jared Cook,61%,LAC,TE
17,Derek Carr,60%,LV,QB
18,Julio Jones,60%,TEN,WR
19,Darrel Williams,60%,KC,RB
20,Calvin Ridley,59%,ATL,WR
21,Jamaal Williams,59%,DET,RB
22,Rhamondre Stevenson,56%,NE,RB
23,T.J. Hockenson,55%,DET,TE
24,Elijah Moore,55%,NYJ,WR
0,Mike Davis,52%,ATL,RB
1,Pat Freiermuth,52%,PIT,TE
2,Matt Ryan,51%,ATL,QB
3,Allen Robinson,51%,CHI,WR
4,Marvin Jones,51%,JAX,WR
5,Emmanuel Sanders,50%,BUF,WR
6,Nyheim Hines,50%,IND,RB
7,Kenny Golladay,49%,NYG,WR
8,Carson Wentz,48%,IND,QB
9,Mark Ingram,47%,NO,RB
10,Christian McCaffrey,44%,CAR,RB
11,David Johnson,43%,HOU,RB
12,Gerald Everett,42%,SEA,TE
13,Taysom Hill,42%,NO,QB
14,Tyler Conklin,42%,MIN,TE
15,Tua Tagovailoa,41%,MIA,QB
16,Marquez Valdes-Scantling,40%,GB,WR
17,Jimmy Garoppolo,38%,SF,QB
18,Rashod Bateman,37%,BAL,WR
19,Robby Anderson,37%,CAR,WR
20,Zack Moss,36%,BUF,RB
21,K.J. Osborn,34%,MIN,WR
22,Mecole Hardman,34%,KC,WR
23,Cole Kmet,34%,CHI,TE
24,J.D. McKissic,34%,WAS,RB
0,Mac Jones,33%,NE,QB
1,Evan Engram,31%,NYG,TE
2,Austin Hooper,31%,CLE,TE
3,Chris Carson,31%,SEA,RB
4,Laviska Shenault,30%,JAX,WR
5,Dontrell Hilliard,30%,TEN,RB
6,Ben Roethlisberger,30%,PIT,QB
7,Kenyan Drake,27%,LV,RB
8,Marquez Callaway,27%,NO,WR
9,Trevor Lawrence,27%,JAX,QB
10,Kendrick Bourne,27%,NE,WR
11,Baker Mayfield,27%,CLE,QB
12,Latavius Murray,26%,BAL,RB
13,Logan Thomas,26%,WAS,TE
14,Robert Woods,26%,LAR,WR
15,Taylor Heinicke,25%,WAS,QB
16,Gabriel Davis,25%,BUF,WR
17,Corey Davis,25%,NYJ,WR
18,Jamison Crowder,25%,NYJ,WR
19,Allen Lazard,24%,GB,WR
20,Devontae Booker,23%,NYG,RB
21,C.J. Uzomah,23%,CIN,TE
22,Justin Fields,23%,CHI,QB
23,Rondale Moore,23%,ARI,WR
24,Tim Patrick,22%,DEN,WR
0,Foster Moreau,22%,LV,TE
1,Kadarius Toney,22%,NYG,WR
2,Cam Newton,21%,CAR,QB
3,Craig Reynolds,21%,DET,RB
4,Alex Collins,20%,SEA,RB
5,Sterling Shepard,19%,NYG,WR
6,Teddy Bridgewater,19%,DEN,QB
7,Jonnu Smith,19%,NE,TE
8,T.Y. Hilton,18%,IND,WR
9,Robert Tonyan,18%,GB,TE
10,Ty Johnson,18%,NYJ,RB
11,Tevin Coleman,18%,NYJ,RB
12,Will Fuller,18%,MIA,WR
13,Nelson Agholor,17%,NE,WR
14,Ameer Abdullah,17%,CAR,RB
15,Jordan Howard,16%,PHI,RB
16,Brandon Bolden,16%,NE,RB
17,Trey Sermon,16%,SF,RB
18,D'Ernest Johnson,16%,CLE,RB
19,Nick Westbrook-Ikhine,16%,TEN,WR
20,Cam Akers,16%,LAR,RB
21,Michael Thomas,15%,NO,WR
22,Boston Scott,15%,PHI,RB
23,Daniel Jones,14%,NYG,QB
24,Ricky Seals-Jones,14%,WAS,TE
0,Rex Burkhead,14%,HOU,RB
1,JuJu Smith-Schuster,14%,PIT,WR
2,Khalil Herbert,14%,CHI,RB
3,DJ Chark,13%,JAX,WR
4,David Njoku,13%,CLE,TE
5,Tyler Huntley,13%,BAL,QB
6,Donovan Peoples-Jones,13%,CLE,WR
7,Josh Reynolds,13%,DET,WR
8,Samaje Perine,13%,CIN,RB
9,Gus Edwards,12%,BAL,RB
10,Raheem Mostert,12%,SF,RB
11,Trey Lance,12%,SF,QB
12,Tyler Johnson,12%,TB,WR
13,Matt Breida,11%,BUF,RB
14,Jermar Jefferson,11%,DET,RB
15,Duke Johnson,11%,MIA,RB
16,Kenneth Gainwell,11%,PHI,RB
17,J.K. Dobbins,10%,BAL,RB
18,Ryan Fitzpatrick,10%,WAS,QB
19,Curtis Samuel,10%,WAS,WR
20,Phillip Lindsay,9%,MIA,RB
21,Irv Smith,9%,MIN,TE
22,Deonte Harris,9%,NO,WR
23,Bryan Edwards,9%,LV,WR
24,Travis Etienne,8%,JAX,RB
