Player,FPTS,Team,Pos
Josh Allen,29.7,BUF,QB
Kirk Cousins,28.5,MIN,QB
Dak Prescott,27.8,DAL,QB
Matthew Stafford,26.2,LAR,QB
Jalen Hurts,26.0,PHI,QB
Kyler Murray,25.8,ARI,QB
Patrick Mahomes,25.0,KC,QB
Joe Burrow,23.8,CIN,QB
Aaron Rodgers,23.7,GB,QB
Tua Tagovailoa,22.4,MIA,QB
Derek Carr,21.5,LV,QB
Teddy Bridgewater,21.3,DEN,QB
Tom Brady,19.0,TB,QB
Carson Wentz,17.0,IND,QB
Sam Darnold,16.1,CAR,QB
Trevor Lawrence,15.9,JAC,QB
Mac Jones,15.8,NE,QB
Justin Fields,14.3,CHI,QB
Ryan Tannehill,13.9,TEN,QB
Lamar Jackson,13.8,BAL,QB
Baker Mayfield,13.2,CLE,QB
Justin Herbert,12.0,LAC,QB
Ben Roethlisberger,10.9,PIT,QB
Taylor Heinicke,10.3,WAS,QB
Jared Goff,9.2,DET,QB
Daniel Jones,7.1,NYG,QB
Jordan Love,0.0,GB,QB
Trey Lance,0.0,SF,QB
Gardner Minshew,0.0,PHI,QB
Zach Wilson,0.0,NYJ,QB
Russell Wilson,0.0,SEA,QB
Cam Newton,0.0,CAR,QB
Andy Dalton,0.0,CHI,QB
Tyrod Taylor,0.0,HOU,QB
Taysom Hill,0.0,NO,QB
Matt Ryan,0.0,ATL,QB
Ryan Fitzpatrick,0.0,WAS,QB
Trevor Siemian,0.0,NO,QB
Deshaun Watson,0.0,HOU,QB
Jimmy Garoppolo,0.0,SF,QB
Jameis Winston,0.0,NO,QB
Derrick Henry,35.6,TEN,RB
Leonard Fournette,30.7,TB,RB
Jonathan Taylor,28.8,IND,RB
Joe Mixon,26.3,CIN,RB
Najee Harris,24.7,PIT,RB
Darrell Henderson,24.7,LAR,RB
Darrel Williams,23.9,KC,RB
Dalvin Cook,22.3,MIN,RB
Kenyan Drake,21.3,LV,RB
Aaron Jones,21.0,GB,RB
Khalil Herbert,19.2,CHI,RB
James Robinson,19.1,JAC,RB
J.D. McKissic,19.0,WAS,RB
Ezekiel Elliott,18.9,DAL,RB
Damien Harris,17.8,NE,RB
D'Andre Swift,17.7,DET,RB
Alex Collins,16.8,SEA,RB
Rhamondre Stevenson,15.2,NE,RB
Josh Jacobs,15.2,LV,RB
Latavius Murray,13.6,BAL,RB
Chuba Hubbard,13.5,CAR,RB
Devonta Freeman,11.3,BAL,RB
Devontae Booker,10.9,NYG,RB
Kareem Hunt,10.8,CLE,RB
Melvin Gordon,10.3,DEN,RB
Mark Ingram,10.1,NO,RB
DeeJay Dallas,10.0,SEA,RB
Javonte Williams,9.8,DEN,RB
Austin Ekeler,9.5,LAC,RB
Tony Pollard,9.3,DAL,RB
Devin Singletary,9.3,BUF,RB
Miles Sanders,8.6,PHI,RB
James Conner,8.1,ARI,RB
Chase Edmonds,8.0,ARI,RB
Le'Veon Bell,7.8,FA,RB
Phillip Lindsay,7.4,MIA,RB
AJ Dillon,5.9,GB,RB
Zack Moss,5.9,BUF,RB
Salvon Ahmed,4.7,MIA,RB
Antonio Gibson,4.4,WAS,RB
Sony Michel,4.2,LAR,RB
Malcolm Brown,4.1,MIA,RB
Ronald Jones,3.9,TB,RB
Myles Gaskin,3.4,MIA,RB
Nyheim Hines,3.2,IND,RB
Giovani Bernard,2.4,TB,RB
Jamaal Williams,1.9,DET,RB
D'Ernest Johnson,1.9,CLE,RB
Justin Jackson,1.7,LAC,RB
Mike Boone,1.3,DEN,RB
Jaret Patterson,1.3,WAS,RB
Brandon Bolden,1.2,NE,RB
Marlon Mack,1.2,IND,RB
David Johnson,1.1,HOU,RB
Kenneth Gainwell,1.1,PHI,RB
Alexander Mattison,1.0,MIN,RB
Ty'Son Williams,0.0,BAL,RB
JaMycal Hasty,0.0,SF,RB
Eno Benjamin,0.0,ARI,RB
Trey Sermon,0.0,SF,RB
