,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Justin Jefferson,100%,Min,WR
2,Stefon Diggs,100%,Buf,WR
3,Davante Adams,100%,GB,WR
4,Nick Chubb,100%,Cle,RB
5,Lamar Jackson,100%,Bal,QB
6,Darren Waller,100%,LV,TE
7,Najee Harris,100%,Pit,RB
8,Josh Allen,100%,Buf,QB
9,Austin Ekeler,100%,LAC,RB
10,Ezekiel Elliott,100%,Dal,RB
11,Kyler Murray,100%,Ari,QB
12,CeeDee Lamb,100%,Dal,WR
13,Aaron Jones,100%,GB,RB
14,Travis Kelce,100%,KC,TE
15,Cooper Kupp,100%,LAR,WR
16,Alvin Kamara,100%,NO,RB
17,Tyreek Hill,100%,KC,WR
18,Joe Mixon,100%,Cin,RB
19,Dalvin Cook,100%,Min,RB
20,DeAndre Hopkins,100%,Ari,WR
21,Jonathan Taylor,100%,Ind,RB
22,Patrick Mahomes,100%,KC,QB
23,Christian McCaffrey,100%,Car,RB
24,Dak Prescott,99%,Dal,QB
0,Mark Andrews,99%,Bal,TE
1,Darrell Henderson,99%,LAR,RB
2,Terry McLaurin,99%,Was,WR
3,Mike Evans,99%,TB,WR
4,Justin Herbert,99%,LAC,QB
5,Matthew Stafford,99%,LAR,QB
6,A.J. Brown,99%,Ten,WR
7,Tom Brady,99%,TB,QB
8,Saquon Barkley,99%,NYG,RB
9,Chris Godwin,99%,TB,WR
10,Keenan Allen,99%,LAC,WR
11,Kyle Pitts,99%,Atl,TE
12,Adam Thielen,98%,Min,WR
13,Deebo Samuel,98%,SF,WR
14,Ja'Marr Chase,98%,Cin,WR
15,James Robinson,98%,Jax,RB
16,D'Andre Swift,98%,Det,RB
17,Aaron Rodgers,98%,GB,QB
18,DJ Moore,98%,Car,WR
19,Amari Cooper,98%,Dal,WR
20,Robert Woods,98%,LAR,WR
21,Josh Jacobs,97%,LV,RB
22,Tyler Lockett,97%,Sea,WR
23,Leonard Fournette,97%,TB,RB
24,Antonio Gibson,97%,Was,RB
0,Mike Williams,97%,LAC,WR
1,Jalen Hurts,97%,Phi,QB
2,Diontae Johnson,97%,Pit,WR
3,George Kittle,96%,SF,TE
4,Damien Harris,96%,NE,RB
5,T.J. Hockenson,96%,Det,TE
6,Mike Gesicki,95%,Mia,TE
7,Joe Burrow,95%,Cin,QB
8,Chase Edmonds,94%,Ari,RB
9,Antonio Brown,93%,TB,WR
10,Tyler Higbee,93%,LAR,TE
11,Marquise Brown,93%,Bal,WR
12,Brandin Cooks,93%,Hou,WR
13,Cordarrelle Patterson,93%,Atl,"WR,RB"
14,Michael Pittman,93%,Ind,WR
15,James Conner,92%,Ari,RB
16,Dallas Goedert,92%,Phi,TE
17,Courtland Sutton,92%,Den,WR
18,David Montgomery,92%,Chi,RB
19,Chase Claypool,92%,Pit,WR
20,Russell Wilson,92%,Sea,QB
21,Myles Gaskin,91%,Mia,RB
22,Tee Higgins,91%,Cin,WR
23,Melvin Gordon,90%,Den,RB
24,Julio Jones,90%,Ten,WR
0,Kareem Hunt,90%,Cle,RB
1,Ryan Tannehill,90%,Ten,QB
2,Clyde Edwards-Helaire,90%,KC,RB
3,Chris Carson,89%,Sea,RB
4,Zack Moss,89%,Buf,RB
5,Rob Gronkowski,88%,TB,TE
6,Jaylen Waddle,88%,Mia,WR
7,Darrel Williams,87%,KC,RB
8,Derrick Henry,87%,Ten,RB
9,Javonte Williams,86%,Den,RB
10,Jerry Jeudy,86%,Den,WR
11,Zach Ertz,86%,Ari,TE
12,Dalton Schultz,85%,Dal,TE
13,Calvin Ridley,85%,Atl,WR
14,DeVonta Smith,85%,Phi,WR
15,Eli Mitchell,85%,SF,RB
16,Michael Carter,84%,NYJ,RB
17,Kirk Cousins,84%,Min,QB
18,Derek Carr,84%,LV,QB
19,Noah Fant,83%,Den,TE
20,Emmanuel Sanders,81%,Buf,WR
21,Khalil Herbert,80%,Chi,RB
22,Hunter Henry,79%,NE,TE
23,Allen Robinson,78%,Chi,WR
24,Jeremy McNichols,78%,Ten,RB
0,Marvin Jones,77%,Jax,WR
1,Chuba Hubbard,76%,Car,RB
2,Mike Davis,76%,Atl,RB
3,Tyler Boyd,76%,Cin,WR
4,Devontae Booker,76%,NYG,RB
5,Jarvis Landry,76%,Cle,WR
6,Jakobi Meyers,75%,NE,WR
7,Cole Beasley,75%,Buf,WR
8,Miles Sanders,74%,Phi,RB
9,Odell Beckham,74%,LAR,WR
10,Tony Pollard,71%,Dal,RB
11,Dawson Knox,68%,Buf,TE
12,Kadarius Toney,67%,NYG,WR
13,Christian Kirk,67%,Ari,WR
14,AJ Dillon,66%,GB,RB
15,Adrian Peterson,65%,Sea,RB
16,Jared Cook,65%,LAC,TE
17,Hunter Renfrow,65%,LV,WR
18,Corey Davis,64%,NYJ,WR
19,Kenyan Drake,63%,LV,RB
20,Devin Singletary,63%,Buf,RB
21,Boston Scott,62%,Phi,RB
22,Carson Wentz,60%,Ind,QB
23,Brandon Aiyuk,60%,SF,WR
24,Kenny Golladay,59%,NYG,WR
0,Matt Ryan,55%,Atl,QB
1,J.D. McKissic,53%,Was,RB
2,Nyheim Hines,53%,Ind,RB
3,Logan Thomas,53%,Was,TE
4,Daniel Jones,52%,NYG,QB
5,Laviska Shenault,52%,Jax,WR
6,Michael Gallup,48%,Dal,WR
7,Mecole Hardman,47%,KC,WR
8,A.J. Green,47%,Ari,WR
9,Alexander Mattison,47%,Min,RB
10,Jamaal Williams,47%,Det,RB
11,Darnell Mooney,44%,Chi,WR
12,Van Jefferson,44%,LAR,WR
13,Alex Collins,43%,Sea,RB
14,Robby Anderson,43%,Car,WR
15,DeVante Parker,43%,Mia,WR
16,D'Ernest Johnson,40%,Cle,RB
17,Evan Engram,40%,NYG,TE
18,Pat Freiermuth,40%,Pit,TE
19,Kenneth Gainwell,40%,Phi,RB
20,Mark Ingram,38%,NO,RB
21,Trevor Lawrence,38%,Jax,QB
22,Tyler Conklin,38%,Min,TE
23,Sterling Shepard,38%,NYG,WR
24,Baker Mayfield,37%,Cle,QB
0,C.J. Uzomah,37%,Cin,TE
1,Derrick Gore,37%,KC,RB
2,Rashod Bateman,36%,Bal,WR
3,Latavius Murray,35%,Bal,RB
4,Marquez Callaway,34%,NO,WR
5,Carlos Hyde,34%,Jax,RB
6,Tua Tagovailoa,33%,Mia,QB
7,Sony Michel,33%,LAR,RB
8,Jeff Wilson,32%,SF,RB
9,Rondale Moore,31%,Ari,WR
10,Mac Jones,30%,NE,QB
11,Bryan Edwards,30%,LV,WR
12,David Johnson,30%,Hou,RB
13,Jonnu Smith,29%,NE,TE
14,T.Y. Hilton,28%,Ind,WR
15,Jordan Love,28%,GB,QB
16,Jimmy Garoppolo,28%,SF,QB
17,Ben Roethlisberger,27%,Pit,QB
18,Dan Arnold,27%,Jax,TE
19,Elijah Moore,27%,NYJ,WR
20,Teddy Bridgewater,26%,Den,QB
21,Will Fuller,26%,Mia,WR
22,Robert Tonyan,26%,GB,TE
23,Justin Fields,26%,Chi,QB
24,Michael Thomas,25%,NO,WR
0,Tim Patrick,25%,Den,WR
1,Jamison Crowder,24%,NYJ,WR
2,Austin Hooper,24%,Cle,TE
3,Trey Sermon,24%,SF,RB
4,Nelson Agholor,23%,NE,WR
5,Gerald Everett,21%,Sea,TE
6,Ronald Jones,21%,TB,RB
7,Sam Darnold,21%,Car,QB
8,Cole Kmet,20%,Chi,TE
9,Devonta Freeman,20%,Bal,RB
10,Randall Cobb,19%,GB,WR
11,Taysom Hill,18%,NO,QB
12,Trey Lance,18%,SF,QB
13,JuJu Smith-Schuster,17%,Pit,WR
14,Ricky Seals-Jones,16%,Was,TE
15,Russell Gage,16%,Atl,WR
16,Deonte Harris,15%,NO,WR
17,DJ Chark,15%,Jax,WR
18,Tyrod Taylor,15%,Hou,QB
19,Raheem Mostert,14%,SF,RB
