,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Austin Ekeler,100%,LAC,RB
2,Travis Kelce,100%,KC,TE
3,Jonathan Taylor,100%,Ind,RB
4,Justin Jefferson,100%,Min,WR
5,CeeDee Lamb,100%,Dal,WR
6,Davante Adams,100%,GB,WR
7,A.J. Brown,100%,Ten,WR
8,Kyler Murray,100%,Ari,QB
9,Mark Andrews,100%,Bal,TE
10,Stefon Diggs,100%,Buf,WR
11,Nick Chubb,100%,Cle,RB
12,Darren Waller,100%,LV,TE
13,Lamar Jackson,100%,Bal,QB
14,Josh Allen,100%,Buf,QB
15,Ezekiel Elliott,100%,Dal,RB
16,Najee Harris,100%,Pit,RB
17,Dalvin Cook,100%,Min,RB
18,Christian McCaffrey,100%,Car,RB
19,Patrick Mahomes,100%,KC,QB
20,Tyreek Hill,100%,KC,WR
21,Cooper Kupp,100%,LAR,WR
22,Alvin Kamara,100%,NO,RB
23,Joe Mixon,100%,Cin,RB
24,Aaron Jones,99%,GB,RB
0,Keenan Allen,99%,LAC,WR
1,D'Andre Swift,99%,Det,RB
2,Justin Herbert,99%,LAC,QB
3,Mike Evans,99%,TB,WR
4,Tom Brady,99%,TB,QB
5,Kyle Pitts,99%,Atl,TE
6,Terry McLaurin,99%,Was,WR
7,Darrell Henderson,99%,LAR,RB
8,DeAndre Hopkins,99%,Ari,WR
9,Dak Prescott,99%,Dal,QB
10,George Kittle,99%,SF,TE
11,Saquon Barkley,99%,NYG,RB
12,Chris Godwin,99%,TB,WR
13,Amari Cooper,98%,Dal,WR
14,Tyler Lockett,98%,Sea,WR
15,Antonio Gibson,98%,Was,RB
16,Adam Thielen,98%,Min,WR
17,Deebo Samuel,98%,SF,WR
18,James Robinson,98%,Jax,RB
19,DJ Moore,98%,Car,WR
20,Ja'Marr Chase,98%,Cin,WR
21,Aaron Rodgers,98%,GB,QB
22,Leonard Fournette,98%,TB,RB
23,James Conner,97%,Ari,RB
24,Josh Jacobs,97%,LV,RB
0,Diontae Johnson,97%,Pit,WR
1,David Montgomery,97%,Chi,RB
2,Russell Wilson,97%,Sea,QB
3,Matthew Stafford,97%,LAR,QB
4,Jalen Hurts,96%,Phi,QB
5,Mike Williams,96%,LAC,WR
6,T.J. Hockenson,96%,Det,TE
7,Damien Harris,95%,NE,RB
8,AJ Dillon,95%,GB,RB
9,Michael Pittman,94%,Ind,WR
10,Clyde Edwards-Helaire,93%,KC,RB
11,Marquise Brown,93%,Bal,WR
12,Joe Burrow,93%,Cin,QB
13,Mike Gesicki,93%,Mia,TE
14,Brandin Cooks,93%,Hou,WR
15,Antonio Brown,92%,TB,WR
16,Cordarrelle Patterson,92%,Atl,"WR,RB"
17,Melvin Gordon,92%,Den,RB
18,Myles Gaskin,92%,Mia,RB
19,Tee Higgins,92%,Cin,WR
20,Jaylen Waddle,91%,Mia,WR
21,DeVonta Smith,91%,Phi,WR
22,Ryan Tannehill,91%,Ten,QB
23,Kareem Hunt,90%,Cle,RB
24,Michael Carter,90%,NYJ,RB
0,Rob Gronkowski,88%,TB,TE
1,Odell Beckham,86%,LAR,WR
2,Chase Claypool,86%,Pit,WR
3,Darrel Williams,86%,KC,RB
4,Derrick Henry,86%,Ten,RB
5,Eli Mitchell,85%,SF,RB
6,Javonte Williams,85%,Den,RB
7,Tyler Higbee,84%,LAR,TE
8,Mark Ingram,84%,NO,RB
9,Jerry Jeudy,84%,Den,WR
10,Miles Sanders,83%,Phi,RB
11,Courtland Sutton,83%,Den,WR
12,Kirk Cousins,82%,Min,QB
13,Zach Ertz,82%,Ari,TE
14,Dallas Goedert,82%,Phi,TE
15,Hunter Henry,82%,NE,TE
16,Zack Moss,81%,Buf,RB
17,Dalton Schultz,81%,Dal,TE
18,Calvin Ridley,79%,Atl,WR
19,Christian Kirk,79%,Ari,WR
20,Noah Fant,78%,Den,TE
21,Hunter Renfrow,78%,LV,WR
22,Derek Carr,78%,LV,QB
23,Emmanuel Sanders,77%,Buf,WR
24,Chase Edmonds,77%,Ari,RB
0,Brandon Aiyuk,77%,SF,WR
1,Dawson Knox,76%,Buf,TE
2,Tony Pollard,76%,Dal,RB
3,Jakobi Meyers,74%,NE,WR
4,Jarvis Landry,74%,Cle,WR
5,Cole Beasley,72%,Buf,WR
6,Devin Singletary,71%,Buf,RB
7,Corey Davis,71%,NYJ,WR
8,Allen Robinson,69%,Chi,WR
9,Michael Gallup,68%,Dal,WR
10,Marvin Jones,67%,Jax,WR
11,Tyler Boyd,67%,Cin,WR
12,Jeff Wilson,66%,SF,RB
13,Julio Jones,65%,Ten,WR
14,Kenyan Drake,65%,LV,RB
15,Devonta Freeman,65%,Bal,RB
16,D'Onta Foreman,62%,Ten,RB
17,Alex Collins,61%,Sea,RB
18,Kenny Golladay,60%,NYG,WR
19,Rashod Bateman,60%,Bal,WR
20,Mike Davis,60%,Atl,RB
21,Nyheim Hines,59%,Ind,RB
22,Darnell Mooney,58%,Chi,WR
23,Rhamondre Stevenson,58%,NE,RB
24,Elijah Moore,57%,NYJ,WR
0,D'Ernest Johnson,57%,Cle,RB
1,J.D. McKissic,55%,Was,RB
2,Kadarius Toney,55%,NYG,WR
3,Carson Wentz,54%,Ind,QB
4,Logan Thomas,52%,Was,TE
5,Chris Carson,52%,Sea,RB
6,Pat Freiermuth,52%,Pit,TE
7,Jared Cook,52%,LAC,TE
8,Alexander Mattison,51%,Min,RB
9,Cam Newton,51%,Car,QB
10,Mecole Hardman,50%,KC,WR
11,Matt Ryan,50%,Atl,QB
12,Robby Anderson,49%,Car,WR
13,Devontae Booker,47%,NYG,RB
14,Van Jefferson,46%,LAR,WR
15,A.J. Green,46%,Ari,WR
16,Tua Tagovailoa,45%,Mia,QB
17,Chuba Hubbard,43%,Car,RB
18,Dan Arnold,42%,Jax,TE
19,Mac Jones,40%,NE,QB
20,Jamaal Williams,39%,Det,RB
21,Adrian Peterson,39%,Sea,RB
22,Laviska Shenault,39%,Jax,WR
23,Baker Mayfield,38%,Cle,QB
24,Tyler Conklin,37%,Min,TE
0,Latavius Murray,36%,Bal,RB
1,Robert Woods,36%,LAR,WR
2,Jimmy Garoppolo,33%,SF,QB
3,Daniel Jones,33%,NYG,QB
4,T.Y. Hilton,33%,Ind,WR
5,Trevor Lawrence,32%,Jax,QB
6,Marquez Callaway,32%,NO,WR
7,Evan Engram,32%,NYG,TE
8,DeVante Parker,31%,Mia,WR
9,Sterling Shepard,31%,NYG,WR
10,Brandon Bolden,31%,NE,RB
11,Justin Fields,31%,Chi,QB
12,Jordan Howard,30%,Phi,RB
13,Tim Patrick,27%,Den,WR
14,Sony Michel,27%,LAR,RB
15,Khalil Herbert,26%,Chi,RB
16,Cole Kmet,26%,Chi,TE
17,Jeremy McNichols,25%,Ten,RB
18,David Johnson,25%,Hou,RB
19,Will Fuller,25%,Mia,WR
20,Rondale Moore,23%,Ari,WR
21,Ben Roethlisberger,23%,Pit,QB
22,Jonnu Smith,23%,NE,TE
23,Austin Hooper,22%,Cle,TE
24,C.J. Uzomah,22%,Cin,TE
0,Deonte Harris,21%,NO,WR
1,Nelson Agholor,21%,NE,WR
2,Boston Scott,21%,Phi,RB
3,Robert Tonyan,21%,GB,TE
4,Gerald Everett,21%,Sea,TE
5,Trey Sermon,20%,SF,RB
6,Jamison Crowder,20%,NYJ,WR
7,Kendrick Bourne,20%,NE,WR
8,Bryan Edwards,20%,LV,WR
9,Teddy Bridgewater,20%,Den,QB
10,Ty Johnson,20%,NYJ,RB
11,Ronald Jones,19%,TB,RB
12,Donovan Peoples-Jones,19%,Cle,WR
13,Marcus Johnson,18%,Ten,WR
14,Kenneth Gainwell,18%,Phi,RB
15,Michael Thomas,18%,NO,WR
16,Russell Gage,17%,Atl,WR
17,JuJu Smith-Schuster,16%,Pit,WR
18,Trey Lance,15%,SF,QB
19,Taylor Heinicke,15%,Was,QB
20,Rashaad Penny,15%,Sea,RB
21,Jamal Agnew,14%,Jax,WR
22,DJ Chark,14%,Jax,WR
23,Carlos Hyde,13%,Jax,RB
24,Randall Cobb,13%,GB,WR
0,Gus Edwards,13%,Bal,RB
1,Raheem Mostert,13%,SF,RB
2,Giovani Bernard,12%,TB,RB
3,Sammy Watkins,11%,Bal,WR
4,Ryan Fitzpatrick,11%,Was,QB
5,Irv Smith,10%,Min,TE
6,Curtis Samuel,10%,Was,WR
7,J.K. Dobbins,10%,Bal,RB
8,Phillip Lindsay,10%,Mia,RB
9,Marquez Valdes-Scantling,9%,GB,WR
10,Sam Darnold,9%,Car,QB
11,Ricky Seals-Jones,9%,Was,TE
12,David Njoku,8%,Cle,TE
13,Jameis Winston,8%,NO,QB
14,Kalif Raymond,8%,Det,WR
15,Adam Trautman,7%,NO,TE
16,Wayne Gallman,7%,Atl,RB
17,Eno Benjamin,7%,Ari,RB
18,Jalen Reagor,7%,Phi,WR
19,Henry Ruggs,7%,LV,WR
20,Travis Etienne,7%,Jax,RB
21,Samaje Perine,6%,Cin,RB
22,James White,6%,NE,RB
23,Tyrod Taylor,6%,Hou,QB
24,Trevor Siemian,6%,NO,QB
