,Player,ROST%,Team,Pos
23,Michael Carter,76%,NYJ,RB
24,Chase Edmonds,75%,Ari,RB
0,Devonta Freeman,75%,Bal,RB
1,Hunter Renfrow,75%,LV,WR
2,Jakobi Meyers,74%,NE,WR
3,Jarvis Landry,72%,Cle,WR
4,Christian Kirk,71%,Ari,WR
5,Emmanuel Sanders,69%,Buf,WR
6,Cole Beasley,68%,Buf,WR
7,Cam Newton,68%,Car,QB
8,Derek Carr,68%,LV,QB
9,Darrel Williams,68%,KC,RB
10,Tyler Boyd,67%,Cin,WR
11,Rhamondre Stevenson,66%,NE,RB
12,Devin Singletary,65%,Buf,RB
13,Allen Robinson,64%,Chi,WR
14,Marvin Jones,64%,Jax,WR
15,Corey Davis,63%,NYJ,WR
16,Pat Freiermuth,63%,Pit,TE
17,Logan Thomas,62%,Was,TE
18,Zack Moss,62%,Buf,RB
19,Julio Jones,62%,Ten,WR
20,Kenyan Drake,58%,LV,RB
21,Kenny Golladay,58%,NYG,WR
22,Carson Wentz,58%,Ind,QB
23,Rashod Bateman,57%,Bal,WR
24,Nyheim Hines,56%,Ind,RB
0,Alex Collins,55%,Sea,RB
1,J.D. McKissic,53%,Was,RB
2,David Johnson,52%,Hou,RB
3,Mike Davis,51%,Atl,RB
4,Alexander Mattison,50%,Min,RB
5,Jared Cook,48%,LAC,TE
6,Van Jefferson,48%,LAR,WR
7,Matt Ryan,47%,Atl,QB
8,Jeff Wilson,47%,SF,RB
9,Kadarius Toney,47%,NYG,WR
10,D'Onta Foreman,46%,Ten,RB
11,Robby Anderson,46%,Car,WR
12,Laviska Shenault,42%,Jax,WR
13,A.J. Green,41%,Ari,WR
14,Ty Johnson,41%,NYJ,RB
15,Chris Carson,40%,Sea,RB
16,Mecole Hardman,40%,KC,WR
17,Jamaal Williams,39%,Det,RB
18,Mac Jones,38%,NE,QB
19,Chuba Hubbard,37%,Car,RB
20,Dan Arnold,36%,Jax,TE
21,Taylor Heinicke,35%,Was,QB
22,Devontae Booker,35%,NYG,RB
23,Jimmy Garoppolo,34%,SF,QB
24,Latavius Murray,34%,Bal,RB
0,Evan Engram,34%,NYG,TE
1,Tyler Conklin,33%,Min,TE
2,Baker Mayfield,33%,Cle,QB
3,Tua Tagovailoa,33%,Mia,QB
4,Robert Woods,32%,LAR,WR
5,D'Ernest Johnson,31%,Cle,RB
6,Marquez Callaway,30%,NO,WR
7,Trevor Lawrence,30%,Jax,QB
8,DeVante Parker,30%,Mia,WR
9,Dontrell Hilliard,29%,Ten,RB
10,Sterling Shepard,29%,NYG,WR
11,Daniel Jones,28%,NYG,QB
12,T.Y. Hilton,28%,Ind,WR
13,Tim Patrick,27%,Den,WR
14,Gerald Everett,27%,Sea,TE
15,Sony Michel,27%,LAR,RB
16,Marquez Valdes-Scantling,26%,GB,WR
17,Tony Jones,25%,NO,RB
18,Cedrick Wilson,25%,Dal,WR
19,Austin Hooper,24%,Cle,TE
20,Will Fuller,24%,Mia,WR
21,Cole Kmet,24%,Chi,TE
22,Brandon Bolden,24%,NE,RB
23,Ben Roethlisberger,24%,Pit,QB
24,Jamison Crowder,24%,NYJ,WR
0,Matt Breida,23%,Buf,RB
1,Kendrick Bourne,23%,NE,WR
2,Nelson Agholor,23%,NE,WR
3,Rondale Moore,22%,Ari,WR
4,Jonnu Smith,22%,NE,TE
5,Justin Fields,21%,Chi,QB
6,Teddy Bridgewater,21%,Den,QB
7,Robert Tonyan,20%,GB,TE
8,Boston Scott,19%,Phi,RB
9,Trey Sermon,19%,SF,RB
10,Ronald Jones,19%,TB,RB
11,Khalil Herbert,19%,Chi,RB
12,Nick Westbrook-Ikhine,19%,Ten,WR
13,Tevin Coleman,18%,NYJ,RB
14,Deonte Harris,18%,NO,WR
15,C.J. Uzomah,18%,Cin,TE
16,Jeremy McNichols,17%,Ten,RB
17,Michael Thomas,17%,NO,WR
18,Russell Gage,17%,Atl,WR
19,Jordan Howard,16%,Phi,RB
20,JuJu Smith-Schuster,15%,Pit,WR
21,Bryan Edwards,15%,LV,WR
22,DJ Chark,14%,Jax,WR
23,Trey Lance,14%,SF,QB
24,Donovan Peoples-Jones,14%,Cle,WR
0,Raheem Mostert,13%,SF,RB
1,Gus Edwards,13%,Bal,RB
2,Curtis Samuel,13%,Was,WR
3,Phillip Lindsay,12%,Mia,RB
4,Kenneth Gainwell,12%,Phi,RB
5,Randall Cobb,11%,GB,WR
6,Ryan Fitzpatrick,11%,Was,QB
7,Tyrod Taylor,11%,Hou,QB
8,Carlos Hyde,10%,Jax,RB
9,J.K. Dobbins,10%,Bal,RB
10,Giovani Bernard,10%,TB,RB
11,Sammy Watkins,10%,Bal,WR
12,DeeJay Dallas,9%,Sea,RB
13,Irv Smith,9%,Min,TE
14,Rex Burkhead,8%,Hou,RB
15,Adrian Peterson,8%,Sea,RB
16,Rashaad Penny,8%,Sea,RB
17,David Njoku,7%,Cle,TE
18,Jameis Winston,7%,NO,QB
19,Sam Darnold,7%,Car,QB
20,Travis Etienne,7%,Jax,RB
21,Ricky Seals-Jones,7%,Was,TE
22,Jalen Reagor,7%,Phi,WR
23,Henry Ruggs,6%,LV,WR
24,Zach Wilson,6%,NYJ,QB
