,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Terry McLaurin,100%,Was,WR
2,Nick Chubb,100%,Cle,RB
3,Mark Andrews,100%,Bal,TE
4,Allen Robinson,100%,Chi,WR
5,Davante Adams,100%,GB,WR
6,Kyler Murray,100%,Ari,QB
7,A.J. Brown,100%,Ten,WR
8,Keenan Allen,100%,LAC,WR
9,Calvin Ridley,100%,Atl,WR
10,Travis Kelce,100%,KC,TE
11,DeAndre Hopkins,100%,Ari,WR
12,CeeDee Lamb,100%,Dal,WR
13,Justin Jefferson,100%,Min,WR
14,Clyde Edwards-Helaire,100%,KC,RB
15,Jonathan Taylor,100%,Ind,RB
16,Lamar Jackson,100%,Bal,QB
17,Josh Allen,100%,Buf,QB
18,Antonio Gibson,100%,Was,RB
19,Dalvin Cook,100%,Min,RB
20,Ezekiel Elliott,100%,Dal,RB
21,Derrick Henry,100%,Ten,RB
22,Tyreek Hill,100%,KC,WR
23,Christian McCaffrey,100%,Car,RB
24,Patrick Mahomes,100%,KC,QB
0,Darren Waller,100%,LV,TE
1,Joe Mixon,100%,Cin,RB
2,Saquon Barkley,100%,NYG,RB
3,Alvin Kamara,100%,NO,RB
4,Stefon Diggs,100%,Buf,WR
5,Chris Godwin,100%,TB,WR
6,George Kittle,100%,SF,TE
7,Aaron Jones,100%,GB,RB
8,Austin Ekeler,100%,LAC,RB
9,Russell Wilson,100%,Sea,QB
10,Mike Evans,100%,TB,WR
11,Kyle Pitts,100%,Atl,TE
12,Najee Harris,100%,Pit,RB
13,James Robinson,99%,Jax,RB
14,Aaron Rodgers,99%,GB,QB
15,Amari Cooper,99%,Dal,WR
16,T.J. Hockenson,99%,Det,TE
17,Justin Herbert,99%,LAC,QB
18,Cooper Kupp,99%,LAR,WR
19,Dak Prescott,99%,Dal,QB
20,Chris Carson,99%,Sea,RB
21,David Montgomery,99%,Chi,RB
22,Tom Brady,99%,TB,QB
23,Tyler Lockett,98%,Sea,WR
24,Robert Woods,98%,LAR,WR
0,Julio Jones,98%,Ten,WR
1,D'Andre Swift,98%,Det,RB
2,Miles Sanders,98%,Phi,RB
3,Adam Thielen,98%,Min,WR
4,DJ Moore,98%,Car,WR
5,Josh Jacobs,98%,LV,RB
6,Logan Thomas,97%,Was,TE
7,Diontae Johnson,97%,Pit,WR
8,Darrell Henderson,97%,LAR,RB
9,Mike Davis,96%,Atl,RB
10,Kareem Hunt,96%,Cle,RB
11,Brandon Aiyuk,96%,SF,WR
12,Damien Harris,96%,NE,RB
13,Tee Higgins,96%,Cin,WR
14,Tyler Higbee,96%,LAR,TE
15,Myles Gaskin,95%,Mia,RB
16,Odell Beckham,95%,LAR,WR
17,Matthew Stafford,95%,LAR,QB
18,Jalen Hurts,95%,Phi,QB
19,Jerry Jeudy,95%,Den,WR
20,Raheem Mostert,95%,SF,RB
21,Robert Tonyan,95%,GB,TE
22,Chase Claypool,95%,Pit,WR
23,Chase Edmonds,94%,Ari,RB
24,Robby Anderson,94%,Car,WR
0,Ryan Tannehill,94%,Ten,QB
1,JuJu Smith-Schuster,93%,Pit,WR
2,Noah Fant,93%,Den,TE
3,Deebo Samuel,92%,SF,WR
4,Ja'Marr Chase,92%,Cin,WR
5,Tyler Boyd,91%,Cin,WR
6,Melvin Gordon,91%,Den,RB
7,Antonio Brown,91%,TB,WR
8,Javonte Williams,91%,Den,RB
9,Trey Sermon,91%,SF,RB
10,Brandin Cooks,90%,Hou,WR
11,Dallas Goedert,90%,Phi,TE
12,Courtland Sutton,89%,Den,WR
13,Kenny Golladay,88%,NYG,WR
14,Ronald Jones,87%,TB,RB
15,James Conner,87%,Ari,RB
16,Leonard Fournette,87%,TB,RB
17,Corey Davis,86%,NYJ,WR
18,DeVonta Smith,85%,Phi,WR
19,Joe Burrow,85%,Cin,QB
20,Mike Gesicki,84%,Mia,TE
21,AJ Dillon,83%,GB,RB
22,Rob Gronkowski,83%,TB,TE
23,Laviska Shenault,81%,Jax,WR
24,Devin Singletary,80%,Buf,RB
0,Trevor Lawrence,79%,Jax,QB
1,Ty'Son Williams,78%,Bal,RB
2,DJ Chark,77%,Jax,WR
3,Kenyan Drake,77%,LV,RB
4,Michael Thomas,77%,NO,WR
5,Jarvis Landry,76%,Cle,WR
6,Jamaal Williams,75%,Det,RB
7,Baker Mayfield,74%,Cle,QB
8,Matt Ryan,73%,Atl,QB
9,Michael Pittman,73%,Ind,WR
10,Mike Williams,73%,LAC,WR
11,Jonnu Smith,72%,NE,TE
12,Sony Michel,72%,LAR,RB
13,Marquez Callaway,72%,NO,WR
14,Nyheim Hines,72%,Ind,RB
15,Zack Moss,71%,Buf,RB
16,Michael Gallup,66%,Dal,WR
17,Will Fuller,66%,Mia,WR
18,Kirk Cousins,66%,Min,QB
19,Jaylen Waddle,66%,Mia,WR
20,Gerald Everett,66%,Sea,TE
21,Latavius Murray,62%,Bal,RB
22,Mecole Hardman,62%,KC,WR
23,Jakobi Meyers,61%,NE,WR
24,Marquise Brown,61%,Bal,WR
0,Marvin Jones,61%,Jax,WR
1,Michael Carter,60%,NYJ,RB
2,Hunter Henry,57%,NE,TE
3,Austin Hooper,53%,Cle,TE
4,David Johnson,52%,Hou,RB
5,Tony Pollard,52%,Dal,RB
6,Justin Fields,51%,Chi,QB
7,Darnell Mooney,48%,Chi,WR
8,Le'Veon Bell,46%,Bal,RB
9,Phillip Lindsay,46%,Mia,RB
10,Cole Beasley,45%,Buf,WR
11,Ryan Fitzpatrick,44%,Was,QB
12,Trey Lance,44%,SF,QB
13,Jameis Winston,43%,NO,QB
14,Elijah Moore,42%,NYJ,WR
15,Curtis Samuel,41%,Was,WR
16,Henry Ruggs,41%,LV,WR
17,Tyrell Williams,40%,Det,WR
18,Ben Roethlisberger,39%,Pit,QB
19,Sterling Shepard,39%,NYG,WR
20,DeVante Parker,39%,Mia,WR
21,Evan Engram,37%,NYG,TE
22,J.D. McKissic,37%,Was,RB
23,Zach Ertz,37%,Ari,TE
24,Alexander Mattison,36%,Min,RB
0,Cole Kmet,34%,Chi,TE
1,Nelson Agholor,33%,NE,WR
2,Gus Edwards,33%,Bal,RB
3,James White,33%,NE,RB
4,Tevin Coleman,31%,NYJ,RB
5,Russell Gage,30%,Atl,WR
6,Jamison Crowder,29%,NYJ,WR
7,Tua Tagovailoa,29%,Mia,QB
8,Rondale Moore,27%,Ari,WR
9,Giovani Bernard,27%,TB,RB
10,Mac Jones,26%,NE,QB
11,Jared Cook,26%,LAC,TE
12,Rhamondre Stevenson,24%,NE,RB
13,Tony Jones,23%,NO,RB
14,Jalen Reagor,21%,Phi,WR
15,Emmanuel Sanders,21%,Buf,WR
16,Derek Carr,21%,LV,QB
17,Terrace Marshall,20%,Car,WR
18,Daniel Jones,20%,NYG,QB
19,Mark Ingram,20%,NO,RB
20,Irv Smith,19%,Min,TE
21,Chuba Hubbard,19%,Car,RB
22,A.J. Green,18%,Ari,WR
23,T.Y. Hilton,18%,Ind,WR
24,Bryan Edwards,17%,LV,WR
0,Zach Wilson,17%,NYJ,QB
1,Carlos Hyde,16%,Jax,RB
