,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Kyler Murray,100%,Ari,QB
2,Stefon Diggs,100%,Buf,WR
3,Saquon Barkley,100%,NYG,RB
4,Josh Allen,100%,Buf,QB
5,Calvin Ridley,100%,Atl,WR
6,Lamar Jackson,100%,Bal,QB
7,Jonathan Taylor,100%,Ind,RB
8,Tyreek Hill,100%,KC,WR
9,Najee Harris,100%,Pit,RB
10,Davante Adams,100%,GB,WR
11,Terry McLaurin,100%,Was,WR
12,Justin Jefferson,100%,Min,WR
13,Keenan Allen,100%,LAC,WR
14,Antonio Gibson,100%,Was,RB
15,Travis Kelce,100%,KC,TE
16,DeAndre Hopkins,100%,Ari,WR
17,Austin Ekeler,100%,LAC,RB
18,Nick Chubb,100%,Cle,RB
19,Joe Mixon,100%,Cin,RB
20,Ezekiel Elliott,100%,Dal,RB
21,Aaron Jones,100%,GB,RB
22,Dalvin Cook,100%,Min,RB
23,Derrick Henry,100%,Ten,RB
24,Christian McCaffrey,100%,Car,RB
0,Darren Waller,100%,LV,TE
1,Alvin Kamara,100%,NO,RB
2,Patrick Mahomes,100%,KC,QB
3,Tom Brady,99%,TB,QB
4,A.J. Brown,99%,Ten,WR
5,T.J. Hockenson,99%,Det,TE
6,Amari Cooper,99%,Dal,WR
7,Clyde Edwards-Helaire,99%,KC,RB
8,CeeDee Lamb,99%,Dal,WR
9,Mark Andrews,99%,Bal,TE
10,Tyler Lockett,99%,Sea,WR
11,Cooper Kupp,99%,LAR,WR
12,Chris Godwin,99%,TB,WR
13,Dak Prescott,99%,Dal,QB
14,Mike Evans,99%,TB,WR
15,Russell Wilson,98%,Sea,QB
16,Aaron Rodgers,98%,GB,QB
17,Chris Carson,98%,Sea,RB
18,Justin Herbert,98%,LAC,QB
19,Adam Thielen,98%,Min,WR
20,James Robinson,98%,Jax,RB
21,Kyle Pitts,98%,Atl,TE
22,DJ Moore,98%,Car,WR
23,George Kittle,98%,SF,TE
24,D'Andre Swift,98%,Det,RB
0,Darrell Henderson,97%,LAR,RB
1,Josh Jacobs,97%,LV,RB
2,Kareem Hunt,97%,Cle,RB
3,Robert Woods,97%,LAR,WR
4,Allen Robinson,97%,Chi,WR
5,Matthew Stafford,97%,LAR,QB
6,Jalen Hurts,96%,Phi,QB
7,David Montgomery,96%,Chi,RB
8,Diontae Johnson,96%,Pit,WR
9,Miles Sanders,96%,Phi,RB
10,Deebo Samuel,96%,SF,WR
11,Julio Jones,95%,Ten,WR
12,Mike Williams,95%,LAC,WR
13,Ja'Marr Chase,95%,Cin,WR
14,Chase Edmonds,94%,Ari,RB
15,Damien Harris,94%,NE,RB
16,Noah Fant,94%,Den,TE
17,Tyler Higbee,93%,LAR,TE
18,Tee Higgins,93%,Cin,WR
19,Leonard Fournette,93%,TB,RB
20,Brandin Cooks,93%,Hou,WR
21,Odell Beckham,93%,LAR,WR
22,Antonio Brown,92%,TB,WR
23,Mike Davis,92%,Atl,RB
24,Rob Gronkowski,92%,TB,TE
0,Melvin Gordon,91%,Den,RB
1,Chase Claypool,89%,Pit,WR
2,Tyler Boyd,89%,Cin,WR
3,Cordarrelle Patterson,89%,Atl,"WR,RB"
4,Courtland Sutton,89%,Den,WR
5,Marquise Brown,87%,Bal,WR
6,James Conner,87%,Ari,RB
7,DeVonta Smith,86%,Phi,WR
8,Dallas Goedert,85%,Phi,TE
9,Kenny Golladay,85%,NYG,WR
10,Javonte Williams,85%,Den,RB
11,Corey Davis,85%,NYJ,WR
12,Zack Moss,84%,Buf,RB
13,Dalton Schultz,83%,Dal,TE
14,Marvin Jones,83%,Jax,WR
15,Devin Singletary,82%,Buf,RB
16,JuJu Smith-Schuster,81%,Pit,WR
17,Ryan Tannehill,80%,Ten,QB
18,Joe Burrow,80%,Cin,QB
19,Damien Williams,79%,Chi,RB
20,Chuba Hubbard,79%,Car,RB
21,Michael Thomas,79%,NO,WR
22,Kirk Cousins,78%,Min,QB
23,Jamaal Williams,78%,Det,RB
24,Dawson Knox,78%,Buf,TE
0,Mike Gesicki,78%,Mia,TE
1,Alexander Mattison,76%,Min,RB
2,Trey Sermon,76%,SF,RB
3,Tony Pollard,75%,Dal,RB
4,Michael Pittman,75%,Ind,WR
5,Jerry Jeudy,75%,Den,WR
6,Brandon Aiyuk,74%,SF,WR
7,Jakobi Meyers,74%,NE,WR
8,Laviska Shenault,73%,Jax,WR
9,Myles Gaskin,73%,Mia,RB
10,Robby Anderson,72%,Car,WR
11,Nyheim Hines,72%,Ind,RB
12,Latavius Murray,71%,Bal,RB
13,Logan Thomas,69%,Was,TE
14,Robert Tonyan,68%,GB,TE
15,Eli Mitchell,68%,SF,RB
16,Kenyan Drake,66%,LV,RB
17,Jaylen Waddle,66%,Mia,WR
18,Cole Beasley,65%,Buf,WR
19,AJ Dillon,65%,GB,RB
20,Derek Carr,63%,LV,QB
21,Jarvis Landry,63%,Cle,WR
22,Emmanuel Sanders,62%,Buf,WR
23,Jared Cook,61%,LAC,TE
24,Sam Darnold,59%,Car,QB
0,Henry Ruggs,58%,LV,WR
1,Baker Mayfield,57%,Cle,QB
2,Michael Carter,54%,NYJ,RB
3,Matt Ryan,54%,Atl,QB
4,Sterling Shepard,53%,NYG,WR
5,A.J. Green,53%,Ari,WR
