,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Aaron Jones,100%,GB,RB
2,Russell Wilson,100%,Sea,QB
3,Joe Mixon,100%,Cin,RB
4,Antonio Gibson,100%,Was,RB
5,Ezekiel Elliott,100%,Dal,RB
6,Jonathan Taylor,100%,Ind,RB
7,DeAndre Hopkins,100%,Ari,WR
8,Alvin Kamara,100%,NO,RB
9,Travis Kelce,100%,KC,TE
10,Justin Jefferson,100%,Min,WR
11,CeeDee Lamb,100%,Dal,WR
12,George Kittle,100%,SF,TE
13,Austin Ekeler,100%,LAC,RB
14,Dalvin Cook,100%,Min,RB
15,Darren Waller,100%,LV,TE
16,Terry McLaurin,100%,Was,WR
17,Davante Adams,100%,GB,WR
18,Tyreek Hill,100%,KC,WR
19,A.J. Brown,100%,Ten,WR
20,Kyler Murray,100%,Ari,QB
21,Saquon Barkley,100%,NYG,RB
22,Josh Allen,100%,Buf,QB
23,Stefon Diggs,100%,Buf,WR
24,Calvin Ridley,100%,Atl,WR
0,Lamar Jackson,100%,Bal,QB
1,Derrick Henry,100%,Ten,RB
2,Keenan Allen,100%,LAC,WR
3,Nick Chubb,100%,Cle,RB
4,Christian McCaffrey,100%,Car,RB
5,Patrick Mahomes,100%,KC,QB
6,Najee Harris,100%,Pit,RB
7,Tyler Lockett,99%,Sea,WR
8,Allen Robinson,99%,Chi,WR
9,Clyde Edwards-Helaire,99%,KC,RB
10,Tom Brady,99%,TB,QB
11,Cooper Kupp,99%,LAR,WR
12,Chris Godwin,99%,TB,WR
13,Chris Carson,99%,Sea,RB
14,Mike Evans,99%,TB,WR
15,Mark Andrews,99%,Bal,TE
16,Kyle Pitts,99%,Atl,TE
17,David Montgomery,99%,Chi,RB
18,Amari Cooper,99%,Dal,WR
19,T.J. Hockenson,99%,Det,TE
20,Dak Prescott,99%,Dal,QB
21,Julio Jones,98%,Ten,WR
22,Aaron Rodgers,98%,GB,QB
23,Robert Woods,98%,LAR,WR
24,DJ Moore,98%,Car,WR
0,Miles Sanders,98%,Phi,RB
1,Justin Herbert,98%,LAC,QB
2,Adam Thielen,98%,Min,WR
3,D'Andre Swift,98%,Det,RB
4,Darrell Henderson,97%,LAR,RB
5,Josh Jacobs,97%,LV,RB
6,James Robinson,97%,Jax,RB
7,Logan Thomas,96%,Was,TE
8,Rob Gronkowski,96%,TB,TE
9,Kareem Hunt,96%,Cle,RB
