,Player,FPTS,Team,Pos
23,JK Dobbins,168.5,BAL,RB
24,Chase Edmonds,168.0,ARI,RB
25,Austin Ekeler,165.3,LAC,RB
26,James Conner,164.6,ARI,RB
27,Myles Gaskin,164.2,MIA,RB
29,Giovani Bernard,158.1,TB,RB
30,Devin Singletary,143.6,BUF,RB
31,Jeff Wilson,142.3,SF,RB
32,Wayne Gallman,136.6,FA,RB
33,Latavius Murray,136.2,BAL,RB
34,Leonard Fournette,132.0,TB,RB
35,Darrell Henderson,130.3,LAR,RB
36,Gus Edwards,128.2,BAL,RB
37,Jamaal Williams,127.1,DET,RB
39,Adrian Peterson,124.5,SEA,RB
40,Tony Pollard,120.8,DAL,RB
41,James White,116.6,NE,RB
42,Malcolm Brown,109.1,MIA,RB
43,Rex Burkhead,107.6,HOU,RB
44,Cam Akers,101.8,LAR,RB
45,Zack Moss,101.6,BUF,RB
46,Frank Gore,100.2,FA,RB
47,Raheem Mostert,99.7,SF,RB
48,Joe Mixon,99.6,CIN,RB
49,Boston Scott,95.6,PHI,RB
52,Damien Harris,91.3,NE,RB
53,Christian McCaffrey,90.3,CAR,RB
54,Alexander Mattison,86.9,MIN,RB
55,Devontae Booker,85.7,NYG,RB
56,Carlos Hyde,84.9,JAC,RB
60,Sony Michel,75.3,LAR,RB
62,Le'Veon Bell,74.6,FA,RB
64,Salvon Ahmed,69.0,MIA,RB
65,Phillip Lindsay,66.0,MIA,RB
66,Samaje Perine,65.7,CIN,RB
67,Justin Jackson,65.3,LAC,RB
68,Ty Johnson,63.3,NYJ,RB
71,Dion Lewis,57.2,FA,RB
72,DeeJay Dallas,56.9,SEA,RB
74,Darrel Williams,54.5,KC,RB
75,Mark Ingram,52.9,NO,RB
78,Jeremy McNichols,43.9,TEN,RB
80,Matt Breida,42.0,BUF,RB
82,AJ Dillon,40.3,GB,RB
86,Devonta Freeman,36.0,BAL,RB
89,JaMycal Hasty,31.1,SF,RB
90,Jordan Howard,30.7,PHI,RB
91,Ameer Abdullah,30.0,CAR,RB
94,LeSean McCoy,28.2,FA,RB
102,Alex Collins,21.1,SEA,RB
104,D'Ernest Johnson,21.0,CLE,RB
109,Tarik Cohen,17.5,CHI,RB
110,DeAndre Washington,17.1,FA,RB
111,D'Onta Foreman,17.0,TEN,RB
118,Saquon Barkley,15.4,NYG,RB
119,Mike Boone,14.9,DEN,RB
123,Tevin Coleman,12.7,NYJ,RB
129,Marlon Mack,8.6,IND,RB
136,Dontrell Hilliard,6.0,TEN,RB
139,Austin Walter,4.0,NYJ,RB
141,Rashaad Penny,3.4,SEA,RB
154,Tony Jones,1.3,NO,RB
163,Jermar Jefferson,0.0,DET,RB
169,Ty'Son Williams,0.0,BAL,RB
173,Chuba Hubbard,0.0,CAR,RB
178,Jaret Patterson,0.0,WAS,RB
181,Godwin Igwebuike,0.0,DET,RB
199,Trey Sermon,0.0,SF,RB
208,Derrick Gore,0.0,KC,RB
209,Travis Etienne,0.0,JAC,RB
210,Najee Harris,0.0,PIT,RB
212,Eno Benjamin,0.0,ARI,RB
214,Elijah Mitchell,0.0,SF,RB
216,Khalil Herbert,0.0,CHI,RB
218,Javonte Williams,0.0,DEN,RB
219,Michael Carter,0.0,NYJ,RB
220,Rhamondre Stevenson,0.0,NE,RB
225,Kenneth Gainwell,0.0,PHI,RB
231,Kene Nwangwu,0.0,MIN,RB
246,Brandon Bolden,0.0,NE,RB
259,Cordarrelle Patterson,0.0,ATL,RB
271,Damien Williams,0.0,CHI,RB
0,Davante Adams,358.4,GB,WR
1,Tyreek Hill,328.9,KC,WR
2,Stefon Diggs,328.6,BUF,WR
3,DeAndre Hopkins,287.8,ARI,WR
4,Calvin Ridley,281.5,ATL,WR
5,Justin Jefferson,274.2,MIN,WR
6,DK Metcalf,271.3,SEA,WR
7,Tyler Lockett,265.4,SEA,WR
8,Allen Robinson,262.9,CHI,WR
9,Adam Thielen,254.0,MIN,WR
10,Mike Evans,248.6,TB,WR
11,AJ Brown,247.5,TEN,WR
12,Robert Woods,245.1,LAR,WR
13,Keenan Allen,245.1,LAC,WR
14,Amari Cooper,236.8,DAL,WR
15,JuJu Smith-Schuster,234.1,PIT,WR
16,Brandin Cooks,232.0,HOU,WR
17,Marvin Jones,227.8,JAC,WR
18,Robby Anderson,224.2,CAR,WR
19,Terry McLaurin,223.8,WAS,WR
20,Diontae Johnson,221.8,PIT,WR
21,CeeDee Lamb,217.7,DAL,WR
22,Chase Claypool,214.9,PIT,WR
23,Curtis Samuel,212.1,WAS,WR
24,DJ Moore,211.5,CAR,WR
25,Cooper Kupp,208.7,LAR,WR
26,Cole Beasley,207.5,BUF,WR
27,Tee Higgins,194.6,CIN,WR
28,Tyler Boyd,192.6,CIN,WR
29,Corey Davis,191.4,NYJ,WR
30,Chris Godwin,191.0,TB,WR
31,Will Fuller,188.9,MIA,WR
32,Jarvis Landry,188.0,CLE,WR
33,Nelson Agholor,185.6,NE,WR
34,Brandon Aiyuk,184.5,SF,WR
35,Marquise Brown,183.0,BAL,WR
36,Russell Gage,181.1,ATL,WR
37,Michael Gallup,173.3,DAL,WR
38,Jamison Crowder,172.0,NYJ,WR
39,DeVante Parker,166.3,MIA,WR
40,Emmanuel Sanders,164.8,BUF,WR
41,TY Hilton,164.2,IND,WR
42,Sterling Shepard,162.5,NYG,WR
43,Tim Patrick,161.2,DEN,WR
44,Jerry Jeudy,157.6,DEN,WR
45,Laviska Shenault,157.1,JAC,WR
47,Mike Williams,153.7,LAC,WR
48,DJ Chark,153.6,JAC,WR
49,Darnell Mooney,152.1,CHI,WR
50,Christian Kirk,146.4,ARI,WR
51,Julio Jones,146.1,TEN,WR
52,Jakobi Meyers,142.6,NE,WR
53,Darius Slayton,141.0,NYG,WR
54,Marquez Valdes-Scantling,137.3,GB,WR
55,Zach Pascal,136.9,IND,WR
56,Gabriel Davis,136.9,BUF,WR
58,Hunter Renfrow,131.6,LV,WR
59,Kendrick Bourne,129.7,NE,WR
60,Mecole Hardman,128.1,KC,WR
61,Josh Reynolds,124.3,DET,WR
64,Antonio Brown,117.1,TB,WR
67,AJ Green,111.3,ARI,WR
71,Tre'Quan Smith,103.1,NO,WR
74,Randall Cobb,100.1,GB,WR
78,Michael Pittman,98.9,IND,WR
79,Allen Lazard,97.8,GB,WR
81,Jalen Guyton,97.1,LAC,WR
83,John Brown,96.8,FA,WR
86,Sammy Watkins,88.4,BAL,WR
88,Jalen Reagor,87.2,PHI,WR
90,Odell Beckham,86.8,LAR,WR
93,Henry Ruggs,84.1,FA,WR
94,Michael Thomas,83.9,NO,WR
95,Deebo Samuel,80.7,SF,WR
100,Cordarrelle Patterson,69.4,ATL,WR
102,Kenny Golladay,65.8,NYG,WR
108,Donovan Peoples-Jones,58.4,CLE,WR
111,Julian Edelman,56.2,FA,WR
115,Devin Duvernay,53.1,BAL,WR
116,Cedrick Wilson,51.6,DAL,WR
118,Deonte Harris,47.7,NO,WR
119,Van Jefferson,46.9,LAR,WR
123,DeSean Jackson,44.8,LV,WR
125,Marquez Callaway,42.3,NO,WR
127,Tyler Johnson,40.9,TB,WR
131,Zay Jones,36.6,LV,WR
132,Bryan Edwards,36.3,LV,WR
145,Kalif Raymond,27.4,DET,WR
151,Quez Watkins,23.6,PHI,WR
154,Dez Bryant,22.7,FA,WR
160,Jamal Agnew,17.9,JAC,WR
165,Parris Campbell,14.7,IND,WR
179,Courtland Sutton,9.6,DEN,WR
183,Nick Westbrook-Ikhine,8.3,TEN,WR
185,Juwan Johnson,7.9,NO,WR
233,DeVonta Smith,0.0,PHI,WR
277,Terrace Marshall,0.0,CAR,WR
290,Amon-Ra St,0.0,DET,WR
291,Rondale Moore,0.0,ARI,WR
292,Rashod Bateman,0.0,BAL,WR
293,Jaylen Waddle,0.0,MIA,WR
294,Ja'Marr Chase,0.0,CIN,WR
315,Joshua Palmer,0.0,LAC,WR
327,KJ Osborn,0.0,MIN,WR
342,Kadarius Toney,0.0,NYG,WR
346,Elijah Moore,0.0,NYJ,WR
354,Nico Collins,0.0,HOU,WR
360,Josh Gordon,0.0,KC,WR
390,Tajae Sharpe,0.0,ATL,WR
414,DeAndre Carter,-0.2,WAS,WR
0,Travis Kelce,312.8,KC,TE
1,Darren Waller,278.6,LV,TE
2,Robert Tonyan,176.6,GB,TE
3,Logan Thomas,176.6,WAS,TE
4,TJ Hockenson,175.3,DET,TE
5,Mark Andrews,170.1,BAL,TE
6,Mike Gesicki,159.3,MIA,TE
7,Noah Fant,149.3,DEN,TE
8,Rob Gronkowski,149.3,TB,TE
10,Dalton Schultz,146.5,DAL,TE
11,Hunter Henry,145.3,NE,TE
13,Eric Ebron,141.8,PIT,TE
14,Evan Engram,141.0,NYG,TE
15,Jonnu Smith,140.2,NE,TE
16,Tyler Higbee,128.2,LAR,TE
17,Jared Cook,127.4,LAC,TE
18,George Kittle,125.1,SF,TE
19,Dallas Goedert,116.4,PHI,TE
20,Austin Hooper,113.5,CLE,TE
21,Irv Smith,98.5,MIN,TE
22,Dan Arnold,96.8,JAC,TE
23,Gerald Everett,92.9,SEA,TE
25,Anthony Firkser,83.7,TEN,TE
28,Mo Alie-Cox,80.4,IND,TE
30,Zach Ertz,77.5,ARI,TE
33,Jordan Reed,73.1,FA,TE
35,Cameron Brate,68.2,TB,TE
36,Dawson Knox,66.8,BUF,TE
39,Jack Doyle,64.1,IND,TE
40,Cole Kmet,62.0,CHI,TE
45,Greg Olsen,53.9,FA,TE
46,David Njoku,52.3,CLE,TE
49,Tyler Conklin,44.4,MIN,TE
56,Adam Trautman,38.1,NO,TE
57,OJ Howard,37.6,TB,TE
59,Foster Moreau,33.0,LV,TE
70,CJ Uzomah,22.7,CIN,TE
105,Blake Jarwin,2.2,DAL,TE
119,Juwan Johnson,0.0,NO,TE
134,Pat Freiermuth,0.0,PIT,TE
172,Kyle Pitts,0.0,ATL,TE
235,Ricky Seals-Jones,0.0,WAS,TE
0,Rams,151.0,LAR,DST
1,Steelers,148.0,PIT,DST
2,Colts,146.0,IND,DST
3,Dolphins,141.0,MIA,DST
4,Ravens,141.0,BAL,DST
5,Team,127.0,WAS,DST
6,Saints,124.0,NO,DST
7,Bills,118.0,BUF,DST
8,Buccaneers,117.0,TB,DST
9,Cardinals,108.0,ARI,DST
10,Patriots,106.0,NE,DST
11,Chiefs,106.0,KC,DST
12,Giants,103.0,NYG,DST
13,Seahawks,103.0,SEA,DST
14,Eagles,101.0,PHI,DST
15,Panthers,99.0,CAR,DST
16,Browns,97.0,CLE,DST
17,Packers,94.0,GB,DST
18,Bears,90.0,CHI,DST
19,49ers,88.0,SF,DST
20,Cowboys,76.0,DAL,DST
21,Broncos,73.0,DEN,DST
22,Chargers,73.0,LAC,DST
23,Falcons,72.0,ATL,DST
24,Jets,67.0,NYJ,DST
25,Titans,66.0,TEN,DST
26,Vikings,60.0,MIN,DST
27,Jaguars,58.0,JAC,DST
28,Bengals,45.0,CIN,DST
29,Raiders,43.0,LV,DST
30,Texans,41.0,HOU,DST
31,Lions,29.0,DET,DST
0,Jason Sanders,172.0,MIA,K
1,Younghoe Koo,168.0,ATL,K
2,Tyler Bass,157.0,BUF,K
3,Daniel Carlson,155.0,LV,K
4,Greg Zuerlein,153.0,DAL,K
5,Rodrigo Blankenship,150.0,IND,K
6,Justin Tucker,145.0,BAL,K
7,Ryan Succop,145.0,TB,K
8,Cairo Santos,139.0,CHI,K
9,Jason Myers,138.0,SEA,K
10,Brandon McManus,136.0,DEN,K
11,Wil Lutz,135.0,NO,K
12,Harrison Butker,134.0,KC,K
13,Graham Gano,133.0,NYG,K
15,Joey Slye,129.0,WAS,K
16,Dustin Hopkins,128.0,LAC,K
17,Nick Folk,123.0,NE,K
18,Michael Badgley,120.0,IND,K
19,Mason Crosby,120.0,GB,K
21,Matt Prater,117.0,ARI,K
23,Robbie Gould,106.0,SF,K
24,Randy Bullock,100.0,TEN,K
25,Chris Boswell,100.0,PIT,K
26,Zane Gonzalez,98.0,CAR,K
28,Jake Elliott,75.0,PHI,K
29,Matt Gay,66.0,LAR,K
32,Aldrick Rosas,39.0,DET,K
35,Josh Lambo,28.0,FA,K
38,Chase McLaughlin,20.0,CLE,K
40,Kai Forbath,10.0,LAR,K
47,Evan McPherson,0.0,CIN,K
49,Michael Palardy,0.0,MIA,K
50,Brian Johnson,0.0,WAS,K
55,Greg Joseph,0.0,MIN,K
