,Player,FPTS,Team,Pos
0,Josh Allen,406.2,BUF,QB
1,Kyler Murray,390.7,ARI,QB
2,Aaron Rodgers,388.1,GB,QB
3,Patrick Mahomes,380.3,KC,QB
4,Deshaun Watson,376.4,HOU,QB
5,Russell Wilson,372.6,SEA,QB
6,Ryan Tannehill,351.3,TEN,QB
7,Tom Brady,350.0,TB,QB
8,Justin Herbert,342.8,LAC,QB
9,Lamar Jackson,341.7,BAL,QB
10,Kirk Cousins,319.2,MIN,QB
11,Matt Ryan,293.3,ATL,QB
12,Derek Carr,281.0,LV,QB
13,Ben Roethlisberger,277.2,PIT,QB
14,Cam Newton,271.3,CAR,QB
15,Matthew Stafford,270.5,LAR,QB
16,Baker Mayfield,256.8,CLE,QB
17,Jared Goff,253.0,DET,QB
18,Teddy Bridgewater,252.1,DEN,QB
19,Philip Rivers,251.0,FA,QB
20,Drew Brees,215.4,FA,QB
21,Carson Wentz,213.4,IND,QB
23,Daniel Jones,190.2,NYG,QB
24,Joe Burrow,178.6,CIN,QB
25,Gardner Minshew,165.5,PHI,QB
27,Ryan Fitzpatrick,161.7,WAS,QB
28,Taysom Hill,158.5,NO,QB
29,Sam Darnold,145.0,CAR,QB
30,Andy Dalton,144.9,CHI,QB
31,Tua Tagovailoa,140.4,MIA,QB
32,Dak Prescott,139.6,DAL,QB
34,Jalen Hurts,113.5,PHI,QB
36,Alex Smith,79.6,FA,QB
38,Jimmy Garoppolo,69.4,SF,QB
59,Taylor Heinicke,11.7,WAS,QB
62,Tyrod Taylor,9.0,HOU,QB
70,Jameis Winston,2.4,NO,QB
83,Trey Lance,0.0,SF,QB
86,Mac Jones,0.0,NE,QB
97,Justin Fields,0.0,CHI,QB
98,Trevor Lawrence,0.0,JAC,QB
106,Jordan Love,0.0,GB,QB
108,Zach Wilson,0.0,NYJ,QB
109,Davis Mills,0.0,HOU,QB
122,Trevor Siemian,0.0,NO,QB
0,Alvin Kamara,377.8,NO,RB
1,Dalvin Cook,337.8,MIN,RB
2,Derrick Henry,333.1,TEN,RB
3,David Montgomery,264.8,CHI,RB
4,Aaron Jones,258.9,GB,RB
5,Jonathan Taylor,252.8,IND,RB
6,James Robinson,250.4,JAC,RB
7,Josh Jacobs,231.3,LV,RB
8,Ezekiel Elliott,223.7,DAL,RB
9,Kareem Hunt,218.5,CLE,RB
10,Nick Chubb,207.7,CLE,RB
11,Mike Davis,206.5,ATL,RB
12,Antonio Gibson,202.2,WAS,RB
13,Melvin Gordon,198.4,DEN,RB
14,Nyheim Hines,193.2,IND,RB
15,Kenyan Drake,192.2,LV,RB
16,JD McKissic,191.4,WAS,RB
17,D'Andre Swift,189.8,DET,RB
18,Chris Carson,187.8,SEA,RB
19,Ronald Jones,186.3,TB,RB
20,David Johnson,179.5,HOU,RB
21,Clyde Edwards-Helaire,176.0,KC,RB
22,Miles Sanders,170.4,PHI,RB
