Player,FPTS,Team,Pos
Russell Wilson,31.8,SEA,QB
Aaron Rodgers,30.8,GB,QB
Josh Allen,28.2,BUF,QB
Lamar Jackson,27.5,BAL,QB
Kyler Murray,27.3,ARI,QB
Cam Newton,25.7,CAR,QB
Matt Ryan,24.9,ATL,QB
Kirk Cousins,22.8,MIN,QB
Tom Brady,22.5,TB,QB
Ben Roethlisberger,22.1,PIT,QB
Deshaun Watson,21.8,HOU,QB
Patrick Mahomes,20.4,KC,QB
Ryan Tannehill,19.4,TEN,QB
Teddy Bridgewater,19.4,DEN,QB
Daniel Jones,19.4,NYG,QB
Jimmy Garoppolo,19.3,SF,QB
Dak Prescott,17.6,DAL,QB
Joe Burrow,17.3,CIN,QB
Matthew Stafford,17.2,LAR,QB
Philip Rivers,16.8,FA,QB
Carson Wentz,15.0,IND,QB
Drew Brees,14.4,FA,QB
Derek Carr,13.6,LV,QB
Sam Darnold,12.2,CAR,QB
Jared Goff,11.5,DET,QB
Baker Mayfield,10.9,CLE,QB
Tyrod Taylor,9.0,HOU,QB
Ryan Fitzpatrick,8.4,WAS,QB
Taysom Hill,5.2,NO,QB
Trevor Lawrence,0.0,JAC,QB
Justin Fields,0.0,CHI,QB
Mac Jones,0.0,NE,QB
Trey Lance,0.0,SF,QB
Tua Tagovailoa,0.0,MIA,QB
Mike White,0.0,NYJ,QB
Jalen Hurts,0.0,PHI,QB
Jordan Love,0.0,GB,QB
Justin Herbert,0.0,LAC,QB
Zach Wilson,0.0,NYJ,QB
Mason Rudolph,0.0,PIT,QB
Colt McCoy,0.0,ARI,QB
Jacoby Brissett,0.0,MIA,QB
Trevor Siemian,0.0,NO,QB
P.J. Walker,0.0,CAR,QB
Geno Smith,0.0,SEA,QB
Jameis Winston,0.0,NO,QB
Taylor Heinicke,0.0,WAS,QB
Josh Jacobs,35.9,LV,RB
Christian McCaffrey,28.4,CAR,RB
Ezekiel Elliott,27.7,DAL,RB
Nyheim Hines,27.3,IND,RB
Malcolm Brown,26.0,MIA,RB
Raheem Mostert,25.1,SF,RB
Chris Carson,24.6,SEA,RB
Alvin Kamara,23.7,NO,RB
Dalvin Cook,21.8,MIN,RB
David Johnson,19.9,HOU,RB
Clyde Edwards-Helaire,19.8,KC,RB
Aaron Jones,17.6,GB,RB
Derrick Henry,16.1,TEN,RB
Melvin Gordon,15.6,DEN,RB
Jonathan Taylor,14.9,IND,RB
Kenyan Drake,14.5,LV,RB
Adrian Peterson,14.4,TEN,RB
J.K. Dobbins,14.2,BAL,RB
Chase Edmonds,13.5,ARI,RB
Jerick McKinnon,13.4,KC,RB
Saquon Barkley,12.6,NYG,RB
Kareem Hunt,12.1,CLE,RB
Alexander Mattison,12.0,MIN,RB
Zack Moss,11.7,BUF,RB
D'Andre Swift,11.3,DET,RB
Myles Gaskin,10.6,MIA,RB
Devin Singletary,10.3,BUF,RB
Ronald Jones,10.2,TB,RB
James Robinson,10.0,JAC,RB
Austin Ekeler,9.7,LAC,RB
Sony Michel,9.7,LAR,RB
Marlon Mack,8.6,IND,RB
David Montgomery,8.4,CHI,RB
Carlos Hyde,8.3,JAC,RB
Jamaal Williams,8.2,DET,RB
Devontae Booker,8.2,NYG,RB
James White,8.2,NE,RB
Boston Scott,7.4,PHI,RB
Giovani Bernard,6.8,TB,RB
Jordan Howard,6.7,PHI,RB
Tarik Cohen,6.7,CHI,RB
Le'Veon Bell,6.6,FA,RB
Antonio Gibson,6.4,WAS,RB
Joe Mixon,6.1,CIN,RB
Kyle Juszczyk,5.8,SF,RB
Nick Chubb,5.6,CLE,RB
Cam Akers,5.3,LAR,RB
Tony Pollard,5.2,DAL,RB
Darrel Williams,5.0,KC,RB
Latavius Murray,4.8,BAL,RB
Phillip Lindsay,4.5,HOU,RB
J.J. Taylor,4.2,NE,RB
James Conner,3.7,ARI,RB
Tevin Coleman,3.4,NYJ,RB
Leonard Fournette,2.9,TB,RB
Mark Ingram,2.9,NO,RB
Wayne Gallman,2.4,ATL,RB
