,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,Aaron Rodgers,QB,GB,75,68,62,62,bye,60,60,74,62,65,60,69,61,67,62,63,46,1016,63.5
1,Adrian Peterson,RB,DET,24,15,39,27,bye,12,18,12,20,7,17,22,32,16,16,6,15,298,18.6
2,Alex Smith,QB,WAS,0,0,0,0,29,0,0,bye,44,88,62,69,72,32,0,0,63,459,57.4
3,Ben Roethlisberger,QB,PIT,64,65,80,bye,75,58,79,53,65,69,69,72,71,57,65,68,0,1010,67.3
4,Chad Henne,QB,KC,0,0,0,0,0,0,10,12,0,bye,0,0,0,0,0,0,53,75,25.0
5,Chase Daniel,QB,DET,0,0,0,0,bye,0,0,0,15,0,0,0,0,7,9,34,0,65,16.3
6,Danny Amendola,WR,DET,44,33,29,34,bye,20,33,41,48,23,0,0,33,34,27,31,24,454,32.4
7,DeSean Jackson,WR,PHI,38,55,28,0,0,0,39,0,bye,0,0,0,0,0,0,20,0,180,36.0
8,Drew Brees,QB,NO,66,60,59,67,72,bye,69,70,60,20,0,0,0,0,54,68,52,717,59.8
9,Frank Gore,RB,NYJ,14,37,26,37,23,25,16,22,23,bye,35,32,2,17,40,31,0,380,25.3
10,Greg Olsen,TE,SEA,41,45,48,35,45,bye,52,37,26,48,40,0,0,0,0,12,0,429,39.0
11,Jared Cook,TE,NO,44,39,21,0,41,bye,34,40,26,21,25,19,28,36,32,40,20,466,31.1
12,Jason Witten,TE,LV,29,26,15,20,38,bye,21,38,21,37,33,17,16,20,37,22,16,406,25.4
13,Joe Flacco,QB,NYJ,0,0,0,4,69,71,0,0,46,bye,60,0,0,0,0,0,0,250,50.0
14,Julian Edelman,WR,NE,38,52,56,0,bye,43,31,0,0,0,0,0,0,0,0,0,0,220,44.0
15,Larry Fitzgerald,WR,ARI,65,61,56,53,60,38,65,bye,51,66,55,0,0,57,46,71,0,744,57.2
16,LeSean McCoy,RB,TB,25,11,11,5,0,19,0,0,0,3,0,1,bye,16,12,13,0,116,11.6
17,Marcedes Lewis,TE,GB,32,33,20,0,bye,21,30,20,32,26,19,33,35,38,30,31,21,421,28.1
18,Matt Ryan,QB,ATL,79,75,68,70,65,80,74,70,71,bye,62,69,67,57,65,68,72,1112,69.5
19,Matt Schaub,QB,ATL,0,0,0,0,0,0,0,0,0,bye,0,9,0,0,0,0,0,9,9.0
20,Matthew Slater,WR,NE,1,0,1,0,bye,0,0,0,0,1,0,0,2,0,0,0,0,5,0.3
21,Matthew Stafford,QB,DET,78,59,66,61,bye,45,61,61,60,59,56,82,68,60,56,4,58,934,58.4
22,Philip Rivers,QB,IND,73,73,46,72,56,63,bye,77,67,69,77,64,66,58,51,69,63,1044,65.3
23,Ryan Fitzpatrick,QB,MIA,62,75,61,71,67,51,bye,0,0,0,21,71,0,0,0,17,0,496,55.1
24,Ted Ginn,WR,CHI,28,0,16,7,4,3,0,0,0,0,bye,0,0,0,0,0,0,58,11.6
25,Tom Brady,QB,TB,70,61,68,76,71,55,72,70,49,75,69,59,bye,51,68,43,67,1024,64.0
26,Dez Bryant,WR,BAL,0,0,0,0,0,0,bye,0,2,0,35,32,0,0,18,19,23,129,21.5
27,Golden Tate,WR,NYG,0,40,48,51,40,30,28,38,0,27,bye,46,18,28,30,0,0,424,35.3
28,Andre Roberts,WR,BUF,2,6,11,6,24,1,0,0,0,1,bye,0,0,0,0,11,0,62,4.1
29,Colt McCoy,QB,NYG,0,0,0,0,0,0,0,0,0,0,bye,30,56,5,54,0,0,145,36.3
30,Emmanuel Sanders,WR,NO,33,47,48,51,45,bye,0,0,22,34,39,20,49,53,39,38,41,559,39.9
31,Jimmy Graham,TE,CHI,53,40,55,41,48,45,0,44,50,29,bye,24,34,29,34,33,30,589,39.3
32,Rob Gronkowski,TE,TB,54,42,63,65,57,54,55,50,27,65,54,43,bye,39,62,33,45,808,50.5
