,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
0,Antonio Brown,WR,TB,42,28,0,40,42,37,0,0,bye,0,0,0,0,,,,,,189,37.8
1,Ronald Jones,RB,TB,6,26,12,13,10,14,14,9,bye,0,15,12,2,,,,,,133,12.1
2,Leonard Fournette,RB,TB,42,31,26,64,46,47,39,37,bye,31,46,54,61,,,,,,524,43.7
3,Chris Godwin,WR,TB,64,56,70,73,51,68,61,59,bye,46,62,65,64,,,,,,739,61.6
4,Rob Gronkowski,TE,TB,57,51,45,0,0,0,0,6,bye,0,46,55,58,,,,,,318,45.4
5,Mike Evans,WR,TB,61,46,61,69,58,70,56,58,bye,48,64,66,65,,,,,,722,60.2
6,Tyler Johnson,WR,TB,3,17,34,17,38,0,49,39,bye,33,57,48,9,,,,,,344,31.3
7,Giovani Bernard,RB,TB,17,6,33,0,17,12,11,13,bye,14,8,0,7,,,,,,138,13.8
8,Jaydon Mickens,WR,Multi,0,0,0,3,13,3,0,0,0,0,0,0,3,,,,,,22,3.1
9,Tom Brady,QB,TB,65,60,73,78,62,75,65,61,bye,48,69,67,70,,,,,,793,66.1
10,Tony Pollard,RB,DAL,20,21,29,18,31,26,bye,19,24,32,22,31,28,,,,,,301,25.1
11,Dak Prescott,QB,DAL,83,62,73,61,78,89,bye,0,62,62,67,74,70,,,,,,781,71.0
12,Ezekiel Elliott,RB,DAL,70,44,53,46,47,63,bye,55,33,38,46,47,45,,,,,,587,48.9
13,Michael Gallup,WR,DAL,50,0,0,0,0,0,bye,0,0,41,63,71,64,,,,,,289,57.8
14,Blake Jarwin,TE,DAL,48,29,43,33,31,47,bye,32,0,0,0,0,0,,,,,,263,37.6
15,CeeDee Lamb,WR,DAL,61,60,65,49,65,77,bye,65,44,32,36,0,62,,,,,,616,56.0
16,Dalton Schultz,TE,DAL,57,45,52,48,57,75,bye,60,59,51,66,71,67,,,,,,708,59.0
17,Amari Cooper,WR,DAL,74,60,65,29,57,78,bye,63,36,51,0,0,24,,,,,,537,53.7
18,Cedrick Wilson,WR,DAL,34,36,29,35,52,44,bye,42,51,0,42,54,0,,,,,,419,41.9
19,Corey Clement,RB,DAL,1,0,3,0,0,0,bye,0,5,13,0,0,0,,,,,,22,3.7
20,Mekhi Sargent,RB,Multi,1,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,4,1.3
21,Derrick Henry,RB,TEN,40,67,49,59,49,43,50,54,0,0,0,0,bye,,,,,,411,51.4
22,Jeremy McNichols,RB,TEN,23,21,18,40,15,0,10,17,26,16,0,0,bye,,,,,,186,20.7
23,Ryan Tannehill,QB,TEN,64,88,68,100,64,53,67,72,57,60,81,56,bye,,,,,,830,69.2
24,Chester Rogers,WR,TEN,39,38,28,66,31,15,0,31,19,21,56,15,bye,,,,,,359,32.6
25,Nick Westbrook-Ikhine,WR,TEN,24,16,53,81,0,29,0,23,22,22,54,52,bye,,,,,,376,37.6
26,Geoff Swaim,TE,TEN,25,64,44,32,36,38,38,57,42,40,0,46,bye,,,,,,462,42.0
27,Julio Jones,WR,TEN,50,66,34,0,0,35,29,0,43,0,0,0,bye,,,,,,257,42.8
28,Anthony Firkser,TE,TEN,31,0,0,50,27,15,24,20,25,22,41,26,bye,,,,,,281,28.1
29,A.J. Brown,WR,TEN,52,74,8,0,41,42,42,67,45,49,42,0,bye,,,,,,462,46.2
30,Khari Blasingame,RB,TEN,9,0,0,0,0,9,0,0,0,0,0,5,bye,,,,,,23,7.7
31,James Conner,RB,ARI,34,24,25,33,29,41,21,22,54,45,68,bye,48,,,,,,444,37.0
32,Chase Edmonds,RB,ARI,40,39,44,52,37,28,49,35,1,0,0,bye,0,,,,,,325,36.1
33,Kyler Murray,QB,ARI,69,61,67,76,61,68,66,59,0,0,0,bye,53,,,,,,580,64.4
34,Demetrius Harris,TE,ARI,23,2,7,9,0,20,21,10,0,0,0,bye,17,,,,,,109,13.6
35,A.J. Green,WR,ARI,55,51,53,67,49,68,60,56,0,38,57,bye,36,,,,,,590,53.6
36,Christian Kirk,WR,ARI,39,38,38,56,33,64,51,46,67,47,61,bye,32,,,,,,572,47.7
37,Maxx Williams,TE,ARI,55,45,51,45,25,0,0,0,0,0,0,bye,0,,,,,,221,44.2
38,Rondale Moore,WR,ARI,20,28,23,33,29,42,37,36,57,18,32,bye,23,,,,,,378,31.5
39,DeAndre Hopkins,WR,ARI,61,59,61,75,56,67,59,15,0,0,0,bye,39,,,,,,492,54.7
40,Darrell Daniels,TE,ARI,15,19,23,0,0,25,0,1,32,17,29,bye,0,,,,,,161,20.1
41,Jonathan Ward,RB,ARI,0,0,0,0,0,7,1,0,0,0,0,bye,0,,,,,,8,1.6
42,Tyrod Taylor,QB,HOU,78,26,0,0,0,0,0,0,69,bye,64,57,29,,,,,,323,53.8
43,David Johnson,RB,HOU,22,26,21,27,31,32,30,11,31,bye,35,22,0,,,,,,288,26.2
44,Phillip Lindsay,RB,Multi,20,14,9,8,13,11,4,8,14,0,2,15,0,,,,,,118,10.7
45,Mark Ingram,RB,Multi,36,19,19,10,26,33,21,22,26,57,47,0,30,,,,,,346,28.8
46,Chris Conley,WR,HOU,40,55,49,41,54,32,0,25,27,bye,31,0,30,,,,,,384,38.4
47,Pharaoh Brown,TE,HOU,59,38,31,34,37,40,29,0,0,bye,54,34,32,,,,,,388,38.8
48,Danny Amendola,WR,HOU,17,12,0,0,0,0,24,39,34,bye,13,22,0,,,,,,161,23.0
49,Rex Burkhead,RB,HOU,10,0,8,3,0,5,4,30,21,bye,27,35,24,,,,,,167,16.7
50,Jordan Akins,TE,HOU,47,38,34,18,27,32,29,39,25,bye,0,0,0,,,,,,289,32.1
51,Nico Collins,WR,HOU,43,2,0,0,0,43,35,39,48,bye,38,37,32,,,,,,317,35.2
52,Brandin Cooks,WR,HOU,61,56,52,41,50,68,53,54,67,bye,53,47,43,,,,,,645,53.8
53,Andre Roberts,WR,Multi,0,22,0,2,0,2,0,0,2,0,1,0,0,,,,,,29,2.4
54,Trevor Lawrence,QB,JAC,74,56,68,56,71,66,bye,76,55,66,46,73,58,,,,,,765,63.8
55,Laviska Shenault,WR,JAC,52,45,44,42,52,52,bye,52,48,51,29,53,31,,,,,,551,45.9
56,Carlos Hyde,RB,JAC,25,14,23,0,18,9,bye,50,48,18,14,32,29,,,,,,280,25.5
57,James Robinson,RB,JAC,47,41,40,53,48,56,bye,8,0,39,29,38,26,,,,,,425,38.6
58,D.J. Chark,WR,JAC,63,45,59,0,0,0,bye,0,0,0,0,0,0,,,,,,167,55.7
59,Devin Smith,WR,JAC,9,0,0,0,0,0,bye,0,0,0,0,0,0,,,,,,9,9.0
60,James O'Shaughnessy,TE,JAC,59,3,0,0,0,0,bye,0,0,0,0,59,39,,,,,,160,40.0
61,Chris Manhertz,TE,JAC,26,27,25,24,0,30,bye,0,27,24,0,27,0,,,,,,210,26.3
62,Tyron Johnson,WR,JAC,9,7,0,9,0,0,bye,13,0,0,0,0,0,,,,,,38,9.5
63,Marvin Jones,WR,JAC,67,49,66,52,66,57,bye,69,51,56,42,71,49,,,,,,695,57.9
64,Jamal Agnew,WR,JAC,10,4,6,8,45,39,bye,55,33,50,10,0,0,,,,,,260,26.0
65,Dare Ogunbowale,RB,JAC,0,0,0,3,5,0,bye,15,8,0,0,1,0,,,,,,32,4.0
66,Ja'Marr Chase,WR,CIN,62,51,39,46,61,57,53,52,71,bye,68,52,73,,,,,,685,57.1
67,Joe Mixon,RB,CIN,54,46,35,40,19,45,34,42,47,bye,53,49,50,,,,,,514,42.8
68,Joe Burrow,QB,CIN,69,55,47,58,67,59,56,55,69,bye,74,58,76,,,,,,743,61.9
69,Samaje Perine,RB,CIN,15,3,10,16,41,0,30,14,25,bye,11,10,26,,,,,,201,18.3
70,Tee Higgins,WR,CIN,51,50,0,0,47,41,42,42,57,bye,59,43,60,,,,,,492,49.2
71,C.J. Uzomah,TE,CIN,51,40,33,48,56,50,52,47,48,bye,54,45,66,,,,,,590,49.2
72,Tyler Boyd,WR,CIN,51,48,37,36,55,45,45,44,59,bye,52,52,57,,,,,,581,48.4
73,Mike Thomas,WR,CIN,16,0,10,18,0,0,0,0,10,bye,8,13,0,,,,,,75,12.5
