Player,FPTS,Team,Pos
Russell Wilson,32.3,SEA,QB
Eli Manning,27.3,FA,QB
Ryan Fitzpatrick,24.8,WAS,QB
Cam Newton,23.0,CAR,QB
Kirk Cousins,21.3,MIN,QB
Carson Palmer,20.7,FA,QB
Drew Brees,20.5,FA,QB
Aaron Rodgers,19.4,GB,QB
Tom Brady,18.0,TB,QB
Tyrod Taylor,18.0,HOU,QB
Matthew Stafford,16.3,LAR,QB
Ryan Tannehill,15.8,TEN,QB
Teddy Bridgewater,15.7,DEN,QB
Jameis Winston,13.7,NO,QB
Alex Smith,13.6,FA,QB
Derek Carr,13.0,LV,QB
Ben Roethlisberger,9.9,PIT,QB
Philip Rivers,8.9,FA,QB
Matt Ryan,4.9,ATL,QB
Andy Dalton,0.4,CHI,QB
Trevor Lawrence,0.0,JAC,QB
Justin Fields,0.0,CHI,QB
Trey Lance,0.0,SF,QB
Mac Jones,0.0,NE,QB
Daniel Jones,0.0,NYG,QB
Jordan Love,0.0,GB,QB
Jalen Hurts,0.0,PHI,QB
Joe Burrow,0.0,CIN,QB
Tua Tagovailoa,0.0,MIA,QB
Gardner Minshew,0.0,PHI,QB
Kyler Murray,0.0,ARI,QB
Justin Herbert,0.0,LAC,QB
Zach Wilson,0.0,NYJ,QB
Josh Allen,0.0,BUF,QB
Dak Prescott,0.0,DAL,QB
Jared Goff,0.0,DET,QB
Carson Wentz,0.0,IND,QB
Taysom Hill,0.0,NO,QB
Lamar Jackson,0.0,BAL,QB
Sam Darnold,0.0,CAR,QB
Baker Mayfield,0.0,CLE,QB
Deshaun Watson,0.0,HOU,QB
Patrick Mahomes,0.0,KC,QB
Jimmy Garoppolo,0.0,SF,QB
Trevor Siemian,0.0,NO,QB
Taylor Heinicke,0.0,WAS,QB
David Johnson,17.3,HOU,RB
LeSean McCoy,14.9,FA,RB
James White,14.0,NE,RB
Adrian Peterson,13.6,SEA,RB
Matt Forte,12.3,FA,RB
Darren McFadden,11.1,FA,RB
Melvin Gordon,10.3,DEN,RB
Giovani Bernard,9.7,TB,RB
Rex Burkhead,7.5,HOU,RB
Devonta Freeman,7.2,BAL,RB
Frank Gore,6.9,FA,RB
Ameer Abdullah,6.4,CAR,RB
Brandon Bolden,5.1,NE,RB
Danny Woodhead,4.3,FA,RB
Damien Williams,3.1,CHI,RB
Latavius Murray,2.7,BAL,RB
Tevin Coleman,1.5,NYJ,RB
Jay Ajayi,1.5,FA,RB
JaMycal Hasty,0.0,SF,RB
Phillip Lindsay,0.0,MIA,RB
Godwin Igwebuike,0.0,DET,RB
Antonio Gibson,0.0,WAS,RB
Jermar Jefferson,0.0,DET,RB
Sony Michel,0.0,LAR,RB
James Robinson,0.0,JAC,RB
Chuba Hubbard,0.0,CAR,RB
