Player,FPTS,ROST,Team,Pos
Alex Smith,37.6,5.0%,FA,QB
Russell Wilson,24.2,90.9%,SEA,QB
Cam Newton,20.4,31.7%,CAR,QB
Andy Dalton,19.3,2.1%,CHI,QB
Jameis Winston,18.6,5.9%,NO,QB
Ben Roethlisberger,18.0,18.4%,PIT,QB
Philip Rivers,17.6,20.6%,FA,QB
Carson Wentz,16.9,61.4%,IND,QB
Derek Carr,15.4,73.4%,LV,QB
Jared Goff,15.0,4.8%,DET,QB
Dak Prescott,14.9,98.6%,DAL,QB
Drew Brees,14.5,35.7%,FA,QB
Kirk Cousins,12.6,82.1%,MIN,QB
Matthew Stafford,11.9,96.9%,LAR,QB
Jimmy Garoppolo,10.5,22.7%,SF,QB
Tom Brady,8.3,99.0%,TB,QB
Matt Ryan,7.0,38.3%,ATL,QB
Tyrod Taylor,3.8,14.8%,HOU,QB
Trevor Siemian,3.6,2.5%,NO,QB
Aaron Rodgers,0.0,97.3%,GB,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Jordan Love,0.0,1.4%,GB,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Josh Allen,0.0,100.0%,BUF,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Alvin Kamara,29.6,100.0%,NO,RB
Le'Veon Bell,29.2,1.9%,FA,RB
Rex Burkhead,25.3,26.4%,HOU,RB
Mark Ingram,24.2,74.2%,NO,RB
Alex Collins,23.8,34.3%,SEA,RB
Kenyan Drake,23.1,54.3%,LV,RB
Jamaal Williams,20.3,85.0%,DET,RB
Matt Forte,18.1,19.1%,FA,RB
Leonard Fournette,16.9,98.1%,TB,RB
Derrick Henry,16.9,84.1%,TEN,RB
Christian McCaffrey,15.9,57.4%,CAR,RB
Melvin Gordon,14.6,87.5%,DEN,RB
Mike Davis,14.1,48.7%,ATL,RB
Latavius Murray,12.7,28.1%,BAL,RB
LeSean McCoy,12.2,2.0%,FA,RB
Giovani Bernard,11.6,6.9%,TB,RB
Samaje Perine,9.9,6.8%,CIN,RB
Carlos Hyde,9.6,10.1%,JAC,RB
Kareem Hunt,9.3,90.6%,CLE,RB
Dion Lewis,9.2,2.0%,FA,RB
Devonta Freeman,9.1,72.8%,BAL,RB
James White,9.0,8.7%,NE,RB
Tarik Cohen,8.4,3.6%,CHI,RB
J.D. McKissic,8.4,49.5%,WAS,RB
Aaron Jones,8.0,98.9%,GB,RB
Tevin Coleman,7.9,41.5%,NYJ,RB
DeAndre Washington,7.6,11.0%,FA,RB
Jay Ajayi,7.6,7.0%,FA,RB
Marlon Mack,6.4,1.6%,IND,RB
Frank Gore,6.1,12.1%,FA,RB
Austin Ekeler,6.0,99.9%,LAC,RB
Matt Breida,5.9,28.8%,BUF,RB
Joe Mixon,5.2,99.9%,CIN,RB
Danny Woodhead,4.3,20.6%,FA,RB
Jordan Howard,4.3,10.5%,PHI,RB
Wayne Gallman,2.9,1.2%,ATL,RB
Devontae Booker,1.8,28.0%,NYG,RB
James Conner,1.2,97.0%,ARI,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Justin Jackson,0.0,1.2%,LAC,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Tony Jones,0.0,7.0%,NO,RB
Rashaad Penny,0.0,3.9%,SEA,RB
Antonio Gibson,0.0,98.1%,WAS,RB
JaMycal Hasty,0.0,1.3%,SF,RB
James Robinson,0.0,97.8%,JAC,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Nyheim Hines,0.0,51.2%,IND,RB
Jaret Patterson,0.0,1.4%,WAS,RB
Najee Harris,0.0,99.9%,PIT,RB
Trey Sermon,0.0,14.8%,SF,RB
Chase Edmonds,0.0,72.4%,ARI,RB
Darrel Williams,0.0,65.3%,KC,RB
Ty Johnson,0.0,22.6%,NYJ,RB
Damien Harris,0.0,89.4%,NE,RB
Miles Sanders,0.0,90.2%,PHI,RB
Devin Singletary,0.0,71.1%,BUF,RB
Josh Jacobs,0.0,96.8%,LV,RB
David Montgomery,0.0,95.9%,CHI,RB
Phillip Lindsay,0.0,10.6%,MIA,RB
Mike Boone,0.0,6.0%,DEN,RB
Gus Edwards,0.0,10.3%,BAL,RB
Boston Scott,0.0,34.3%,PHI,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
Jeff Wilson,0.0,21.4%,SF,RB
D'Ernest Johnson,0.0,24.3%,CLE,RB
Derrick Gore,0.0,1.8%,KC,RB
D'Andre Swift,0.0,97.3%,DET,RB
Sony Michel,0.0,64.4%,LAR,RB
Eno Benjamin,0.0,2.0%,ARI,RB
AJ Dillon,0.0,90.2%,GB,RB
Jonathan Taylor,0.0,99.9%,IND,RB
Clyde Edwards-Helaire,0.0,93.6%,KC,RB
Cam Akers,0.0,4.9%,LAR,RB
Zack Moss,0.0,48.9%,BUF,RB
J.K. Dobbins,0.0,9.5%,BAL,RB
Travis Etienne,0.0,6.5%,JAC,RB
Darrell Henderson,0.0,97.8%,LAR,RB
Alexander Mattison,0.0,93.3%,MIN,RB
Tony Pollard,0.0,77.6%,DAL,RB
Godwin Igwebuike,0.0,1.8%,DET,RB
Michael Carter,0.0,67.4%,NYJ,RB
Elijah Mitchell,0.0,89.9%,SF,RB
Khalil Herbert,0.0,16.9%,CHI,RB
Javonte Williams,0.0,90.3%,DEN,RB
Rhamondre Stevenson,0.0,52.9%,NE,RB
Kenneth Gainwell,0.0,11.6%,PHI,RB
Kene Nwangwu,0.0,2.0%,MIN,RB
Myles Gaskin,0.0,93.5%,MIA,RB
Cordarrelle Patterson,0.0,95.6%,ATL,RB
Brandon Bolden,0.0,14.0%,NE,RB
Adrian Peterson,0.0,13.2%,SEA,RB
Ezekiel Elliott,0.0,99.9%,DAL,RB
Raheem Mostert,0.0,13.1%,SF,RB
Nick Chubb,0.0,99.6%,CLE,RB
Ronald Jones,0.0,22.9%,TB,RB
Saquon Barkley,0.0,98.6%,NYG,RB
Jeremy McNichols,0.0,11.2%,TEN,RB
D'Onta Foreman,0.0,37.7%,TEN,RB
Dalvin Cook,0.0,99.4%,MIN,RB
Chris Carson,0.0,37.6%,SEA,RB
Damien Williams,0.0,5.2%,CHI,RB
Ameer Abdullah,0.0,3.4%,CAR,RB
David Johnson,0.0,40.3%,HOU,RB
Malcolm Brown,0.0,2.8%,MIA,RB
Tyreek Hill,36.5,100.0%,KC,WR
Nelson Agholor,27.1,17.0%,NE,WR
A.J. Green,26.7,36.5%,ARI,WR
Keenan Allen,26.5,99.2%,LAC,WR
Antonio Brown,24.1,75.3%,TB,WR
Robby Anderson,19.4,42.1%,CAR,WR
Michael Thomas,18.0,21.8%,NO,WR
Dez Bryant,17.1,2.6%,FA,WR
DeAndre Hopkins,16.0,99.3%,ARI,WR
T.Y. Hilton,14.1,24.2%,IND,WR
Cordarrelle Patterson,13.8,95.6%,ATL,WR
Marvin Jones,13.0,62.8%,JAC,WR
Sammy Watkins,12.8,8.7%,BAL,WR
Josh Gordon,12.5,1.4%,KC,WR
Cooper Kupp,11.8,100.0%,LAR,WR
Jarvis Landry,11.2,73.1%,CLE,WR
Tyler Lockett,9.7,97.5%,SEA,WR
Jamison Crowder,9.7,23.1%,NYJ,WR
Adam Thielen,9.1,98.3%,MIN,WR
Sterling Shepard,8.6,35.3%,NYG,WR
Davante Adams,8.2,100.0%,GB,WR
Kenny Golladay,6.4,62.0%,NYG,WR
Stefon Diggs,5.7,100.0%,BUF,WR
