Player,FPTS,ROST,Team,Pos
Cam Newton,31.5,31.7%,CAR,QB
Eli Manning,27.4,2.3%,FA,QB
Jameis Winston,25.8,5.9%,NO,QB
Tyrod Taylor,23.2,14.8%,HOU,QB
Aaron Rodgers,21.9,97.3%,GB,QB
Jimmy Garoppolo,19.6,22.7%,SF,QB
Alex Smith,18.5,5.0%,FA,QB
Ben Roethlisberger,18.2,18.4%,PIT,QB
Derek Carr,17.5,73.4%,LV,QB
Matthew Stafford,17.4,96.9%,LAR,QB
Drew Brees,17.3,35.7%,FA,QB
Kirk Cousins,15.8,82.1%,MIN,QB
Tom Brady,15.7,99.0%,TB,QB
Matt Ryan,15.4,38.3%,ATL,QB
Dak Prescott,13.7,98.6%,DAL,QB
Russell Wilson,11.6,90.9%,SEA,QB
Jared Goff,10.8,4.8%,DET,QB
Philip Rivers,7.1,20.6%,FA,QB
Trevor Siemian,0.7,2.5%,NO,QB
Andy Dalton,0.5,2.1%,CHI,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Josh Allen,0.0,100.0%,BUF,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Carson Wentz,0.0,61.4%,IND,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Teddy Bridgewater,-2.3,21.0%,DEN,QB
Kareem Hunt,39.6,90.6%,CLE,RB
Mark Ingram,32.1,74.2%,NO,RB
Devonta Freeman,30.4,72.8%,BAL,RB
Melvin Gordon,28.9,87.5%,DEN,RB
Le'Veon Bell,27.5,1.9%,FA,RB
LeSean McCoy,25.6,2.0%,FA,RB
Christian McCaffrey,25.6,57.4%,CAR,RB
Kenyan Drake,23.3,54.3%,LV,RB
Alvin Kamara,20.9,100.0%,NO,RB
Latavius Murray,17.4,28.1%,BAL,RB
