,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,Aaron Rodgers,QB,GB,82,76,70,52,60,8,0,bye,0,0,0,0,0,0,69,0,0,417,59.6
1,Adrian Peterson,RB,Multi,9,15,14,6,0,48,27,0,59,36,37,50,0,0,0,0,0,301,30.1
2,Alex Smith,QB,KC,68,53,53,76,77,54,62,62,57,bye,75,58,46,75,66,79,0,961,64.1
3,Ben Roethlisberger,QB,PIT,60,75,64,76,80,64,69,64,bye,67,71,74,66,89,66,53,0,1038,69.2
4,Benjamin Watson,TE,BAL,40,50,40,43,59,51,52,32,69,bye,26,41,30,33,41,48,45,700,43.8
5,Brian Hoyer,QB,Multi,57,49,79,83,72,18,0,0,0,9,3,0,2,0,0,4,6,382,34.7
6,Chad Henne,QB,JAC,0,0,9,0,0,0,0,bye,0,0,0,0,0,0,14,0,0,23,11.5
7,Chase Daniel,QB,NO,0,0,0,0,bye,0,0,0,0,5,0,0,0,0,0,0,0,5,5.0
8,Danny Amendola,WR,NE,32,0,31,36,55,29,38,32,bye,27,35,39,32,50,37,40,55,568,37.9
9,Darren Sproles,RB,PHI,34,50,5,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,89,29.7
10,DeSean Jackson,WR,TB,bye,36,43,45,52,53,52,50,39,54,40,44,49,30,22,0,0,609,43.5
11,Drew Brees,QB,NO,62,65,58,74,bye,71,76,61,60,72,71,57,64,52,67,64,58,1032,64.5
12,Drew Stanton,QB,ARI,0,0,0,0,0,0,24,bye,77,80,0,0,0,0,0,68,71,320,64.0
13,Eli Manning,QB,NYG,57,56,70,80,69,54,59,bye,64,66,69,57,0,80,87,71,78,1017,67.8
14,Frank Gore,RB,IND,19,32,41,35,39,23,22,36,40,34,bye,41,22,54,28,46,43,555,34.7
15,Greg Olsen,TE,CAR,67,25,0,0,0,0,0,0,0,0,bye,24,0,59,69,57,57,358,51.1
16,Jared Cook,TE,OAK,47,45,41,48,34,46,67,46,53,0,54,59,50,54,55,51,41,791,49.4
17,Jason Witten,TE,DAL,74,71,47,71,73,bye,63,68,67,62,60,55,67,63,65,74,68,1048,65.5
18,Joe Flacco,QB,BAL,66,68,35,69,66,73,65,29,76,bye,59,67,64,64,76,73,76,1026,64.1
19,Josh McCown,QB,NYJ,58,57,63,70,53,76,56,61,67,69,bye,70,91,29,0,0,0,820,63.1
20,Larry Fitzgerald,WR,ARI,74,62,77,82,57,58,47,bye,68,80,57,72,63,62,81,60,71,1071,66.9
21,LeSean McCoy,RB,BUF,54,40,43,43,54,bye,57,50,55,24,42,48,41,50,40,50,29,720,45.0
22,Marcedes Lewis,TE,JAC,64,54,39,69,45,52,59,bye,62,77,67,55,56,62,37,44,53,895,55.9
23,Marshawn Lynch,RB,OAK,31,23,16,23,27,30,10,0,38,0,21,47,32,28,50,43,41,460,30.7
24,Matt Moore,QB,MIA,bye,0,0,0,0,0,36,66,0,0,40,61,0,0,0,0,0,203,50.8
25,Matt Ryan,QB,ATL,59,58,68,76,bye,57,57,66,60,65,62,64,53,74,70,64,72,1025,64.1
26,Matthew Slater,WR,NE,0,0,0,0,0,1,3,4,bye,0,0,0,0,0,3,2,0,13,1.4
27,Matthew Stafford,QB,DET,71,62,70,70,61,81,bye,71,68,52,63,59,54,68,63,61,58,1032,64.5
28,Philip Rivers,QB,LAC,58,58,73,57,78,65,58,56,bye,69,57,68,70,57,64,72,66,1026,64.1
29,Ryan Fitzpatrick,QB,TB,bye,6,0,0,0,55,0,0,30,71,66,71,0,0,0,0,0,299,49.8
30,Ted Ginn,WR,NO,42,43,34,45,bye,37,39,36,36,50,53,41,39,35,0,47,37,614,40.9
31,Tom Brady,QB,NE,81,76,64,70,74,68,74,86,bye,61,57,70,68,61,59,67,79,1115,69.7
32,Vernon Davis,TE,WAS,27,55,56,35,bye,48,29,48,47,64,62,65,54,42,47,65,55,799,49.9
33,Dez Bryant,WR,DAL,67,66,41,58,66,bye,54,60,46,51,54,49,56,49,58,62,54,891,55.7
34,Golden Tate,WR,DET,63,43,63,52,55,46,bye,44,35,36,48,52,51,56,47,50,48,789,49.3
35,Andre Roberts,WR,ATL,2,4,1,4,bye,5,4,0,2,0,0,1,0,0,0,0,9,32,2.0
36,Colt McCoy,QB,WAS,0,0,0,0,bye,0,0,0,0,0,0,0,4,0,0,0,0,4,4.0
37,Emmanuel Sanders,WR,DEN,53,69,62,48,bye,50,0,0,29,55,77,50,57,47,39,0,0,636,53.0
38,Jimmy Graham,TE,SEA,40,54,48,46,42,bye,48,49,57,44,48,47,42,38,44,40,42,729,45.6
39,Joe Webb,QB,BUF,0,0,0,0,0,bye,0,0,3,0,0,0,5,28,0,3,0,39,2.4
40,Rob Gronkowski,TE,NE,78,46,64,70,0,63,71,86,bye,61,53,64,65,0,59,66,58,904,64.6
41,Antonio Brown,WR,PIT,51,71,64,68,76,57,64,59,bye,64,69,74,66,86,21,0,0,890,63.6
42,Logan Paulsen,TE,SF,3,5,27,1,3,2,11,0,0,12,bye,6,8,6,9,28,23,144,10.3
43,A.J. Green,WR,CIN,55,62,56,55,57,bye,45,53,15,49,48,56,62,45,42,79,75,854,53.4
44,Blaine Gabbert,QB,ARI,0,0,0,0,0,0,0,bye,0,0,58,73,64,65,82,0,0,342,68.4
45,Julio Jones,WR,ATL,48,48,58,16,bye,45,50,59,43,43,50,47,42,54,53,56,54,766,47.9
46,Cam Newton,QB,CAR,67,69,50,63,66,82,72,65,65,68,bye,71,57,64,71,60,61,1051,65.7
47,Mark Ingram,RB,NO,26,36,29,46,bye,47,42,31,36,37,28,29,36,42,40,31,33,569,35.6
48,Randall Cobb,WR,GB,63,54,0,34,47,53,37,bye,49,38,49,38,41,57,67,61,55,743,49.5
49,Kyle Rudolph,TE,MIN,55,62,68,55,67,75,61,82,bye,53,73,66,64,55,20,35,32,923,57.7
50,Andy Dalton,QB,CIN,61,64,61,61,66,bye,51,56,39,51,55,61,64,45,38,84,79,936,58.5
51,Lance Kendricks,TE,GB,21,13,19,17,18,6,14,bye,29,46,39,29,30,49,22,58,58,468,29.3
52,Luke Stocker,TE,Multi,0,16,6,14,6,10,8,17,20,19,0,0,0,0,10,14,34,174,14.5
53,Taiwan Jones,RB,BUF,0,0,0,0,0,bye,2,0,1,0,0,0,0,0,0,0,0,3,0.4
54,Anthony Sherman,RB,KC,12,1,9,12,25,9,9,8,3,bye,13,6,3,8,3,8,52,181,11.3
55,Dion Lewis,RB,NE,6,14,12,14,18,29,26,30,bye,21,26,28,26,18,34,51,52,405,25.3
56,Lee Smith,TE,OAK,29,26,12,13,12,13,18,19,30,0,10,28,26,9,26,42,25,338,21.1
57,Dwayne Harris,WR,NYG,0,0,0,0,8,0,0,bye,0,0,0,0,0,0,0,0,0,8,1.6
58,Tyrod Taylor,QB,BUF,77,54,65,60,70,bye,68,69,75,37,40,69,45,0,62,70,67,928,61.9
59,Virgil Green,TE,DEN,44,46,37,42,bye,35,28,31,21,30,41,30,21,44,36,26,21,533,33.3
60,Nick Foles,QB,PHI,0,0,0,0,0,0,0,9,14,bye,0,11,0,23,67,67,19,210,30.0
61,Kirk Cousins,QB,WAS,63,71,68,50,bye,74,64,59,63,75,69,71,56,50,51,67,57,1008,63.0
62,Russell Wilson,QB,SEA,49,82,73,68,68,bye,75,69,83,62,74,68,62,62,52,57,58,1062,66.4
63,Lamar Miller,RB,HOU,64,49,50,57,56,44,bye,62,52,41,52,47,65,49,28,19,17,752,47.0
64,Alshon Jeffery,WR,PHI,61,61,67,68,53,57,53,49,49,bye,47,67,70,87,60,62,18,929,58.1
65,Mohamed Sanu,WR,ATL,48,48,57,31,bye,0,51,60,43,48,47,51,46,54,51,59,61,755,50.3
66,T.Y. Hilton,WR,IND,44,64,64,51,67,54,57,68,60,49,bye,62,67,48,51,62,59,927,57.9
67,Travis Benjamin,WR,LAC,39,39,44,37,47,21,22,35,bye,41,21,44,38,33,36,31,38,566,35.4
68,Marvin Jones,WR,DET,68,56,68,64,58,80,bye,68,65,50,62,59,59,67,62,61,55,1002,62.6
69,Rhett Ellison,TE,NYG,19,22,21,31,49,35,28,bye,40,26,46,28,32,39,26,41,55,538,33.6
70,Alfred Morris,RB,DAL,8,1,0,3,5,bye,9,6,1,21,24,21,37,33,27,0,8,204,14.6
71,Brandon Bolden,RB,NE,0,0,0,0,0,0,0,0,bye,3,0,0,0,0,0,5,34,42,2.6
72,Derek Carrier,TE,LAR,13,9,24,16,6,13,22,bye,21,0,0,12,6,3,15,5,20,185,13.2
73,Case Keenum,QB,MIN,0,65,74,56,44,77,66,85,bye,61,78,74,66,74,56,64,75,1015,67.7
74,Josh Gordon,WR,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,48,53,54,49,54,258,51.6
75,Cole Beasley,WR,DAL,52,57,25,31,37,bye,34,27,44,40,32,42,37,29,41,44,0,572,38.1
76,Chris Hogan,WR,NE,73,65,58,68,74,63,60,75,bye,0,0,0,0,55,0,0,0,591,65.7
77,Garrett Celek,TE,SF,14,15,35,21,32,30,18,26,55,56,bye,48,53,61,46,17,34,561,35.1
78,Jermaine Kearse,WR,NYJ,55,50,45,67,47,61,51,53,56,66,bye,58,74,44,47,56,49,879,54.9
79,Josh Bellamy,WR,CHI,33,59,19,36,7,2,3,2,bye,40,25,0,30,48,53,40,40,437,29.1
80,Travis Kelce,TE,KC,67,51,53,71,39,52,58,58,54,bye,74,56,42,69,61,68,0,873,58.2
81,Marquise Goodwin,WR,SF,50,43,57,9,55,62,39,43,67,48,bye,54,58,52,63,47,21,768,48.0
82,Russell Shepard,WR,CAR,20,34,38,35,38,52,37,30,38,42,bye,30,32,23,22,0,8,479,31.9
83,DeAndre Hopkins,WR,HOU,79,67,71,78,64,63,bye,71,71,69,65,68,81,67,53,55,0,1022,68.1
84,Robert Woods,WR,LAR,43,45,60,59,64,51,69,bye,45,52,45,0,0,0,51,61,0,645,53.8
85,Kenny Stills,WR,MIA,bye,60,62,47,51,60,72,64,65,56,57,56,54,61,63,48,63,939,58.7
86,Cordarrelle Patterson,RB,OAK,23,27,26,33,19,17,18,57,6,0,25,37,34,26,44,13,25,430,26.9
87,Keenan Allen,WR,LAC,52,50,61,49,71,55,47,52,bye,59,53,59,64,49,47,66,63,897,56.1
88,Tavon Austin,WR,LAR,7,9,15,15,16,9,19,bye,29,11,2,27,11,14,14,6,24,228,14.3
89,Giovani Bernard,RB,CIN,29,33,13,21,22,bye,23,14,11,20,20,15,44,46,46,71,54,482,30.1
90,Le'Veon Bell,RB,PIT,43,69,62,69,74,58,61,60,bye,66,67,72,63,80,56,45,0,945,63.0
91,Theo Riddick,RB,DET,22,26,34,18,30,35,bye,30,25,17,30,26,40,48,33,37,18,469,29.3
92,Chris Thompson,RB,WAS,30,29,28,26,bye,45,37,47,33,45,18,0,0,0,0,0,0,338,33.8
93,Rex Burkhead,RB,NE,10,8,0,0,0,0,13,27,bye,36,19,28,22,17,15,0,0,195,19.5
94,Kenjon Barner,RB,PHI,0,0,0,0,17,22,4,4,2,bye,2,4,2,6,6,1,7,77,5.9
95,Tyler Bray,QB,KC,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,4,4,4.0
96,Mike Glennon,QB,CHI,67,64,65,68,0,0,0,0,bye,0,0,0,0,0,0,0,0,264,66.0
97,Geno Smith,QB,NYG,0,0,0,0,0,0,0,bye,4,0,0,0,62,0,0,0,0,66,33.0
98,Zach Ertz,TE,PHI,60,60,75,60,57,49,53,64,0,bye,60,65,45,0,59,55,14,776,55.4
99,Jordan Reed,TE,WAS,55,40,0,14,bye,54,50,21,0,0,0,0,0,0,0,0,0,234,39.0
100,Tyler Eifert,TE,CIN,54,50,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,104,52.0
101,Levine Toilolo,TE,ATL,29,28,35,30,bye,15,19,31,28,30,31,28,24,43,39,12,0,422,28.1
102,Vance McDonald,TE,PIT,18,0,16,30,15,32,29,0,bye,30,0,0,0,35,0,29,37,271,27.1
103,Kyle Juszczyk,RB,SF,19,17,25,24,35,0,0,20,17,38,bye,16,40,36,32,37,39,395,28.2
104,Luke Willson,TE,SEA,17,37,25,22,26,bye,31,19,24,24,33,5,20,20,19,27,29,378,23.6
105,Latavius Murray,RB,MIN,3,6,8,19,22,33,31,31,bye,30,33,40,30,32,32,39,31,420,26.3
106,Ryan Griffin,TE,HOU,10,0,61,81,52,58,bye,65,22,0,0,0,0,0,0,0,0,349,49.9
107,Demetrius Harris,TE,KC,25,24,22,40,55,18,31,41,20,bye,19,16,20,28,27,35,61,482,30.1
108,Zach Line,RB,NO,0,0,0,0,bye,12,18,8,16,19,10,7,17,11,21,18,11,168,14.0
109,James Develin,RB,NE,19,24,15,16,13,25,24,29,bye,45,21,20,17,11,17,19,30,345,21.6
110,Jack Doyle,TE,IND,46,70,66,48,0,58,54,71,62,58,bye,61,64,71,54,62,64,909,60.6
111,Patrick DiMarco,RB,BUF,20,13,15,30,16,bye,16,28,9,14,8,17,5,16,23,13,22,265,16.6
112,Teddy Bridgewater,QB,MIN,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,9,0,0,9,9.0
113,Blake Bortles,QB,JAC,64,67,64,78,54,69,68,bye,80,84,78,63,65,66,56,87,60,1103,68.9
114,AJ McCarron,QB,CIN,0,0,0,3,0,bye,0,0,0,0,0,0,0,9,14,0,0,26,8.7
115,Derek Carr,QB,OAK,66,57,51,34,0,58,82,65,63,0,74,68,65,61,66,67,54,931,62.1
116,Logan Thomas,TE,BUF,6,1,11,9,20,bye,29,21,21,9,0,0,22,3,3,0,0,155,12.9
117,Carlos Hyde,RB,SF,44,40,58,58,33,56,51,45,56,46,bye,64,51,41,51,43,45,782,48.9
118,Devonta Freeman,RB,ATL,36,39,41,49,bye,42,41,40,41,2,0,0,39,51,50,42,38,551,39.4
119,Sammy Watkins,WR,LAR,38,45,42,60,59,47,67,bye,33,51,49,65,58,45,51,64,0,774,51.6
120,Mike Evans,WR,TB,bye,55,47,59,68,64,63,62,52,0,55,61,66,58,50,51,70,881,58.7
121,Brandin Cooks,WR,NE,67,65,57,64,72,66,70,82,bye,68,56,62,68,60,56,65,78,1056,66.0
122,Davante Adams,WR,GB,67,71,67,40,56,65,48,bye,56,54,65,48,49,64,27,0,0,777,55.5
123,Jordan Matthews,WR,BUF,67,50,50,39,0,bye,55,48,71,36,0,41,51,0,0,0,0,508,50.8
124,Donte Moncrief,WR,IND,45,53,58,43,53,42,52,56,50,51,bye,60,50,0,0,0,0,613,51.1
125,Allen Robinson,WR,JAC,3,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,3,3.0
