Player,FPTS,ROST,Team,Pos
Kirk Cousins,27.8,82.1%,MIN,QB
Deshaun Watson,23.3,4.3%,HOU,QB
Carson Wentz,21.4,61.4%,IND,QB
Carson Palmer,20.9,5.6%,FA,QB
Cam Newton,20.7,31.7%,CAR,QB
Ryan Fitzpatrick,20.6,6.2%,WAS,QB
Tom Brady,16.2,99.0%,TB,QB
Trevor Siemian,15.9,2.5%,NO,QB
Alex Smith,15.1,5.0%,FA,QB
Matthew Stafford,14.9,96.9%,LAR,QB
Philip Rivers,14.3,20.6%,FA,QB
Ben Roethlisberger,11.9,18.4%,PIT,QB
Matt Ryan,11.9,38.3%,ATL,QB
Drew Brees,11.5,35.7%,FA,QB
Jared Goff,9.9,4.8%,DET,QB
Eli Manning,9.1,2.3%,FA,QB
Derek Carr,6.8,73.4%,LV,QB
Jameis Winston,2.4,5.9%,NO,QB
Aaron Rodgers,0.7,97.3%,GB,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Daniel Jones,0.0,22.1%,NYG,QB
Joe Burrow,0.0,88.2%,CIN,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Josh Allen,0.0,100.0%,BUF,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Andy Dalton,0.0,2.1%,CHI,QB
Russell Wilson,0.0,90.9%,SEA,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Tyrod Taylor,0.0,14.8%,HOU,QB
Dak Prescott,0.0,98.6%,DAL,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Melvin Gordon,36.0,87.5%,DEN,RB
Mark Ingram,30.0,74.2%,NO,RB
Le'Veon Bell,28.1,1.9%,FA,RB
Adrian Peterson,25.4,13.2%,SEA,RB
Carlos Hyde,24.5,10.1%,JAC,RB
Christian McCaffrey,22.4,57.4%,CAR,RB
Leonard Fournette,21.8,98.1%,TB,RB
Derrick Henry,21.5,84.1%,TEN,RB
Jordan Howard,18.6,10.5%,PHI,RB
Matt Forte,16.1,19.1%,FA,RB
Kareem Hunt,16.0,90.6%,CLE,RB
Samaje Perine,13.7,6.8%,CIN,RB
Jay Ajayi,13.0,7.0%,FA,RB
Alvin Kamara,12.7,100.0%,NO,RB
Devontae Booker,12.0,28.0%,NYG,RB
Dion Lewis,11.2,2.0%,FA,RB
Tevin Coleman,10.6,41.5%,NYJ,RB
Devonta Freeman,9.9,72.8%,BAL,RB
Frank Gore,8.7,12.1%,FA,RB
James White,8.5,8.7%,NE,RB
Tarik Cohen,8.4,3.6%,CHI,RB
Alex Collins,7.4,34.3%,SEA,RB
D'Onta Foreman,5.9,37.7%,TEN,RB
Matt Breida,5.6,28.8%,BUF,RB
Ameer Abdullah,5.4,3.4%,CAR,RB
Damien Williams,5.3,5.2%,CHI,RB
Aaron Jones,5.2,98.9%,GB,RB
Wayne Gallman,5.2,1.2%,ATL,RB
Latavius Murray,4.7,28.1%,BAL,RB
Austin Ekeler,1.9,99.9%,LAC,RB
Marlon Mack,1.8,1.6%,IND,RB
Malcolm Brown,1.7,2.8%,MIA,RB
Raheem Mostert,1.6,13.1%,SF,RB
James Conner,1.4,97.0%,ARI,RB
DeAndre Washington,1.2,11.0%,FA,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
James Robinson,0.0,97.8%,JAC,RB
JaMycal Hasty,0.0,1.3%,SF,RB
Antonio Gibson,0.0,98.1%,WAS,RB
Trey Sermon,0.0,14.8%,SF,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Tony Jones,0.0,7.0%,NO,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Jaret Patterson,0.0,1.4%,WAS,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
Eno Benjamin,0.0,2.0%,ARI,RB
Jermar Jefferson,0.0,2.0%,DET,RB
AJ Dillon,0.0,90.2%,GB,RB
Mike Boone,0.0,6.0%,DEN,RB
Jeff Wilson,0.0,21.4%,SF,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
Sony Michel,0.0,64.4%,LAR,RB
