Player,FPTS,ROST,Team,Pos
Ben Roethlisberger,28.7,18.4%,PIT,QB
Carson Wentz,27.2,61.4%,IND,QB
Dak Prescott,26.6,98.6%,DAL,QB
Russell Wilson,21.8,90.9%,SEA,QB
Philip Rivers,20.8,20.6%,FA,QB
Drew Brees,17.0,35.7%,FA,QB
Matthew Stafford,15.2,96.9%,LAR,QB
Jimmy Garoppolo,15.1,22.7%,SF,QB
Cam Newton,14.5,31.7%,CAR,QB
Jameis Winston,14.4,5.9%,NO,QB
Jared Goff,14.2,4.8%,DET,QB
Trevor Siemian,13.3,2.5%,NO,QB
Alex Smith,11.1,5.0%,FA,QB
Derek Carr,10.4,73.4%,LV,QB
Tom Brady,9.3,99.0%,TB,QB
Eli Manning,9.1,2.3%,FA,QB
Kirk Cousins,8.8,82.1%,MIN,QB
Andy Dalton,7.6,2.1%,CHI,QB
Matt Ryan,6.8,38.3%,ATL,QB
Aaron Rodgers,0.0,97.3%,GB,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Tyrod Taylor,0.0,14.8%,HOU,QB
Josh Allen,0.0,100.0%,BUF,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Le'Veon Bell,39.5,1.9%,FA,RB
Jamaal Williams,30.8,85.0%,DET,RB
Jordan Howard,28.5,10.5%,PHI,RB
Alex Collins,24.6,34.3%,SEA,RB
Kenyan Drake,24.3,54.3%,LV,RB
Kareem Hunt,22.8,90.6%,CLE,RB
Leonard Fournette,21.9,98.1%,TB,RB
LeSean McCoy,21.6,2.0%,FA,RB
Giovani Bernard,19.0,6.9%,TB,RB
Wayne Gallman,16.9,1.2%,ATL,RB
Rex Burkhead,16.3,26.4%,HOU,RB
