Player,FPTS,ROST,Team,Pos
Deshaun Watson,35.5,4.3%,HOU,QB
Dak Prescott,29.7,98.6%,DAL,QB
Carson Wentz,27.3,61.4%,IND,QB
Alex Smith,26.9,5.0%,FA,QB
Cam Newton,26.2,31.7%,CAR,QB
Aaron Rodgers,24.0,97.3%,GB,QB
Philip Rivers,20.8,20.6%,FA,QB
Jameis Winston,18.5,5.9%,NO,QB
Carson Palmer,15.6,5.6%,FA,QB
Matthew Stafford,15.2,96.9%,LAR,QB
Andy Dalton,13.3,2.1%,CHI,QB
Eli Manning,13.0,2.3%,FA,QB
Tom Brady,12.6,99.0%,TB,QB
Russell Wilson,11.5,90.9%,SEA,QB
Tyrod Taylor,8.9,14.8%,HOU,QB
Jared Goff,7.7,4.8%,DET,QB
Ben Roethlisberger,2.6,18.4%,PIT,QB
Justin Fields,0.0,17.0%,CHI,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Joe Burrow,0.0,88.2%,CIN,QB
Daniel Jones,0.0,22.1%,NYG,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Josh Allen,0.0,100.0%,BUF,QB
Kirk Cousins,0.0,82.1%,MIN,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Matt Ryan,0.0,38.3%,ATL,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Trevor Siemian,0.0,2.5%,NO,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Derek Carr,0.0,73.4%,LV,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Melvin Gordon,34.3,87.5%,DEN,RB
Leonard Fournette,31.4,98.1%,TB,RB
Aaron Jones,20.4,98.9%,GB,RB
Le'Veon Bell,19.3,1.9%,FA,RB
Marlon Mack,16.3,1.6%,IND,RB
LeSean McCoy,14.9,2.0%,FA,RB
Christian McCaffrey,14.8,57.4%,CAR,RB
Kareem Hunt,14.6,90.6%,CLE,RB
Ezekiel Elliott,14.2,99.9%,DAL,RB
Wayne Gallman,13.2,1.2%,ATL,RB
James White,13.0,8.7%,NE,RB
Frank Gore,11.6,12.1%,FA,RB
Joe Mixon,11.1,99.9%,CIN,RB
Matt Breida,10.1,28.8%,BUF,RB
Dion Lewis,8.3,2.0%,FA,RB
Jay Ajayi,7.9,7.0%,FA,RB
Jordan Howard,7.6,10.5%,PHI,RB
J.D. McKissic,6.6,49.5%,WAS,RB
Latavius Murray,6.3,28.1%,BAL,RB
Austin Ekeler,5.8,99.9%,LAC,RB
Alex Collins,5.5,34.3%,SEA,RB
Giovani Bernard,5.2,6.9%,TB,RB
