,Player,FPTS,Team,Pos
320,Nyheim Hines,0.0,IND,RB
322,Myles Gaskin,0.0,MIA,RB
325,Godwin Igwebuike,0.0,DET,RB
328,Gus Edwards,0.0,BAL,RB
330,Boston Scott,0.0,PHI,RB
332,Darrel Williams,0.0,KC,RB
333,Phillip Lindsay,0.0,MIA,RB
335,Chase Edmonds,0.0,ARI,RB
336,Nick Chubb,0.0,CLE,RB
338,Dare Ogunbowale,0.0,JAC,RB
340,Royce Freeman,0.0,HOU,RB
342,Ronald Jones,0.0,TB,RB
343,Saquon Barkley,0.0,NYG,RB
352,Darren McFadden,-0.2,FA,RB
0,Antonio Brown,310.3,FA,WR
1,DeAndre Hopkins,309.8,ARI,WR
2,Keenan Allen,284.2,LAC,WR
4,Jarvis Landry,260.0,CLE,WR
5,Michael Thomas,258.5,NO,WR
6,Julio Jones,251.9,TEN,WR
7,Adam Thielen,239.8,MIN,WR
8,Tyreek Hill,239.2,KC,WR
9,AJ Green,226.8,ARI,WR
11,Marvin Jones,225.1,JAC,WR
13,Davante Adams,222.5,GB,WR
14,Brandin Cooks,221.2,HOU,WR
16,Mike Evans,203.1,TB,WR
17,Robby Anderson,200.0,CAR,WR
18,Stefon Diggs,198.2,BUF,WR
21,Nelson Agholor,193.5,NE,WR
22,JuJu Smith-Schuster,191.7,PIT,WR
23,Dez Bryant,186.5,FA,WR
24,Cooper Kupp,176.9,LAR,WR
26,TY Hilton,175.6,IND,WR
31,Robert Woods,163.3,LAR,WR
32,Jamison Crowder,160.3,NYJ,WR
34,Randall Cobb,159.4,GB,WR
35,Amari Cooper,158.4,DAL,WR
40,Sammy Watkins,146.3,BAL,WR
41,Sterling Shepard,144.5,NYG,WR
43,DeSean Jackson,138.6,LV,WR
44,Tyrell Williams,137.8,FA,WR
49,DeVante Parker,130.0,MIA,WR
56,Tyler Lockett,118.3,SEA,WR
59,Emmanuel Sanders,114.5,BUF,WR
60,Will Fuller,113.2,MIA,WR
68,Kenny Golladay,94.6,NYG,WR
70,Chris Godwin,92.5,TB,WR
71,Cole Beasley,91.4,BUF,WR
76,Cordarrelle Patterson,86.0,ATL,WR
82,Odell Beckham,74.0,LAR,WR
84,Zay Jones,70.6,LV,WR
85,John Brown,69.9,FA,WR
86,Corey Davis,69.5,NYJ,WR
100,Josh Gordon,57.5,KC,WR
103,Tyler Boyd,56.5,CIN,WR
113,Jakeem Grant,44.5,CHI,WR
117,Kendrick Bourne,41.7,NE,WR
120,Laquon Treadwell,40.0,JAC,WR
124,Brandon Marshall,33.4,FA,WR
125,Curtis Samuel,32.9,WAS,WR
129,Josh Reynolds,27.4,DET,WR
136,Mike Williams,20.5,LAC,WR
143,Breshad Perriman,17.7,TB,WR
184,Isaiah McKenzie,3.3,BUF,WR
187,Allen Robinson,2.7,CHI,WR
198,Kalif Raymond,0.1,DET,WR
203,Gabriel Davis,0.0,BUF,WR
208,Allen Lazard,0.0,GB,WR
217,CeeDee Lamb,0.0,DAL,WR
219,Jalen Reagor,0.0,PHI,WR
220,Tee Higgins,0.0,CIN,WR
222,Laviska Shenault,0.0,JAC,WR
224,Jerry Jeudy,0.0,DEN,WR
226,DeVonta Smith,0.0,PHI,WR
230,Donovan Peoples-Jones,0.0,CLE,WR
231,Michael Pittman,0.0,IND,WR
232,Justin Jefferson,0.0,MIN,WR
233,Devin Duvernay,0.0,BAL,WR
235,Brandon Aiyuk,0.0,SF,WR
236,Van Jefferson,0.0,LAR,WR
237,DJ Chark,0.0,JAC,WR
238,Amon-Ra St,0.0,DET,WR
242,Darnell Mooney,0.0,CHI,WR
245,Rondale Moore,0.0,ARI,WR
246,Rashod Bateman,0.0,BAL,WR
247,Jaylen Waddle,0.0,MIA,WR
