Player,FPTS,ROST,Team,Pos
Tom Brady,35.7,99.0%,TB,QB
Russell Wilson,33.5,90.9%,SEA,QB
Kirk Cousins,26.8,82.1%,MIN,QB
Aaron Rodgers,24.8,97.3%,GB,QB
Jared Goff,23.6,4.8%,DET,QB
Dak Prescott,22.9,98.6%,DAL,QB
Eli Manning,22.6,2.3%,FA,QB
Carson Palmer,21.7,5.6%,FA,QB
Drew Brees,20.8,35.7%,FA,QB
Deshaun Watson,20.1,4.3%,HOU,QB
Tyrod Taylor,17.8,14.8%,HOU,QB
Matthew Stafford,16.5,96.9%,LAR,QB
Andy Dalton,16.3,2.1%,CHI,QB
Jameis Winston,15.5,5.9%,NO,QB
Alex Smith,15.1,5.0%,FA,QB
Matt Ryan,13.7,38.3%,ATL,QB
Carson Wentz,13.2,61.4%,IND,QB
Ben Roethlisberger,12.0,18.4%,PIT,QB
Cam Newton,8.3,31.7%,CAR,QB
Trevor Siemian,7.6,2.5%,NO,QB
Derek Carr,5.2,73.4%,LV,QB
Philip Rivers,3.5,20.6%,FA,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Justin Fields,0.0,17.0%,CHI,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Jordan Love,0.0,1.4%,GB,QB
Daniel Jones,0.0,22.1%,NYG,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Josh Allen,0.0,100.0%,BUF,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Jordan Howard,31.4,10.5%,PHI,RB
Dalvin Cook,27.9,99.4%,MIN,RB
Kareem Hunt,25.3,90.6%,CLE,RB
Carlos Hyde,24.4,10.1%,JAC,RB
Devonta Freeman,22.8,72.8%,BAL,RB
Le'Veon Bell,21.8,1.9%,FA,RB
Christian McCaffrey,20.7,57.4%,CAR,RB
Ezekiel Elliott,18.4,99.9%,DAL,RB
Leonard Fournette,17.0,98.1%,TB,RB
Tarik Cohen,14.2,3.6%,CHI,RB
Melvin Gordon,13.9,87.5%,DEN,RB
LeSean McCoy,13.9,2.0%,FA,RB
Chris Carson,13.2,37.6%,SEA,RB
Alvin Kamara,13.2,100.0%,NO,RB
Joe Mixon,13.1,99.9%,CIN,RB
Frank Gore,12.7,12.1%,FA,RB
Tevin Coleman,11.9,41.5%,NYJ,RB
