Player,FPTS,ROST,Team,Pos
Russell Wilson,35.1,90.9%,SEA,QB
Deshaun Watson,32.8,4.3%,HOU,QB
Andy Dalton,18.7,2.1%,CHI,QB
Matthew Stafford,18.0,96.9%,LAR,QB
Tom Brady,17.5,99.0%,TB,QB
Carson Wentz,17.1,61.4%,IND,QB
Tyrod Taylor,16.7,14.8%,HOU,QB
Matt Ryan,15.9,38.3%,ATL,QB
Ben Roethlisberger,14.5,18.4%,PIT,QB
Alex Smith,13.4,5.0%,FA,QB
Cam Newton,12.6,31.7%,CAR,QB
Derek Carr,12.5,73.4%,LV,QB
Drew Brees,11.8,35.7%,FA,QB
Kirk Cousins,10.5,82.1%,MIN,QB
Philip Rivers,10.5,20.6%,FA,QB
Trevor Siemian,7.9,2.5%,NO,QB
Dak Prescott,7.3,98.6%,DAL,QB
Jameis Winston,3.7,5.9%,NO,QB
Aaron Rodgers,0.0,97.3%,GB,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Justin Fields,0.0,17.0%,CHI,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Josh Allen,0.0,100.0%,BUF,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Joe Burrow,0.0,88.2%,CIN,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Ryan Tannehill,0.0,64.4%,TEN,QB
Sam Darnold,0.0,5.8%,CAR,QB
Ryan Fitzpatrick,0.0,6.2%,WAS,QB
Jared Goff,0.0,4.8%,DET,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Jimmy Garoppolo,0.0,22.7%,SF,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
LeSean McCoy,29.3,2.0%,FA,RB
Ezekiel Elliott,26.4,99.9%,DAL,RB
Melvin Gordon,20.9,87.5%,DEN,RB
DeAndre Washington,20.8,11.0%,FA,RB
Mark Ingram,17.9,74.2%,NO,RB
Alvin Kamara,16.6,100.0%,NO,RB
Alex Collins,16.3,34.3%,SEA,RB
Matt Breida,15.6,28.8%,BUF,RB
Marlon Mack,15.3,1.6%,IND,RB
Rex Burkhead,15.3,26.4%,HOU,RB
Jordan Howard,15.1,10.5%,PHI,RB
Devontae Booker,14.4,28.0%,NYG,RB
Le'Veon Bell,14.1,1.9%,FA,RB
Frank Gore,14.1,12.1%,FA,RB
James White,13.7,8.7%,NE,RB
Joe Mixon,11.9,99.9%,CIN,RB
Tevin Coleman,11.4,41.5%,NYJ,RB
Matt Forte,11.2,19.1%,FA,RB
Christian McCaffrey,10.2,57.4%,CAR,RB
Kareem Hunt,9.8,90.6%,CLE,RB
Carlos Hyde,8.7,10.1%,JAC,RB
Jay Ajayi,8.1,7.0%,FA,RB
Tarik Cohen,7.8,3.6%,CHI,RB
Dion Lewis,7.4,2.0%,FA,RB
Devonta Freeman,7.1,72.8%,BAL,RB
Ameer Abdullah,6.8,3.4%,CAR,RB
Latavius Murray,5.7,28.1%,BAL,RB
Austin Ekeler,3.1,99.9%,LAC,RB
Kenyan Drake,2.2,54.3%,LV,RB
J.D. McKissic,2.2,49.5%,WAS,RB
Damien Williams,0.9,5.2%,CHI,RB
Giovani Bernard,0.5,6.9%,TB,RB
James Conner,0.1,97.0%,ARI,RB
JaMycal Hasty,0.0,1.3%,SF,RB
James Robinson,0.0,97.8%,JAC,RB
Antonio Gibson,0.0,98.1%,WAS,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
Salvon Ahmed,0.0,2.3%,MIA,RB
Trey Sermon,0.0,14.8%,SF,RB
Eno Benjamin,0.0,2.0%,ARI,RB
Tony Jones,0.0,7.0%,NO,RB
DeeJay Dallas,0.0,4.4%,SEA,RB
Chuba Hubbard,0.0,66.0%,CAR,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Jaret Patterson,0.0,1.4%,WAS,RB
AJ Dillon,0.0,90.2%,GB,RB
Mike Boone,0.0,6.0%,DEN,RB
Dontrell Hilliard,0.0,39.0%,TEN,RB
Jeff Wilson,0.0,21.4%,SF,RB
Justin Jackson,0.0,1.2%,LAC,RB
Nyheim Hines,0.0,51.2%,IND,RB
Rashaad Penny,0.0,3.9%,SEA,RB
Myles Gaskin,0.0,93.5%,MIA,RB
Nick Chubb,0.0,99.6%,CLE,RB
Ronald Jones,0.0,22.9%,TB,RB
Sony Michel,0.0,64.4%,LAR,RB
Gus Edwards,0.0,10.3%,BAL,RB
Boston Scott,0.0,34.3%,PHI,RB
Darrel Williams,0.0,65.3%,KC,RB
Godwin Igwebuike,0.0,1.8%,DET,RB
Phillip Lindsay,0.0,10.6%,MIA,RB
Chase Edmonds,0.0,72.4%,ARI,RB
Tony Pollard,0.0,77.6%,DAL,RB
D'Andre Swift,0.0,97.3%,DET,RB
Clyde Edwards-Helaire,0.0,93.6%,KC,RB
Najee Harris,0.0,99.9%,PIT,RB
Cam Akers,0.0,4.9%,LAR,RB
Zack Moss,0.0,48.9%,BUF,RB
J.K. Dobbins,0.0,9.5%,BAL,RB
Travis Etienne,0.0,6.5%,JAC,RB
Jonathan Taylor,0.0,99.9%,IND,RB
Derrick Gore,0.0,1.8%,KC,RB
D'Ernest Johnson,0.0,24.3%,CLE,RB
Ty Johnson,0.0,22.6%,NYJ,RB
Miles Sanders,0.0,90.2%,PHI,RB
Devin Singletary,0.0,71.1%,BUF,RB
Josh Jacobs,0.0,96.8%,LV,RB
David Montgomery,0.0,95.9%,CHI,RB
Damien Harris,0.0,89.4%,NE,RB
Alexander Mattison,0.0,93.3%,MIN,RB
Darrell Henderson,0.0,97.8%,LAR,RB
Michael Carter,0.0,67.4%,NYJ,RB
Elijah Mitchell,0.0,89.9%,SF,RB
Khalil Herbert,0.0,16.9%,CHI,RB
Javonte Williams,0.0,90.3%,DEN,RB
Rhamondre Stevenson,0.0,52.9%,NE,RB
Kenneth Gainwell,0.0,11.6%,PHI,RB
Kene Nwangwu,0.0,2.0%,MIN,RB
Saquon Barkley,0.0,98.6%,NYG,RB
Brandon Bolden,0.0,14.0%,NE,RB
Cordarrelle Patterson,0.0,95.6%,ATL,RB
Adrian Peterson,0.0,13.2%,SEA,RB
Derrick Henry,0.0,84.1%,TEN,RB
Raheem Mostert,0.0,13.1%,SF,RB
Chris Carson,0.0,37.6%,SEA,RB
Leonard Fournette,0.0,98.1%,TB,RB
Dalvin Cook,0.0,99.4%,MIN,RB
