,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
0,Antonio Brown,WR,TB,42,28,0,40,42,37,0,0,bye,0,0,0,0,0,0,53,26,268,38.3,
1,Ronald Jones,RB,TB,6,26,12,13,10,14,14,9,bye,0,15,12,2,8,22,35,20,218,14.5,
2,Leonard Fournette,RB,TB,42,31,26,64,46,47,39,37,bye,31,46,54,61,66,33,0,0,623,44.5,
3,Chris Godwin,WR,TB,64,56,70,73,51,68,61,59,bye,46,62,65,64,78,16,0,0,833,59.5,
4,Rob Gronkowski,TE,TB,57,51,45,0,0,0,0,6,bye,0,46,55,58,73,63,60,70,584,53.1,
5,Mike Evans,WR,TB,61,46,61,69,58,70,56,58,bye,48,64,66,65,77,17,0,56,872,58.1,
6,Tyler Johnson,WR,TB,3,17,34,17,38,0,49,39,bye,33,57,48,9,49,70,36,49,548,36.5,
7,Giovani Bernard,RB,TB,17,6,33,0,17,12,11,13,bye,14,8,0,7,0,0,0,0,138,13.8,
8,Jaydon Mickens,WR,Multi,0,0,0,3,13,3,0,0,0,0,0,0,3,1,1,1,0,25,2.5,
9,Tom Brady,QB,TB,65,60,73,78,62,75,65,61,bye,48,69,67,70,83,74,64,74,1088,68.0,
10,Tony Pollard,RB,DAL,20,21,29,18,31,26,bye,19,24,32,22,31,28,0,29,25,19,374,24.9,
11,Dak Prescott,QB,DAL,83,62,73,61,78,89,bye,0,62,62,67,74,70,85,71,61,64,1062,70.8,
12,Ezekiel Elliott,RB,DAL,70,44,53,46,47,63,bye,55,33,38,46,47,45,54,44,42,45,772,48.3,
13,Michael Gallup,WR,DAL,50,0,0,0,0,0,bye,0,0,41,63,71,64,70,65,48,26,498,55.3,
14,Blake Jarwin,TE,DAL,48,29,43,33,31,47,bye,32,0,0,0,0,0,0,0,0,0,263,37.6,
15,CeeDee Lamb,WR,DAL,61,60,65,49,65,77,bye,65,44,32,36,0,62,57,49,54,56,832,55.5,
16,Dalton Schultz,TE,DAL,57,45,52,48,57,75,bye,60,59,51,66,71,67,72,61,55,60,956,59.8,
17,Amari Cooper,WR,DAL,74,60,65,29,57,78,bye,63,36,51,0,0,24,75,66,52,58,788,56.3,
18,Cedrick Wilson,WR,DAL,34,36,29,35,52,44,bye,42,51,0,42,54,0,9,0,26,30,484,37.2,
