,Player,FPTS,Team,Pos
0,Aaron Rodgers,354.1,GB,QB
1,Russell Wilson,328.5,SEA,QB
2,Ben Roethlisberger,306.2,PIT,QB
3,Drew Brees,303.9,FA,QB
4,Matt Ryan,284.0,ATL,QB
5,Ryan Tannehill,279.4,TEN,QB
6,Tom Brady,278.3,TB,QB
8,Matthew Stafford,251.4,LAR,QB
9,Cam Newton,248.9,CAR,QB
10,Andy Dalton,225.5,CHI,QB
11,Alex Smith,219.9,FA,QB
12,Ryan Fitzpatrick,179.8,WAS,QB
13,Teddy Bridgewater,179.7,DEN,QB
21,Kirk Cousins,88.5,MIN,QB
26,Jimmy Garoppolo,12.2,SF,QB
38,Justin Fields,0.0,CHI,QB
39,Trevor Lawrence,0.0,JAC,QB
43,Trey Lance,0.0,SF,QB
45,Mac Jones,0.0,NE,QB
52,Drew Lock,0.0,DEN,QB
53,Daniel Jones,0.0,NYG,QB
61,Tyler Huntley,0.0,BAL,QB
62,Joe Burrow,0.0,CIN,QB
63,Tua Tagovailoa,0.0,MIA,QB
66,Jordan Love,0.0,GB,QB
67,Jalen Hurts,0.0,PHI,QB
75,Gardner Minshew,0.0,PHI,QB
76,Kyler Murray,0.0,ARI,QB
78,Justin Herbert,0.0,LAC,QB
80,Josh Allen,0.0,BUF,QB
81,Zach Wilson,0.0,NYJ,QB
82,Davis Mills,0.0,HOU,QB
97,Andrew Luck,0.0,FA,QB
100,Eli Manning,0.0,FA,QB
104,Josh Johnson,0.0,BAL,QB
108,Carson Palmer,0.0,FA,QB
112,Philip Rivers,0.0,FA,QB
130,Jared Goff,0.0,DET,QB
132,Carson Wentz,0.0,IND,QB
133,Dak Prescott,0.0,DAL,QB
135,Taysom Hill,0.0,NO,QB
136,Lamar Jackson,0.0,BAL,QB
139,Sam Darnold,0.0,CAR,QB
140,Baker Mayfield,0.0,CLE,QB
145,Deshaun Watson,0.0,HOU,QB
146,Patrick Mahomes,0.0,KC,QB
161,Derek Carr,0.0,LV,QB
167,Taylor Heinicke,0.0,WAS,QB
168,Trevor Siemian,0.0,NO,QB
172,Jameis Winston,0.0,NO,QB
174,Tyrod Taylor,-0.3,HOU,QB
0,Le'Veon Bell,370.5,TB,RB
